qty_waste,timestamp,plant_id,depot_id,route_id,qty_waste,qty_waste,temperature_at_check,handling_condition,batch_id,shift,notes,soft_white,high_energy_brown,whole_grain_loaf,low_gi_seed_loaf
WST_300050,2025-03-08 05:03:46,Shepperton_Plant,Chegutu,RT_CHE_01,231,Damaged,23.3,Rough handling,,Morning,Issue due to rough handling,121,0,0,94
WST_300051,2025-03-06 17:50:13,Shepperton_Plant,Bindura,RT_BIN_01,127,Returned Unsold,29.6,Rough handling,BATCH_27942,Morning,Issue due to rough handling,0,0,140,0
WST_300052,2025-07-03 19:23:43,Shepperton_Plant,Bindura,RT_BIN_01,244,Returned Unsold,29.0,Overloaded crates,,Night,Issue due to overloaded crates,0,0,85,0
WST_300053,2025-07-16 22:54:23,Shepperton_Plant,Murehwa,RT_MUR_01,34,Returned Unsold,22.5,Rough handling,,Night,Issue due to rough handling,0,11,0,0
WST_300054,2025-07-11 18:10:28,Shepperton_Plant,Hatcliff,RT_HAT_01,35,Quality Failure,30.5,Poor stacking,,Afternoon,Issue due to poor stacking,0,23,0,0
WST_300055,2025-04-03 17:19:54,Shepperton_Plant,Chinhoyi,RT_CHI_01,137,Quality Failure,22.4,Poor stacking,,Morning,Issue due to poor stacking,0,110,64,0
WST_300056,2025-01-15 18:03:54,Shepperton_Plant,Hatcliff,RT_HAT_02,218,Expired Waste,24.3,Rough handling,BATCH_17672,Night,Expired before sale,0,61,0,0
WST_300057,2025-05-07 15:14:39,Shepperton_Plant,Harare,RT_HAR_02,135,Expired Waste,29.8,Rough handling,BATCH_13107,Afternoon,Expired before sale,0,0,0,139
WST_300058,2025-04-01 02:14:41,Shepperton_Plant,Mutare,RT_MUT_01,61,Damaged,28.6,Overloaded crates,BATCH_13350,Night,Issue due to overloaded crates,0,0,33,46
WST_300059,2025-01-01 08:18:02,Shepperton_Plant,Chegutu,RT_CHE_02,244,Damaged,28.1,Good,BATCH_22799,Morning,Routine waste inspection,0,0,42,0
WST_300060,2025-02-17 17:12:38,Shepperton_Plant,Bindura,RT_BIN_01,239,Expired Waste,27.1,Overloaded crates,,Night,Expired before sale,0,77,0,0
WST_300061,2025-02-20 10:03:52,Shepperton_Plant,Hatcliff,RT_HAT_02,70,Expired Waste,20.9,Good,,Morning,Expired before sale,0,0,72,0
WST_300062,2025-07-27 17:04:46,Shepperton_Plant,Hatcliff,RT_HAT_01,84,Expired Waste,22.3,Good,,Morning,Expired before sale,0,0,0,17
WST_300063,2025-07-17 08:04:43,Shepperton_Plant,Bindura,RT_BIN_01,31,Expired Waste,28.4,Delayed offloading,BATCH_29619,Morning,Expired before sale,46,0,0,0
WST_300064,2025-03-01 20:01:59,Shepperton_Plant,Hatcliff,RT_HAT_02,182,Quality Failure,22.4,Good,,Night,Routine waste inspection,0,0,72,0
WST_300065,2025-02-16 22:56:14,Shepperton_Plant,Mutare,RT_MUT_01,229,Damaged,21.6,Poor stacking,BATCH_20707,Morning,Issue due to poor stacking,62,0,21,0
WST_300066,2025-01-22 11:02:45,Shepperton_Plant,Murehwa,RT_MUR_01,71,Returned Unsold,26.6,Good,BATCH_11699,Morning,Routine waste inspection,0,30,25,0
WST_300067,2025-07-24 15:07:06,Shepperton_Plant,Mutare,RT_MUT_01,35,Returned Unsold,19.6,Overloaded crates,,Morning,Issue due to overloaded crates,0,0,55,39
WST_300068,2025-05-06 13:31:20,Shepperton_Plant,Harare,RT_HAR_03,34,Expired Waste,20.5,Poor stacking,,Night,Expired before sale,107,0,0,0
WST_300069,2025-03-18 18:15:42,Shepperton_Plant,Harare,RT_HAR_01,76,Expired Waste,26.0,Good,BATCH_19029,Morning,Expired before sale,0,0,6,6
WST_300070,2025-07-01 14:08:25,Shepperton_Plant,Chinhoyi,RT_CHI_01,195,Damaged,22.1,Delayed offloading,,Morning,Issue due to delayed offloading,131,0,0,0
WST_300071,2025-06-08 05:50:13,Shepperton_Plant,Bindura,RT_BIN_01,122,Returned Unsold,20.6,Rough handling,BATCH_27621,Night,Issue due to rough handling,0,0,0,85
WST_300072,2025-06-06 01:11:03,Shepperton_Plant,Harare,RT_HAR_02,143,Expired Waste,20.1,Good,,Night,Expired before sale,161,52,0,0
WST_300073,2025-01-01 23:12:56,Shepperton_Plant,Mutare,RT_MUT_01,59,Returned Unsold,19.1,Poor stacking,,Morning,Issue due to poor stacking,0,15,0,0
WST_300074,2025-07-15 12:56:25,Shepperton_Plant,Harare,RT_HAR_01,58,Returned Unsold,27.4,Poor stacking,BATCH_14666,Afternoon,Issue due to poor stacking,169,55,0,0
WST_300075,2025-05-23 07:02:01,Shepperton_Plant,Bindura,RT_BIN_01,180,Returned Unsold,29.1,Poor stacking,,Night,Issue due to poor stacking,0,16,0,0
WST_300076,2025-04-15 07:47:58,Shepperton_Plant,Murehwa,RT_MUR_01,47,Returned Unsold,29.7,Good,BATCH_22687,Afternoon,Routine waste inspection,0,63,0,119
WST_300077,2025-07-26 01:29:29,Shepperton_Plant,Harare,RT_HAR_02,157,Returned Unsold,21.7,Delayed offloading,BATCH_26821,Morning,Issue due to delayed offloading,5,0,4,0
WST_300078,2025-07-28 23:58:16,Shepperton_Plant,Chegutu,RT_CHE_01,177,Returned Unsold,31.0,Overloaded crates,,Night,Issue due to overloaded crates,0,0,43,31
WST_300079,2025-04-12 23:23:00,Shepperton_Plant,Chinhoyi,RT_CHI_02,59,Returned Unsold,24.5,Good,BATCH_13023,Night,Routine waste inspection,0,0,0,230
WST_300080,2025-01-30 20:11:45,Shepperton_Plant,Murehwa,RT_MUR_01,68,Quality Failure,20.4,Delayed offloading,BATCH_22263,Morning,Issue due to delayed offloading,127,64,0,0
WST_300081,2025-06-07 02:50:56,Shepperton_Plant,Harare,RT_HAR_03,44,Returned Unsold,20.7,Good,BATCH_25100,Night,Routine waste inspection,0,0,0,247
WST_300082,2025-04-27 07:40:01,Shepperton_Plant,Hatcliff,RT_HAT_02,151,Quality Failure,25.5,Rough handling,BATCH_14121,Morning,Issue due to rough handling,0,0,0,37
WST_300083,2025-02-10 06:41:09,Shepperton_Plant,Murehwa,RT_MUR_01,245,Returned Unsold,27.5,Overloaded crates,,Night,Issue due to overloaded crates,0,0,29,36
WST_300084,2025-04-13 03:25:50,Shepperton_Plant,Murehwa,RT_MUR_01,106,Expired Waste,29.5,Delayed offloading,BATCH_13278,Morning,Expired before sale,0,0,55,0
WST_300085,2025-04-23 05:23:17,Shepperton_Plant,Mutare,RT_MUT_02,15,Returned Unsold,18.0,Overloaded crates,,Afternoon,Issue due to overloaded crates,0,0,161,0
WST_300086,2025-01-30 03:51:47,Shepperton_Plant,Murehwa,RT_MUR_01,202,Returned Unsold,18.5,Poor stacking,,Morning,Issue due to poor stacking,0,12,0,15
WST_300087,2025-03-17 09:35:24,Shepperton_Plant,Mutare,RT_MUT_02,238,Damaged,23.0,Overloaded crates,BATCH_10858,Morning,Issue due to overloaded crates,0,0,36,30
WST_300088,2025-07-09 13:10:53,Shepperton_Plant,Bindura,RT_BIN_01,7,Returned Unsold,28.4,Overloaded crates,BATCH_21363,Afternoon,Issue due to overloaded crates,83,29,0,0
WST_300089,2025-02-13 18:36:04,Shepperton_Plant,Mutare,RT_MUT_02,178,Damaged,25.8,Delayed offloading,,Afternoon,Issue due to delayed offloading,0,72,0,0
WST_300090,2025-01-01 19:18:38,Shepperton_Plant,Chegutu,RT_CHE_01,241,Quality Failure,24.1,Poor stacking,BATCH_26460,Afternoon,Issue due to poor stacking,0,83,0,0
WST_300091,2025-04-10 03:31:44,Shepperton_Plant,Harare,RT_HAR_02,242,Expired Waste,30.3,Poor stacking,,Afternoon,Expired before sale,0,70,0,83
WST_300092,2025-06-23 14:30:12,Shepperton_Plant,Bindura,RT_BIN_01,8,Returned Unsold,19.8,Delayed offloading,BATCH_28532,Afternoon,Issue due to delayed offloading,0,19,0,0
WST_300093,2025-07-03 11:18:12,Shepperton_Plant,Murehwa,RT_MUR_01,207,Returned Unsold,23.9,Delayed offloading,,Night,Issue due to delayed offloading,122,33,0,0
WST_300094,2025-02-23 05:55:05,Shepperton_Plant,Chegutu,RT_CHE_02,129,Expired Waste,29.2,Delayed offloading,,Morning,Expired before sale,0,143,0,0
WST_300095,2025-07-20 14:02:56,Shepperton_Plant,Harare,RT_HAR_03,71,Quality Failure,21.6,Rough handling,,Morning,Issue due to rough handling,17,0,6,0
WST_300096,2025-05-22 12:04:15,Shepperton_Plant,Hatcliff,RT_HAT_02,21,Damaged,25.0,Delayed offloading,BATCH_19899,Morning,Issue due to delayed offloading,0,0,125,170
WST_300097,2025-04-29 14:26:06,Shepperton_Plant,Bindura,RT_BIN_01,183,Returned Unsold,20.5,Delayed offloading,BATCH_26107,Morning,Issue due to delayed offloading,0,0,64,87
WST_300098,2025-03-07 05:24:59,Shepperton_Plant,Hatcliff,RT_HAT_02,24,Quality Failure,27.3,Rough handling,BATCH_27743,Night,Issue due to rough handling,0,0,0,238
WST_300099,2025-07-09 22:56:22,Shepperton_Plant,Bindura,RT_BIN_01,188,Quality Failure,30.2,Overloaded crates,BATCH_22463,Afternoon,Issue due to overloaded crates,0,0,96,0
WST_300100,2025-04-08 06:29:56,Shepperton_Plant,Murehwa,RT_MUR_01,33,Returned Unsold,28.4,Good,BATCH_16351,Afternoon,Routine waste inspection,0,0,0,47
WST_300101,2025-05-28 02:15:03,Shepperton_Plant,Chinhoyi,RT_CHI_01,72,Returned Unsold,20.4,Good,,Night,Routine waste inspection,76,0,0,0
WST_300102,2025-06-13 01:15:05,Shepperton_Plant,Hatcliff,RT_HAT_01,123,Quality Failure,25.4,Poor stacking,,Night,Issue due to poor stacking,0,0,62,0
WST_300103,2025-01-28 21:16:21,Shepperton_Plant,Chegutu,RT_CHE_01,142,Returned Unsold,31.7,Delayed offloading,BATCH_25458,Morning,Issue due to delayed offloading,0,65,0,101
WST_300104,2025-02-11 10:48:31,Shepperton_Plant,Mutare,RT_MUT_01,226,Damaged,26.6,Rough handling,BATCH_14401,Afternoon,Issue due to rough handling,128,0,0,102
WST_300105,2025-03-16 21:52:25,Shepperton_Plant,Harare,RT_HAR_02,27,Returned Unsold,22.4,Rough handling,BATCH_23342,Morning,Issue due to rough handling,0,62,0,0
WST_300106,2025-04-16 03:53:17,Shepperton_Plant,Chinhoyi,RT_CHI_01,232,Damaged,19.4,Poor stacking,BATCH_13267,Afternoon,Issue due to poor stacking,0,3,0,0
WST_300107,2025-07-08 07:42:27,Shepperton_Plant,Bindura,RT_BIN_01,130,Quality Failure,26.3,Good,,Afternoon,Routine waste inspection,0,0,39,0
WST_300108,2025-04-08 04:18:39,Shepperton_Plant,Murehwa,RT_MUR_01,36,Quality Failure,30.2,Good,,Afternoon,Routine waste inspection,0,32,0,53
WST_300109,2025-07-27 08:50:07,Shepperton_Plant,Chegutu,RT_CHE_02,21,Quality Failure,18.6,Delayed offloading,,Afternoon,Issue due to delayed offloading,125,52,0,0
WST_300110,2025-04-29 15:06:19,Shepperton_Plant,Chegutu,RT_CHE_01,169,Damaged,29.1,Poor stacking,BATCH_29654,Night,Issue due to poor stacking,77,28,0,0
WST_300111,2025-03-03 15:07:32,Shepperton_Plant,Chegutu,RT_CHE_01,190,Returned Unsold,23.0,Rough handling,,Morning,Issue due to rough handling,34,12,0,0
WST_300112,2025-07-21 18:37:24,Shepperton_Plant,Hatcliff,RT_HAT_01,30,Quality Failure,22.5,Rough handling,BATCH_18985,Night,Issue due to rough handling,0,0,0,196
WST_300113,2025-05-13 20:06:37,Shepperton_Plant,Bindura,RT_BIN_01,229,Returned Unsold,20.5,Good,BATCH_10233,Afternoon,Routine waste inspection,0,11,0,19
WST_300114,2025-06-10 12:44:08,Shepperton_Plant,Harare,RT_HAR_01,145,Returned Unsold,31.7,Overloaded crates,BATCH_22680,Morning,Issue due to overloaded crates,5,0,0,0
WST_300115,2025-04-14 22:18:16,Shepperton_Plant,Mutare,RT_MUT_01,137,Returned Unsold,21.7,Overloaded crates,BATCH_14764,Morning,Issue due to overloaded crates,0,80,0,0
WST_300116,2025-04-12 08:38:49,Shepperton_Plant,Chinhoyi,RT_CHI_02,171,Expired Waste,21.6,Poor stacking,,Afternoon,Expired before sale,0,81,0,0
WST_300117,2025-02-12 18:39:21,Shepperton_Plant,Hatcliff,RT_HAT_01,212,Quality Failure,27.6,Overloaded crates,BATCH_16228,Morning,Issue due to overloaded crates,0,80,0,0
WST_300118,2025-07-14 21:21:20,Shepperton_Plant,Chinhoyi,RT_CHI_02,74,Quality Failure,23.9,Overloaded crates,,Morning,Issue due to overloaded crates,43,0,0,0
WST_300119,2025-04-12 18:36:20,Shepperton_Plant,Hatcliff,RT_HAT_02,75,Expired Waste,28.2,Delayed offloading,,Morning,Expired before sale,0,0,0,8
WST_300120,2025-04-20 04:29:12,Shepperton_Plant,Hatcliff,RT_HAT_02,157,Returned Unsold,26.6,Rough handling,BATCH_23303,Afternoon,Issue due to rough handling,69,0,0,0
WST_300121,2025-02-07 01:23:44,Shepperton_Plant,Bindura,RT_BIN_01,130,Returned Unsold,19.4,Poor stacking,,Night,Issue due to poor stacking,0,13,0,25
WST_300122,2025-05-11 09:32:34,Shepperton_Plant,Bindura,RT_BIN_01,113,Quality Failure,29.3,Poor stacking,,Night,Issue due to poor stacking,0,0,0,248
WST_300123,2025-05-16 15:01:10,Shepperton_Plant,Mutare,RT_MUT_01,19,Quality Failure,30.1,Rough handling,BATCH_11775,Night,Issue due to rough handling,0,0,34,36
WST_300124,2025-03-10 01:44:28,Shepperton_Plant,Bindura,RT_BIN_01,52,Quality Failure,20.4,Rough handling,BATCH_27551,Morning,Issue due to rough handling,109,0,0,121
WST_300125,2025-07-03 10:19:35,Shepperton_Plant,Bindura,RT_BIN_01,218,Quality Failure,21.4,Poor stacking,BATCH_13808,Afternoon,Issue due to poor stacking,0,138,0,162
WST_300126,2025-02-13 13:21:42,Shepperton_Plant,Hatcliff,RT_HAT_01,67,Returned Unsold,18.6,Overloaded crates,BATCH_11439,Afternoon,Issue due to overloaded crates,31,0,12,0
WST_300127,2025-06-25 14:13:05,Shepperton_Plant,Chinhoyi,RT_CHI_01,70,Returned Unsold,21.3,Poor stacking,BATCH_26173,Night,Issue due to poor stacking,4,0,0,0
WST_300128,2025-03-23 13:52:49,Shepperton_Plant,Bindura,RT_BIN_01,52,Damaged,31.6,Good,BATCH_20818,Afternoon,Routine waste inspection,0,0,49,58
WST_300129,2025-03-01 07:02:44,Shepperton_Plant,Bindura,RT_BIN_01,154,Expired Waste,26.5,Rough handling,,Afternoon,Expired before sale,0,106,0,0
WST_300130,2025-01-11 10:24:55,Shepperton_Plant,Mutare,RT_MUT_01,53,Returned Unsold,31.0,Delayed offloading,BATCH_18461,Night,Issue due to delayed offloading,80,30,0,0
WST_300131,2025-03-25 21:38:47,Shepperton_Plant,Hatcliff,RT_HAT_01,73,Damaged,23.4,Poor stacking,,Afternoon,Issue due to poor stacking,0,0,0,206
WST_300132,2025-01-09 02:27:13,Shepperton_Plant,Chinhoyi,RT_CHI_01,128,Damaged,20.9,Poor stacking,BATCH_12623,Night,Issue due to poor stacking,0,41,30,0
WST_300133,2025-04-18 10:16:03,Shepperton_Plant,Chinhoyi,RT_CHI_01,166,Expired Waste,25.0,Good,,Night,Expired before sale,0,0,101,0
WST_300134,2025-06-27 02:36:11,Shepperton_Plant,Harare,RT_HAR_02,234,Quality Failure,24.2,Rough handling,,Night,Issue due to rough handling,72,24,0,0
WST_300135,2025-01-06 14:23:11,Shepperton_Plant,Murehwa,RT_MUR_01,15,Expired Waste,20.9,Rough handling,,Afternoon,Expired before sale,0,0,0,165
WST_300136,2025-01-27 16:56:36,Shepperton_Plant,Mutare,RT_MUT_02,42,Quality Failure,27.4,Good,BATCH_20946,Afternoon,Routine waste inspection,0,0,97,0
WST_300137,2025-02-08 04:33:16,Shepperton_Plant,Hatcliff,RT_HAT_02,29,Quality Failure,27.6,Overloaded crates,,Morning,Issue due to overloaded crates,0,0,106,0
WST_300138,2025-07-20 02:55:29,Shepperton_Plant,Mutare,RT_MUT_02,57,Expired Waste,19.4,Good,BATCH_20862,Afternoon,Expired before sale,107,38,0,0
WST_300139,2025-02-06 02:36:50,Shepperton_Plant,Murehwa,RT_MUR_01,210,Expired Waste,21.4,Poor stacking,,Morning,Expired before sale,63,0,0,0
WST_300140,2025-01-29 14:05:30,Shepperton_Plant,Harare,RT_HAR_01,30,Returned Unsold,24.4,Good,BATCH_21185,Morning,Routine waste inspection,48,0,0,72
WST_300141,2025-01-28 01:06:38,Shepperton_Plant,Hatcliff,RT_HAT_01,142,Quality Failure,24.9,Poor stacking,BATCH_23630,Morning,Issue due to poor stacking,104,45,0,0
WST_300142,2025-07-14 12:18:05,Shepperton_Plant,Hatcliff,RT_HAT_01,182,Returned Unsold,18.3,Delayed offloading,BATCH_21715,Afternoon,Issue due to delayed offloading,0,0,85,0
WST_300143,2025-05-02 21:55:59,Shepperton_Plant,Hatcliff,RT_HAT_02,218,Quality Failure,31.6,Good,BATCH_17246,Night,Routine waste inspection,0,0,78,97
WST_300144,2025-02-22 15:54:16,Shepperton_Plant,Hatcliff,RT_HAT_01,43,Damaged,24.2,Good,BATCH_10860,Afternoon,Routine waste inspection,129,0,0,0
WST_300145,2025-02-24 19:38:39,Shepperton_Plant,Chegutu,RT_CHE_02,193,Damaged,24.6,Delayed offloading,BATCH_21342,Afternoon,Issue due to delayed offloading,0,97,0,192
WST_300146,2025-04-25 07:24:12,Shepperton_Plant,Mutare,RT_MUT_02,178,Damaged,28.7,Overloaded crates,BATCH_26595,Afternoon,Issue due to overloaded crates,134,66,0,0
WST_300147,2025-05-17 04:16:28,Shepperton_Plant,Chinhoyi,RT_CHI_02,216,Expired Waste,30.5,Rough handling,BATCH_29847,Morning,Expired before sale,0,0,0,189
WST_300148,2025-07-07 23:14:44,Shepperton_Plant,Murehwa,RT_MUR_01,97,Expired Waste,24.3,Overloaded crates,,Afternoon,Expired before sale,0,0,0,253
WST_300149,2025-01-02 13:57:25,Shepperton_Plant,Chegutu,RT_CHE_01,142,Damaged,27.6,Good,BATCH_11906,Afternoon,Routine waste inspection,0,25,14,0
WST_300150,2025-04-24 17:12:24,Shepperton_Plant,Chegutu,RT_CHE_02,187,Damaged,25.9,Good,BATCH_14228,Afternoon,Routine waste inspection,0,0,0,48
WST_300151,2025-07-02 01:44:31,Shepperton_Plant,Mutare,RT_MUT_02,68,Expired Waste,32.0,Overloaded crates,BATCH_26707,Night,Expired before sale,0,0,98,112
