record_id,timestamp,plant_id,store_id,sku,qty_in,qty_out,balance_before,balance_after,movement_type,reason_code,expiry_date,qty out 
INV_507578,5/12/2025 13:13,,STORE_116,Family Loaf,90,0,-416,-326,return_from_store,Return from Store,5/19/2025,0
INV_500290,3/17/2025 9:00,,STORE_197,High Energy Brown,0,85,0,-85,store_sale,Damaged,3/22/2025,85
INV_500960,3/17/2025 8:47,,STORE_133,High Energy Brown,61,0,0,61,return_from_store,Shrinkage,3/22/2025,0
INV_506433,4/14/2025 2:38,Shepperton_Plant,,High Energy Brown,0,816,18932,18116,dispatch,Damaged,4/19/2025,816
INV_509245,7/7/2025 20:22,,STORE_032,Soft White,0,216,-114,-330,store_sale,Dispatch to Store,7/12/2025,216
INV_516851,5/28/2025 14:45,Shepperton_Plant,,Seed Loaf,0,61,37353,37292,waste,Expired Waste,6/3/2025,61
INV_502388,4/9/2025 12:35,Shepperton_Plant,,Wholegrain Brown,0,916,8190,7274,dispatch,Damaged,4/14/2025,916
INV_513693,6/1/2025 20:54,Willowvale_Plant,,Seed Loaf,0,1383,24965,23582,dispatch,Expired Waste,6/7/2025,1383
INV_509453,6/9/2025 21:02,Willowvale_Plant,,High Energy Brown,0,913,46266,45353,dispatch,Expired Waste,6/14/2025,913
INV_511155,1/3/2025 19:42,Shepperton_Plant,,Family Loaf,0,656,73565,72909,dispatch,Dispatch to Store,1/10/2025,656
INV_513837,1/25/2025 13:08,,STORE_173,Whole Wheat,45,0,93,138,return_from_store,Manual Correction,1/31/2025,0
INV_508147,7/14/2025 17:29,,STORE_112,High Energy Brown,71,0,51,122,return_from_store,Sale,7/19/2025,0
INV_515182,6/21/2025 23:19,,STORE_007,High Energy Brown,89,0,75,164,return_from_store,Dispatch to Store,6/26/2025,0
INV_516986,3/5/2025 13:16,,STORE_095,Family Loaf,18,0,175,193,return_from_store,Shrinkage,3/12/2025,0
INV_508626,2/4/2025 16:02,Shepperton_Plant,,Family Loaf,1030,0,43611,44641,production,Manual Correction,2/11/2025,0
INV_507317,4/2/2025 13:14,Willowvale_Plant,,Seed Loaf,0,108,-1584,-1692,waste,Production,4/8/2025,108
INV_501453,4/19/2025 0:09,Willowvale_Plant,,Family Loaf,0,32,2933,2901,waste,Sale,4/26/2025,32
INV_505194,4/13/2025 2:25,,STORE_095,Family Loaf,82,0,93,175,return_from_store,Return from Store,4/20/2025,0
INV_503571,1/9/2025 22:59,Shepperton_Plant,,Seed Loaf,0,96,7751,7655,waste,Dispatch to Store,1/15/2025,96
INV_510342,4/5/2025 16:53,Shepperton_Plant,,Whole Wheat,37,0,41021,41058,stock_adjustment,Damaged,4/11/2025,0
INV_507949,6/25/2025 21:02,,STORE_073,Soft White,119,0,-51,68,return_from_store,Dispatch to Store,6/30/2025,0
INV_506013,2/14/2025 0:24,Willowvale_Plant,,Whole Wheat,0,31,-2044,-2075,stock_adjustment,Production,2/20/2025,31
INV_501163,3/24/2025 13:15,Willowvale_Plant,,High Energy White,0,135,1399,1264,waste,Manual Correction,3/29/2025,135
INV_516680,7/4/2025 4:01,Shepperton_Plant,,Whole Wheat,0,163,58706,58543,waste,Production,7/10/2025,163
INV_505359,7/28/2025 3:54,Willowvale_Plant,,Family Loaf,30,0,-182,-152,stock_adjustment,Manual Correction,8/4/2025,0
INV_512993,3/1/2025 13:59,Shepperton_Plant,,High Energy Brown,0,59,42341,42282,waste,Dispatch to Store,3/6/2025,59
INV_509272,1/16/2025 12:22,,STORE_097,Whole Wheat,16,0,178,194,return_from_store,Dispatch to Store,1/22/2025,0
INV_504230,3/31/2025 21:27,Willowvale_Plant,,Whole Wheat,0,613,-11791,-12404,dispatch,Dispatch to Store,4/6/2025,613
INV_502718,4/5/2025 8:41,Shepperton_Plant,,Soft White,50,0,6612,6662,stock_adjustment,,4/10/2025,0
INV_516425,7/11/2025 2:30,Shepperton_Plant,,Whole Wheat,0,654,60772,60118,dispatch,Damaged,7/17/2025,654
INV_515067,4/23/2025 14:25,Willowvale_Plant,,High Energy White,27,0,50979,51006,stock_adjustment,Manual Correction,4/28/2025,0
INV_515660,3/24/2025 8:29,,STORE_071,Family Loaf,0,64,-99,-163,store_sale,Expired Waste,3/31/2025,64
INV_511689,2/6/2025 6:03,,STORE_118,Family Loaf,0,261,-106,-367,store_sale,Production,2/13/2025,261
INV_509902,2/22/2025 3:46,Willowvale_Plant,,Whole Wheat,1667,0,1211,2878,production,Expired Waste,2/28/2025,0
INV_500708,3/9/2025 23:12,Shepperton_Plant,,Family Loaf,0,50,-3986,-4036,stock_adjustment,Shrinkage,3/16/2025,50
INV_506015,5/26/2025 1:53,,STORE_010,Family Loaf,25,0,0,25,return_from_store,Manual Correction,6/2/2025,0
INV_502585,4/18/2025 1:21,Shepperton_Plant,,Soft White,1578,0,5786,7364,production,Dispatch to Store,4/23/2025,0
INV_511396,3/18/2025 19:55,Shepperton_Plant,,Whole Wheat,1379,0,50809,52188,production,Expired Waste,3/24/2025,0
INV_513939,6/16/2025 1:14,Shepperton_Plant,,Seed Loaf,45,0,44985,45030,stock_adjustment,Manual Correction,6/22/2025,0
INV_504032,3/23/2025 0:57,Shepperton_Plant,,Seed Loaf,0,9,7801,7792,stock_adjustment,Manual Correction,3/29/2025,9
INV_507750,1/24/2025 1:09,,STORE_149,Seed Loaf,85,0,0,85,return_from_store,Return from Store,1/30/2025,0
INV_504665,6/24/2025 12:50,Shepperton_Plant,,Seed Loaf,826,0,9539,10365,production,Damaged,6/30/2025,0
INV_501632,6/18/2025 14:07,Shepperton_Plant,,Seed Loaf,11,0,-2478,-2467,stock_adjustment,Shrinkage,6/24/2025,0
INV_508692,6/16/2025 2:39,Shepperton_Plant,,Seed Loaf,0,899,26841,25942,dispatch,Production,6/22/2025,899
INV_508454,3/5/2025 8:10,Shepperton_Plant,,Family Loaf,14,0,39257,39271,stock_adjustment,Manual Correction,3/12/2025,0
INV_507792,3/15/2025 17:19,,STORE_078,High Energy Brown,116,0,-11,105,return_from_store,Shrinkage,3/20/2025,0
INV_503886,4/24/2025 23:33,,STORE_028,Family Loaf,27,0,0,27,return_from_store,Damaged,5/1/2025,0
INV_514278,5/13/2025 13:15,,STORE_139,High Energy White,20,0,52,72,return_from_store,Expired Waste,5/18/2025,0
INV_502360,5/23/2025 2:19,,STORE_012,Soft White,114,0,-156,-42,return_from_store,Sale,5/28/2025,0
INV_505271,6/10/2025 7:00,Shepperton_Plant,,High Energy Brown,0,826,13818,12992,dispatch,Manual Correction,6/15/2025,826
INV_512603,1/21/2025 2:59,Shepperton_Plant,,Wholegrain Brown,0,1039,47307,46268,dispatch,Return from Store,1/26/2025,1039
INV_512463,6/11/2025 10:52,Shepperton_Plant,,Seed Loaf,8,0,31022,31030,stock_adjustment,Sale,6/17/2025,0
INV_503669,7/13/2025 5:12,Willowvale_Plant,,Family Loaf,0,1127,8896,7769,dispatch,Sale,7/20/2025,1127
INV_502281,2/2/2025 0:08,Willowvale_Plant,,High Energy Brown,0,320,8837,8517,dispatch,Production,2/7/2025,320
INV_516059,6/14/2025 13:58,Willowvale_Plant,,Whole Wheat,0,1447,45952,44505,dispatch,Manual Correction,6/20/2025,1447
INV_501087,3/14/2025 3:18,Willowvale_Plant,,Whole Wheat,0,964,-7259,-8223,dispatch,Sale,3/20/2025,964
INV_510753,1/13/2025 14:04,Willowvale_Plant,,Soft White,0,190,60011,59821,waste,Return from Store,1/18/2025,190
INV_510786,1/13/2025 5:53,Shepperton_Plant,,Seed Loaf,0,1156,26886,25730,dispatch,Shrinkage,1/19/2025,1156
INV_500200,1/24/2025 10:59,Willowvale_Plant,,High Energy Brown,31,0,-696,-665,stock_adjustment,Sale,1/29/2025,0
INV_507298,4/10/2025 13:17,Shepperton_Plant,,Soft White,1555,0,30041,31596,production,Shrinkage,4/15/2025,0
INV_502202,3/10/2025 8:32,Shepperton_Plant,,Seed Loaf,548,0,-3518,-2970,production,Manual Correction,3/16/2025,0
INV_509515,5/11/2025 20:30,Willowvale_Plant,,Family Loaf,846,0,6472,7318,production,Production,5/18/2025,0
INV_514129,2/1/2025 6:07,,STORE_057,Soft White,114,0,-34,80,return_from_store,Shrinkage,2/6/2025,0
INV_502715,6/3/2025 16:07,Willowvale_Plant,,Family Loaf,0,138,9113,8975,waste,Shrinkage,6/10/2025,138
INV_512778,1/27/2025 12:40,,STORE_101,Soft White,0,180,-48,-228,store_sale,Dispatch to Store,2/1/2025,180
INV_509543,1/3/2025 16:55,Willowvale_Plant,,Seed Loaf,0,1053,11181,10128,dispatch,Shrinkage,1/9/2025,1053
INV_506110,6/16/2025 9:15,,STORE_138,Wholegrain Brown,50,0,-37,13,return_from_store,Sale,6/21/2025,0
INV_508574,4/4/2025 2:43,Shepperton_Plant,,Soft White,0,51,26073,26022,waste,Shrinkage,4/9/2025,51
INV_515940,6/17/2025 7:05,,STORE_196,High Energy White,115,0,78,193,return_from_store,Expired Waste,6/22/2025,0
INV_508794,3/24/2025 7:31,,STORE_195,Family Loaf,47,0,-256,-209,return_from_store,Production,3/31/2025,0
INV_517252,5/10/2025 3:53,Willowvale_Plant,,Soft White,26,0,71422,71448,stock_adjustment,Dispatch to Store,5/15/2025,0
INV_500322,1/20/2025 1:25,Shepperton_Plant,,Seed Loaf,0,934,1778,844,dispatch,Manual Correction,1/26/2025,934
INV_512309,3/31/2025 13:11,,STORE_020,High Energy White,104,0,99,203,return_from_store,Production,4/5/2025,0
INV_505019,1/30/2025 0:42,,STORE_118,High Energy Brown,0,63,-168,-231,store_sale,Manual Correction,2/4/2025,63
INV_506690,1/4/2025 12:35,,STORE_059,Family Loaf,115,0,-55,60,return_from_store,Shrinkage,1/11/2025,0
INV_501429,5/29/2025 17:50,Willowvale_Plant,,Seed Loaf,16,0,3395,3411,stock_adjustment,Production,6/4/2025,0
INV_512586,2/8/2025 4:27,Shepperton_Plant,,Seed Loaf,0,47,31974,31927,stock_adjustment,Return from Store,2/14/2025,47
INV_510821,1/11/2025 12:22,Willowvale_Plant,,High Energy White,0,1129,38219,37090,dispatch,Manual Correction,1/16/2025,1129
INV_509922,1/2/2025 1:40,Shepperton_Plant,,Seed Loaf,0,19,27073,27054,stock_adjustment,Damaged,1/8/2025,19
INV_515556,1/15/2025 8:20,,STORE_159,Seed Loaf,30,0,-189,-159,return_from_store,Manual Correction,1/21/2025,0
INV_503234,2/8/2025 16:57,Willowvale_Plant,,High Energy Brown,25,0,12818,12843,stock_adjustment,Shrinkage,2/13/2025,0
INV_504450,1/14/2025 17:40,Willowvale_Plant,,Soft White,1340,0,28695,30035,production,Expired Waste,1/19/2025,0
INV_503595,1/24/2025 7:26,Shepperton_Plant,,Soft White,0,8,20059,20051,stock_adjustment,Manual Correction,1/29/2025,8
INV_501355,2/10/2025 8:31,Shepperton_Plant,,Family Loaf,0,19,-6409,-6428,stock_adjustment,Dispatch to Store,2/17/2025,19
INV_516597,4/3/2025 17:42,,STORE_050,Seed Loaf,88,0,137,225,return_from_store,Expired Waste,4/9/2025,0
INV_509808,2/11/2025 20:16,,STORE_015,Family Loaf,0,172,66,-106,store_sale,Dispatch to Store,2/18/2025,172
INV_505598,7/20/2025 6:42,Willowvale_Plant,,Wholegrain Brown,0,1060,31637,30577,dispatch,Return from Store,7/25/2025,1060
INV_504904,3/30/2025 12:33,Shepperton_Plant,,Wholegrain Brown,0,1310,14020,12710,dispatch,Production,4/4/2025,1310
INV_509791,7/13/2025 5:28,,STORE_118,Whole Wheat,97,0,-222,-125,return_from_store,Manual Correction,7/19/2025,0
INV_512114,4/1/2025 8:46,Shepperton_Plant,,Wholegrain Brown,891,0,38889,39780,production,Sale,4/6/2025,0
INV_509690,2/27/2025 4:22,,STORE_080,High Energy White,0,289,34,-255,store_sale,Expired Waste,3/4/2025,289
INV_509693,1/23/2025 8:18,Shepperton_Plant,,High Energy White,0,5,17187,17182,stock_adjustment,Shrinkage,1/28/2025,5
INV_515232,3/28/2025 5:30,Shepperton_Plant,,Wholegrain Brown,0,40,45503,45463,waste,Sale,4/2/2025,40
INV_515575,1/25/2025 11:08,Willowvale_Plant,,Family Loaf,0,1148,42941,41793,dispatch,Manual Correction,2/1/2025,1148
INV_510579,7/15/2025 16:35,Shepperton_Plant,,Seed Loaf,0,815,23157,22342,dispatch,Shrinkage,7/21/2025,815
INV_508255,5/26/2025 19:19,,STORE_108,Wholegrain Brown,0,199,-89,-288,store_sale,Dispatch to Store,5/31/2025,199
INV_508925,4/3/2025 8:33,Shepperton_Plant,,Soft White,0,1426,24333,22907,dispatch,Dispatch to Store,4/8/2025,1426
INV_516894,6/5/2025 16:35,Willowvale_Plant,,Whole Wheat,0,347,45440,45093,dispatch,Expired Waste,6/11/2025,347
INV_513534,6/14/2025 15:40,,STORE_047,Wholegrain Brown,118,0,-622,-504,return_from_store,Manual Correction,6/19/2025,0
INV_501347,5/14/2025 15:14,,STORE_052,Whole Wheat,0,95,0,-95,store_sale,Sale,5/20/2025,95
INV_506584,7/19/2025 18:28,,STORE_022,Soft White,64,0,143,207,return_from_store,Damaged,7/24/2025,0
INV_516262,1/31/2025 16:19,Shepperton_Plant,,Family Loaf,0,100,105998,105898,waste,Shrinkage,2/7/2025,100
INV_505250,7/24/2025 22:21,Willowvale_Plant,,Family Loaf,0,608,1368,760,dispatch,Production,7/31/2025,608
INV_512023,2/2/2025 1:11,Shepperton_Plant,,Wholegrain Brown,0,982,40447,39465,dispatch,Expired Waste,2/7/2025,982
INV_500351,2/11/2025 19:30,Shepperton_Plant,,Whole Wheat,0,1372,-1144,-2516,dispatch,Shrinkage,2/17/2025,1372
INV_515063,1/13/2025 16:53,Shepperton_Plant,,Family Loaf,0,537,98691,98154,dispatch,Production,1/20/2025,537
INV_513867,3/3/2025 18:56,Shepperton_Plant,,Wholegrain Brown,0,5,51311,51306,stock_adjustment,Sale,3/8/2025,5
INV_515690,1/18/2025 13:06,Willowvale_Plant,,Seed Loaf,0,40,43956,43916,stock_adjustment,Shrinkage,1/24/2025,40
INV_502405,5/15/2025 15:23,Shepperton_Plant,,Soft White,1736,0,2834,4570,production,Dispatch to Store,5/20/2025,0
INV_515169,4/20/2025 4:22,Willowvale_Plant,,Seed Loaf,46,0,42597,42643,stock_adjustment,Sale,4/26/2025,0
INV_510924,1/3/2025 1:43,Willowvale_Plant,,Family Loaf,0,96,15333,15237,waste,Shrinkage,1/10/2025,96
INV_514628,4/28/2025 7:11,Shepperton_Plant,,Family Loaf,0,42,92879,92837,stock_adjustment,Shrinkage,5/5/2025,42
INV_516830,3/10/2025 0:13,,STORE_048,Seed Loaf,0,185,-21,-206,store_sale,,3/16/2025,185
INV_515462,3/30/2025 12:31,,STORE_037,Wholegrain Brown,87,0,-640,-553,return_from_store,Return from Store,4/4/2025,0
INV_515467,5/24/2025 1:05,,STORE_132,Whole Wheat,93,0,-264,-171,return_from_store,Damaged,5/30/2025,0
INV_517972,5/2/2025 10:34,Willowvale_Plant,,Wholegrain Brown,35,0,78785,78820,stock_adjustment,Shrinkage,5/7/2025,0
INV_508452,4/1/2025 16:19,Shepperton_Plant,,Whole Wheat,0,721,31613,30892,dispatch,Shrinkage,4/7/2025,721
INV_508663,6/20/2025 8:50,Shepperton_Plant,,Family Loaf,0,70,46626,46556,waste,Expired Waste,6/27/2025,70
INV_516890,5/13/2025 18:36,Willowvale_Plant,,Whole Wheat,1862,0,43578,45440,production,Shrinkage,5/19/2025,0
INV_509167,1/4/2025 23:21,,STORE_138,High Energy Brown,17,0,-53,-36,return_from_store,Dispatch to Store,1/9/2025,0
INV_516687,7/4/2025 10:55,Shepperton_Plant,,Seed Loaf,0,45,37019,36974,waste,Dispatch to Store,7/10/2025,45
INV_502425,6/6/2025 20:55,Willowvale_Plant,,Whole Wheat,0,1489,-7091,-8580,dispatch,Shrinkage,6/12/2025,1489
INV_509880,1/16/2025 20:54,Willowvale_Plant,,High Energy White,0,41,35144,35103,stock_adjustment,Expired Waste,1/21/2025,41
INV_508471,4/23/2025 6:22,Shepperton_Plant,,High Energy Brown,0,361,26114,25753,dispatch,Damaged,4/28/2025,361
INV_501290,1/23/2025 12:46,,STORE_109,Seed Loaf,80,0,0,80,return_from_store,Return from Store,1/29/2025,0
INV_508176,4/28/2025 21:29,Shepperton_Plant,,High Energy White,1688,0,24876,26564,production,Expired Waste,5/3/2025,0
INV_501026,6/7/2025 3:59,,STORE_179,Soft White,76,0,0,76,return_from_store,Return from Store,6/12/2025,0
INV_515322,4/26/2025 13:12,Willowvale_Plant,,Soft White,0,17,66674,66657,stock_adjustment,Damaged,5/1/2025,17
INV_503222,3/1/2025 7:02,,STORE_096,Whole Wheat,0,235,19,-216,store_sale,Production,3/7/2025,235
INV_513811,7/2/2025 0:51,Willowvale_Plant,,Wholegrain Brown,0,24,71984,71960,stock_adjustment,Damaged,7/7/2025,24
INV_507530,4/28/2025 22:48,Willowvale_Plant,,Whole Wheat,0,122,-4328,-4450,waste,Damaged,5/4/2025,122
INV_509228,6/3/2025 0:20,Willowvale_Plant,,Family Loaf,0,132,8700,8568,waste,Dispatch to Store,6/10/2025,132
INV_513028,2/19/2025 12:02,Shepperton_Plant,,Family Loaf,0,1030,91356,90326,dispatch,Dispatch to Store,2/26/2025,1030
INV_503501,6/8/2025 0:58,,STORE_061,Seed Loaf,17,0,0,17,return_from_store,Manual Correction,6/14/2025,0
INV_508239,4/7/2025 5:27,,STORE_189,Wholegrain Brown,0,258,12,-246,store_sale,Production,4/12/2025,258
INV_513798,1/19/2025 13:38,Shepperton_Plant,,Family Loaf,0,44,87340,87296,stock_adjustment,Manual Correction,1/26/2025,44
INV_514533,5/21/2025 11:59,Willowvale_Plant,,Whole Wheat,0,194,37219,37025,waste,Dispatch to Store,5/27/2025,194
INV_508888,2/16/2025 2:23,Shepperton_Plant,,High Energy Brown,18,0,26580,26598,stock_adjustment,Production,2/21/2025,0
INV_515308,1/3/2025 20:36,Shepperton_Plant,,High Energy White,982,0,33184,34166,production,Return from Store,1/8/2025,0
INV_504935,2/1/2025 20:38,Willowvale_Plant,,Soft White,873,0,28013,28886,production,Damaged,2/6/2025,0
INV_504367,3/20/2025 18:28,Willowvale_Plant,,Whole Wheat,0,35,-12344,-12379,waste,Expired Waste,3/26/2025,35
INV_514198,5/25/2025 1:09,,STORE_077,Whole Wheat,95,0,-2,93,return_from_store,Production,5/31/2025,0
INV_509882,2/16/2025 17:16,Willowvale_Plant,,Whole Wheat,0,34,1728,1694,stock_adjustment,Expired Waste,2/22/2025,34
INV_513455,3/2/2025 20:00,Shepperton_Plant,,High Energy Brown,0,547,40423,39876,dispatch,Sale,3/7/2025,547
INV_510056,5/12/2025 9:11,,STORE_189,Seed Loaf,23,0,-694,-671,return_from_store,Manual Correction,5/18/2025,0
INV_507558,7/19/2025 17:13,,STORE_125,Family Loaf,86,0,-234,-148,return_from_store,Return from Store,7/26/2025,0
INV_501704,6/30/2025 2:17,Willowvale_Plant,,Seed Loaf,1298,0,-1345,-47,production,Production,7/6/2025,0
INV_513077,5/14/2025 12:48,Shepperton_Plant,,Wholegrain Brown,1091,0,50806,51897,production,Production,5/19/2025,0
INV_501838,4/6/2025 0:48,,STORE_149,High Energy White,61,0,0,61,return_from_store,Sale,4/11/2025,0
INV_512227,1/22/2025 9:55,,STORE_194,Seed Loaf,0,188,-50,-238,store_sale,Expired Waste,1/28/2025,188
INV_511370,5/29/2025 17:32,Shepperton_Plant,,Whole Wheat,714,0,49733,50447,production,Expired Waste,6/4/2025,0
INV_507316,2/3/2025 5:25,Shepperton_Plant,,Wholegrain Brown,0,1264,36145,34881,dispatch,Return from Store,2/8/2025,1264
INV_511127,1/1/2025 11:56,Shepperton_Plant,,Whole Wheat,0,1282,48536,47254,dispatch,Expired Waste,1/7/2025,1282
INV_513495,2/15/2025 10:58,Shepperton_Plant,,Soft White,1382,0,22342,23724,production,Dispatch to Store,2/20/2025,0
INV_515669,4/12/2025 13:36,Shepperton_Plant,,Family Loaf,1671,0,102462,104133,production,Dispatch to Store,4/19/2025,0
INV_506933,7/18/2025 14:53,Willowvale_Plant,,High Energy Brown,48,0,24018,24066,stock_adjustment,Shrinkage,7/23/2025,0
INV_503208,6/19/2025 10:30,Shepperton_Plant,,High Energy White,1038,0,6102,7140,production,Return from Store,6/24/2025,0
INV_512303,6/18/2025 15:36,Willowvale_Plant,,Soft White,0,179,59772,59593,waste,Manual Correction,6/23/2025,179
INV_510110,1/25/2025 9:00,,STORE_060,Seed Loaf,0,155,-385,-540,store_sale,Dispatch to Store,1/31/2025,155
INV_509925,5/20/2025 9:40,Shepperton_Plant,,Soft White,0,1438,23950,22512,dispatch,Sale,5/25/2025,1438
INV_516172,2/10/2025 0:18,Willowvale_Plant,,Family Loaf,0,72,46185,46113,waste,Damaged,2/17/2025,72
INV_505023,7/10/2025 19:57,Willowvale_Plant,,High Energy White,1921,0,14086,16007,production,Dispatch to Store,7/15/2025,0
INV_510708,3/13/2025 4:22,,STORE_133,Soft White,23,0,0,23,return_from_store,Production,3/18/2025,0
INV_517772,7/26/2025 6:44,Willowvale_Plant,,Family Loaf,0,34,53973,53939,waste,Sale,8/2/2025,34
INV_511455,3/29/2025 17:22,,STORE_155,High Energy White,0,165,-395,-560,store_sale,Sale,4/3/2025,165
INV_509975,1/24/2025 9:54,Shepperton_Plant,,High Energy Brown,0,37,35611,35574,stock_adjustment,Damaged,1/29/2025,37
INV_508272,2/24/2025 17:38,Shepperton_Plant,,High Energy White,0,1345,26241,24896,dispatch,Return from Store,3/1/2025,1345
INV_512619,3/13/2025 11:16,Willowvale_Plant,,High Energy White,0,1336,44238,42902,dispatch,Damaged,3/18/2025,1336
INV_514152,6/2/2025 3:04,Shepperton_Plant,,High Energy Brown,937,0,42744,43681,production,Return from Store,6/7/2025,0
INV_517132,4/23/2025 4:37,Shepperton_Plant,,High Energy Brown,818,0,48394,49212,production,Shrinkage,4/28/2025,0
INV_513496,3/10/2025 3:36,Willowvale_Plant,,Soft White,0,109,56457,56348,waste,Return from Store,3/15/2025,109
INV_509457,3/18/2025 23:54,Shepperton_Plant,,Seed Loaf,0,40,28109,28069,waste,Production,3/24/2025,40
INV_502748,3/8/2025 7:46,,STORE_193,High Energy White,0,130,-97,-227,store_sale,Return from Store,3/13/2025,130
INV_510089,2/24/2025 22:04,,STORE_174,Soft White,20,0,0,20,return_from_store,Shrinkage,3/1/2025,0
INV_512535,2/23/2025 5:30,,STORE_080,Soft White,0,253,-343,-596,store_sale,Shrinkage,2/28/2025,253
INV_500326,1/17/2025 11:21,Shepperton_Plant,,High Energy Brown,0,905,4061,3156,dispatch,Dispatch to Store,1/22/2025,905
INV_509872,6/30/2025 2:15,Shepperton_Plant,,High Energy White,0,814,20743,19929,dispatch,Production,7/5/2025,814
INV_513105,4/27/2025 16:35,Shepperton_Plant,,Soft White,0,503,22082,21579,dispatch,Sale,5/2/2025,503
INV_510406,7/8/2025 14:03,Willowvale_Plant,,High Energy Brown,0,144,55267,55123,waste,Return from Store,7/13/2025,144
