dispatch_id,departure_time,expected_arrival,actual_arrival,plant_id,depot_id,vehicle_id,soft_white,high_energy_brown,whole_grain_loaf,low_gi_seed_loaf,total_quantity,dispatch_delay_minutes,hour,dayofweek
DSP_902554,2025-02-27 06:00:00,2025-02-27 11:00:00,2025-02-27 11:02:00,Shepperton_Plant,Mutare,TRUCK_068,1814,543,459,665,3481,2.0,6,Thursday
DSP_900237,2025-01-05 03:00:00,2025-01-05 03:50:00,2025-01-05 03:41:00,Shepperton_Plant,Hatcliff,TRUCK_103,1121,268,322,451,2162,-9.0,3,Sunday
DSP_904739,2025-04-20 03:00:00,2025-04-20 08:00:00,2025-04-20 08:01:00,Shepperton_Plant,Mutare,TRUCK_114,1113,301,230,321,1965,1.0,3,Sunday
DSP_907374,2025-06-19 06:00:00,2025-06-19 08:30:00,2025-06-19 09:03:00,Shepperton_Plant,Chinhoyi,TRUCK_011,1844,319,464,455,3082,33.0,6,Thursday
DSP_905101,2025-04-29 05:00:00,2025-04-29 07:00:00,2025-04-29 07:42:00,Shepperton_Plant,Chegutu,TRUCK_071,1148,407,407,522,2484,42.0,5,Tuesday
DSP_901584,2025-02-05 04:00:00,2025-02-05 05:00:00,2025-02-05 04:50:00,Shepperton_Plant,Harare,TRUCK_055,1407,390,571,561,2929,-10.0,4,Wednesday
DSP_901240,2025-01-29 06:00:00,2025-01-29 07:50:00,2025-01-29 07:54:00,Shepperton_Plant,Murehwa,TRUCK_010,1805,476,373,372,3026,4.0,6,Wednesday
DSP_908049,2025-07-06 02:00:00,2025-07-06 03:50:00,2025-07-06 04:23:00,Shepperton_Plant,Murehwa,TRUCK_009,1825,381,464,426,3096,33.0,2,Sunday
DSP_900883,2025-01-20 04:00:00,2025-01-20 05:50:00,2025-01-20 06:20:00,Shepperton_Plant,Murehwa,TRUCK_062,2395,635,482,549,4061,30.0,4,Monday
DSP_901994,2025-02-14 02:00:00,2025-02-14 04:20:00,2025-02-14 04:27:00,Shepperton_Plant,Bindura,TRUCK_080,1861,549,656,891,3957,7.0,2,Friday
DSP_904417,2025-04-13 05:00:00,2025-04-13 05:50:00,2025-04-13 05:43:00,Shepperton_Plant,Hatcliff,TRUCK_103,1315,313,280,323,2231,-7.0,5,Sunday
DSP_901904,2025-02-12 06:00:00,2025-02-12 08:20:00,2025-02-12 09:02:00,Shepperton_Plant,Bindura,TRUCK_072,1403,375,339,295,2412,42.0,6,Wednesday
DSP_906399,2025-05-28 03:00:00,2025-05-28 05:00:00,2025-05-28 05:01:00,Shepperton_Plant,Chegutu,TRUCK_113,1574,602,490,648,3314,1.0,3,Wednesday
DSP_904325,2025-04-11 05:00:00,2025-04-11 06:00:00,2025-04-11 05:53:00,Shepperton_Plant,Harare,TRUCK_057,1218,461,394,331,2404,-7.0,5,Friday
DSP_903762,2025-03-29 02:00:00,2025-03-29 04:30:00,2025-03-29 04:32:00,Shepperton_Plant,Chinhoyi,TRUCK_134,1330,574,430,488,2822,2.0,2,Saturday
DSP_905946,2025-05-19 03:00:00,2025-05-19 05:00:00,2025-05-19 05:14:00,Shepperton_Plant,Chegutu,TRUCK_074,1297,259,315,461,2332,14.0,3,Monday
DSP_906754,2025-06-05 02:00:00,2025-06-05 02:50:00,2025-06-05 03:27:00,Shepperton_Plant,Hatcliff,TRUCK_095,1519,360,420,470,2769,37.0,2,Thursday
DSP_905891,2025-05-17 03:00:00,2025-05-17 03:50:00,2025-05-17 03:56:00,Shepperton_Plant,Hatcliff,TRUCK_003,1519,541,630,558,3248,6.0,3,Saturday
DSP_905233,2025-05-01 02:00:00,2025-05-01 04:00:00,2025-05-01 04:17:00,Shepperton_Plant,Chegutu,TRUCK_053,856,285,274,393,1808,17.0,2,Thursday
DSP_906837,2025-06-07 02:00:00,2025-06-07 02:50:00,2025-06-07 03:30:00,Shepperton_Plant,Hatcliff,TRUCK_020,1126,393,396,321,2236,40.0,2,Saturday
DSP_907473,2025-06-23 02:00:00,2025-06-23 07:00:00,2025-06-23 06:52:00,Shepperton_Plant,Mutare,TRUCK_115,1071,351,376,430,2228,-8.0,2,Monday
DSP_900861,2025-01-19 05:00:00,2025-01-19 10:00:00,2025-01-19 10:39:00,Shepperton_Plant,Mutare,TRUCK_095,1657,570,798,572,3597,39.0,5,Sunday
DSP_907822,2025-06-30 03:00:00,2025-06-30 04:00:00,2025-06-30 04:04:00,Shepperton_Plant,Harare,TRUCK_115,1276,360,368,280,2284,4.0,3,Monday
DSP_904871,2025-04-23 05:00:00,2025-04-23 07:30:00,2025-04-23 07:35:00,Shepperton_Plant,Chinhoyi,TRUCK_086,1328,519,475,525,2847,5.0,5,Wednesday
DSP_901460,2025-02-03 06:00:00,2025-02-03 08:20:00,2025-02-03 08:19:00,Shepperton_Plant,Bindura,TRUCK_029,1175,232,348,281,2036,-1.0,6,Monday
DSP_904902,2025-04-24 02:00:00,2025-04-24 04:00:00,2025-04-24 04:00:00,Shepperton_Plant,Chegutu,TRUCK_108,1135,387,464,454,2440,0.0,2,Thursday
DSP_904043,2025-04-04 04:00:00,2025-04-04 05:00:00,2025-04-04 04:55:00,Shepperton_Plant,Harare,TRUCK_042,1480,584,609,566,3239,-5.0,4,Friday
DSP_900308,2025-01-07 04:00:00,2025-01-07 04:50:00,2025-01-07 04:55:00,Shepperton_Plant,Hatcliff,TRUCK_038,1358,277,419,364,2418,5.0,4,Tuesday
DSP_904632,2025-04-18 06:00:00,2025-04-18 08:30:00,2025-04-18 09:08:00,Shepperton_Plant,Chinhoyi,TRUCK_037,2088,399,594,547,3628,38.0,6,Friday
DSP_904279,2025-04-10 06:00:00,2025-04-10 08:00:00,2025-04-10 08:20:00,Shepperton_Plant,Chegutu,TRUCK_125,1024,319,459,364,2166,20.0,6,Thursday
DSP_908919,2025-07-26 04:00:00,2025-07-26 05:50:00,2025-07-26 05:58:00,Shepperton_Plant,Murehwa,TRUCK_087,1067,351,247,334,1999,8.0,4,Saturday
DSP_907653,2025-06-27 06:00:00,2025-06-27 08:00:00,2025-06-27 08:09:00,Shepperton_Plant,Chegutu,TRUCK_064,1907,730,640,555,3832,9.0,6,Friday
DSP_901264,2025-01-30 04:00:00,2025-01-30 09:00:00,2025-01-30 08:53:00,Shepperton_Plant,Mutare,TRUCK_025,1456,472,511,734,3173,-7.0,4,Thursday
DSP_905234,2025-05-02 03:00:00,2025-05-02 03:50:00,2025-05-02 04:08:00,Shepperton_Plant,Hatcliff,TRUCK_113,1571,412,353,458,2794,18.0,3,Friday
DSP_908928,2025-07-26 04:00:00,2025-07-26 06:20:00,2025-07-26 06:32:00,Shepperton_Plant,Bindura,TRUCK_092,1176,275,361,283,2095,12.0,4,Saturday
DSP_905731,2025-05-13 02:00:00,2025-05-13 07:00:00,2025-05-13 07:37:00,Shepperton_Plant,Mutare,TRUCK_004,2285,482,500,613,3880,37.0,2,Tuesday
DSP_901029,2025-01-24 04:00:00,2025-01-24 05:00:00,2025-01-24 05:27:00,Shepperton_Plant,Harare,TRUCK_133,1680,396,375,422,2873,27.0,4,Friday
DSP_901154,2025-01-27 03:00:00,2025-01-27 05:00:00,2025-01-27 05:40:00,Shepperton_Plant,Chegutu,TRUCK_012,2364,677,656,486,4183,40.0,3,Monday
DSP_901572,2025-02-05 03:00:00,2025-02-05 05:20:00,2025-02-05 05:22:00,Shepperton_Plant,Bindura,TRUCK_074,1703,380,567,524,3174,2.0,3,Wednesday
DSP_901928,2025-02-13 04:00:00,2025-02-13 06:20:00,2025-02-13 06:22:00,Shepperton_Plant,Bindura,TRUCK_045,1032,411,404,286,2133,2.0,4,Thursday
DSP_903017,2025-03-10 06:00:00,2025-03-10 11:00:00,2025-03-10 11:10:00,Shepperton_Plant,Mutare,TRUCK_136,2117,732,706,528,4083,10.0,6,Monday
DSP_901108,2025-01-27 05:00:00,2025-01-27 10:00:00,2025-01-27 10:16:00,Shepperton_Plant,Mutare,TRUCK_013,2066,560,520,364,3510,16.0,5,Monday
DSP_908356,2025-07-14 04:00:00,2025-07-14 06:20:00,2025-07-14 06:10:00,Shepperton_Plant,Bindura,TRUCK_049,1676,576,434,634,3320,-10.0,4,Monday
DSP_900576,2025-01-13 03:00:00,2025-01-13 03:50:00,2025-01-13 04:31:00,Shepperton_Plant,Hatcliff,TRUCK_029,1991,502,652,742,3887,41.0,3,Monday
DSP_900171,2025-01-04 06:00:00,2025-01-04 07:50:00,2025-01-04 07:47:00,Shepperton_Plant,Murehwa,TRUCK_069,1985,490,351,516,3342,-3.0,6,Saturday
DSP_906707,2025-06-04 04:00:00,2025-06-04 06:20:00,2025-06-04 06:21:00,Shepperton_Plant,Bindura,TRUCK_029,1413,358,466,356,2593,1.0,4,Wednesday
DSP_902089,2025-02-17 03:00:00,2025-02-17 03:50:00,2025-02-17 03:51:00,Shepperton_Plant,Hatcliff,TRUCK_142,1516,417,548,540,3021,1.0,3,Monday
DSP_905028,2025-04-27 06:00:00,2025-04-27 11:00:00,2025-04-27 11:25:00,Shepperton_Plant,Mutare,TRUCK_046,1959,634,597,511,3701,25.0,6,Sunday
DSP_902845,2025-03-06 02:00:00,2025-03-06 04:20:00,2025-03-06 04:15:00,Shepperton_Plant,Bindura,TRUCK_113,1868,384,524,422,3198,-5.0,2,Thursday
DSP_908858,2025-07-25 03:00:00,2025-07-25 03:50:00,2025-07-25 03:44:00,Shepperton_Plant,Hatcliff,TRUCK_126,1462,425,476,366,2729,-6.0,3,Friday
DSP_902677,2025-03-02 04:00:00,2025-03-02 05:00:00,2025-03-02 05:00:00,Shepperton_Plant,Harare,TRUCK_089,1781,428,714,555,3478,0.0,4,Sunday
DSP_907400,2025-06-20 03:00:00,2025-06-20 05:00:00,2025-06-20 05:15:00,Shepperton_Plant,Chegutu,TRUCK_131,1356,298,420,315,2389,15.0,3,Friday
DSP_902212,2025-02-19 06:00:00,2025-02-19 06:50:00,2025-02-19 06:54:00,Shepperton_Plant,Hatcliff,TRUCK_099,1808,503,427,433,3171,4.0,6,Wednesday
DSP_903761,2025-03-29 06:00:00,2025-03-29 06:50:00,2025-03-29 06:55:00,Shepperton_Plant,Hatcliff,TRUCK_139,2390,641,615,495,4141,5.0,6,Saturday
DSP_908612,2025-07-20 04:00:00,2025-07-20 05:50:00,2025-07-20 05:46:00,Shepperton_Plant,Murehwa,TRUCK_065,1940,728,491,713,3872,-4.0,4,Sunday
DSP_905726,2025-05-13 04:00:00,2025-05-13 06:00:00,2025-05-13 05:59:00,Shepperton_Plant,Chegutu,TRUCK_113,1031,319,228,304,1882,-1.0,4,Tuesday
DSP_903510,2025-03-22 05:00:00,2025-03-22 06:00:00,2025-03-22 06:38:00,Shepperton_Plant,Harare,TRUCK_009,1259,532,507,367,2665,38.0,5,Saturday
DSP_903545,2025-03-23 06:00:00,2025-03-23 08:30:00,2025-03-23 08:41:00,Shepperton_Plant,Chinhoyi,TRUCK_033,1350,371,453,542,2716,11.0,6,Sunday
DSP_905552,2025-05-09 04:00:00,2025-05-09 09:00:00,2025-05-09 08:56:00,Shepperton_Plant,Mutare,TRUCK_139,1615,639,637,509,3400,-4.0,4,Friday
DSP_900887,2025-01-20 03:00:00,2025-01-20 03:50:00,2025-01-20 04:23:00,Shepperton_Plant,Hatcliff,TRUCK_138,1387,514,575,543,3019,33.0,3,Monday
DSP_902436,2025-02-25 02:00:00,2025-02-25 02:50:00,2025-02-25 03:10:00,Shepperton_Plant,Hatcliff,TRUCK_039,1606,350,488,527,2971,20.0,2,Tuesday
DSP_904180,2025-04-08 04:00:00,2025-04-08 06:30:00,2025-04-08 06:26:00,Shepperton_Plant,Chinhoyi,TRUCK_113,1539,635,565,468,3207,-4.0,4,Tuesday
DSP_909117,2025-07-31 02:00:00,2025-07-31 07:00:00,2025-07-31 06:59:00,Shepperton_Plant,Mutare,TRUCK_058,1155,382,305,343,2185,-1.0,2,Thursday
DSP_906133,2025-05-23 03:00:00,2025-05-23 05:00:00,2025-05-23 05:41:00,Shepperton_Plant,Chegutu,TRUCK_029,1925,597,474,622,3618,41.0,3,Friday
DSP_905277,2025-05-02 04:00:00,2025-05-02 06:30:00,2025-05-02 06:38:00,Shepperton_Plant,Chinhoyi,TRUCK_053,1194,370,333,379,2276,8.0,4,Friday
DSP_906332,2025-05-27 04:00:00,2025-05-27 09:00:00,2025-05-27 09:13:00,Shepperton_Plant,Mutare,TRUCK_017,1267,433,396,441,2537,13.0,4,Tuesday
DSP_905603,2025-05-10 03:00:00,2025-05-10 05:30:00,2025-05-10 06:05:00,Shepperton_Plant,Chinhoyi,TRUCK_039,949,305,291,393,1938,35.0,3,Saturday
DSP_901034,2025-01-24 03:00:00,2025-01-24 05:20:00,2025-01-24 05:29:00,Shepperton_Plant,Bindura,TRUCK_035,1829,579,574,398,3380,9.0,3,Friday
DSP_900005,2025-01-01 04:00:00,2025-01-01 09:00:00,2025-01-01 09:25:00,Shepperton_Plant,Mutare,TRUCK_124,1934,557,465,490,3446,25.0,4,Wednesday
DSP_903988,2025-04-03 05:00:00,2025-04-03 06:50:00,2025-04-03 07:05:00,Shepperton_Plant,Murehwa,TRUCK_091,1072,205,294,264,1835,15.0,5,Thursday
DSP_900309,2025-01-07 03:00:00,2025-01-07 08:00:00,2025-01-07 08:05:00,Shepperton_Plant,Mutare,TRUCK_040,1620,432,383,306,2741,5.0,3,Tuesday
DSP_901087,2025-01-26 02:00:00,2025-01-26 04:30:00,2025-01-26 04:39:00,Shepperton_Plant,Chinhoyi,TRUCK_011,1759,592,893,649,3893,9.0,2,Sunday
DSP_905021,2025-04-27 05:00:00,2025-04-27 07:30:00,2025-04-27 07:23:00,Shepperton_Plant,Chinhoyi,TRUCK_054,1643,424,451,487,3005,-7.0,5,Sunday
DSP_901618,2025-02-06 02:00:00,2025-02-06 04:20:00,2025-02-06 04:12:00,Shepperton_Plant,Bindura,TRUCK_131,1053,362,377,409,2201,-8.0,2,Thursday
DSP_900302,2025-01-06 05:00:00,2025-01-06 06:00:00,2025-01-06 06:12:00,Shepperton_Plant,Harare,TRUCK_081,1764,344,542,415,3065,12.0,5,Monday
DSP_906113,2025-05-22 05:00:00,2025-05-22 06:00:00,2025-05-22 06:10:00,Shepperton_Plant,Harare,TRUCK_125,1020,285,356,294,1955,10.0,5,Thursday
DSP_903869,2025-04-01 02:00:00,2025-04-01 03:50:00,2025-04-01 03:50:00,Shepperton_Plant,Murehwa,TRUCK_055,1132,521,348,482,2483,0.0,2,Tuesday
DSP_905804,2025-05-15 02:00:00,2025-05-15 02:50:00,2025-05-15 03:30:00,Shepperton_Plant,Hatcliff,TRUCK_109,973,401,319,300,1993,40.0,2,Thursday
DSP_905047,2025-04-28 04:00:00,2025-04-28 06:00:00,2025-04-28 06:10:00,Shepperton_Plant,Chegutu,TRUCK_114,1690,544,588,580,3402,10.0,4,Monday
