record_id,timestamp,plant_id,depot_id,route_id,store_id,sku,balance_before,balance_after,quantity_moved,movement_type,reason_code,expiry_date
INV_2000030,2025-02-19 18:00:00,Shepperton_Plant,Bindura,,STORE_184,High Energy Brown,3505,3486,-19,sale,Sale,2025-01-06
INV_2000031,2025-05-28 23:00:00,Shepperton_Plant,Hatcliff,,STORE_089,Low GI Seed loaf,3437,3390,-47,sale,Sale,2025-03-02
INV_2000032,2025-03-06 01:00:00,Shepperton_Plant,Hatcliff,,STORE_188,Soft white,3601,3573,-28,sale,Sale,2025-02-23
INV_2000033,2025-06-19 13:00:00,Shepperton_Plant,Hatcliff,,STORE_082,Whole grain loaf,3383,3334,-49,sale,Sale,2025-03-30
INV_2000034,2025-04-12 01:00:00,Shepperton_Plant,Murehwa,,STORE_073,Soft white,3287,3239,-48,sale,Sale,2025-07-21
INV_2000035,2025-07-22 23:00:00,Shepperton_Plant,Mutare,RT_HAR_01,STORE_197,Soft white,2955,1777,-1178,dispatch,Dispatch to store,2025-01-15
INV_2000036,2025-01-15 20:00:00,Shepperton_Plant,Mutare,,STORE_145,Low GI Seed loaf,1649,1638,-11,sale,Sale,2025-06-08
INV_2000037,2025-05-08 09:00:00,Shepperton_Plant,Chinhoyi,,STORE_013,Whole grain loaf,1096,1076,-20,sale,Sale,2025-05-16
INV_2000038,2025-01-17 14:00:00,Shepperton_Plant,Hatcliff,,STORE_090,Low GI Seed loaf,2669,4386,1717,production,Baked Output,2025-04-27
INV_2000039,2025-04-13 21:00:00,Shepperton_Plant,Chinhoyi,,STORE_179,Soft white,3056,3008,-48,sale,Sale,2025-06-14
INV_2000040,2025-06-18 12:00:00,Shepperton_Plant,Chegutu,RT_HAR_03,STORE_198,Low GI Seed loaf,1998,453,-1545,dispatch,Dispatch to depot,2025-05-12
INV_2000041,2025-06-11 15:00:00,Shepperton_Plant,Murehwa,,STORE_145,Whole grain loaf,3328,3271,-57,sale,Sale,2025-07-12
INV_2000042,2025-07-17 05:00:00,Shepperton_Plant,Bindura,,STORE_123,Soft white,3386,3337,-49,sale,Sale,2025-02-22
INV_2000043,2025-06-23 14:00:00,Shepperton_Plant,Chegutu,,STORE_018,High Energy Brown,2926,2921,-5,sale,Sale,2025-06-20
INV_2000044,2025-07-02 23:00:00,Shepperton_Plant,Bindura,RT_HAR_01,STORE_014,Soft white,2963,1367,-1596,dispatch,Dispatch to store,2025-03-10
INV_2000045,2025-07-05 11:00:00,Shepperton_Plant,Chegutu,,STORE_071,Low GI Seed loaf,3623,3615,-8,sale,Sale,2025-04-23
INV_2000046,2025-06-19 11:00:00,Shepperton_Plant,Mutare,,STORE_106,Soft white,1002,961,-41,sale,Sale,2025-04-23
INV_2000047,2025-03-23 21:00:00,Shepperton_Plant,Mutare,,STORE_119,High Energy Brown,1888,1848,-40,sale,Sale,2025-06-29
INV_2000048,2025-06-19 20:00:00,Shepperton_Plant,Bindura,,STORE_180,High Energy Brown,3683,6490,2807,production,Baked Output,2025-05-11
INV_2000049,2025-05-09 12:00:00,Shepperton_Plant,Murehwa,,STORE_106,Whole grain loaf,1179,1134,-45,sale,Sale,2025-01-30
INV_2000050,2025-07-25 14:00:00,Shepperton_Plant,Chegutu,RT_BIN_01,STORE_024,Whole grain loaf,3134,3254,120,return_from_store,Return from store,2025-07-18
INV_2000051,2025-05-21 15:00:00,Shepperton_Plant,Chinhoyi,,STORE_089,Whole grain loaf,3917,6139,2222,production,Baked Output,2025-01-20
INV_2000052,2025-07-22 22:00:00,Shepperton_Plant,Harare,RT_HAT_02,STORE_131,High Energy Brown,871,-681,-1552,dispatch,Dispatch to depot,2025-03-23
INV_2000053,2025-03-20 23:00:00,Shepperton_Plant,Murehwa,,STORE_136,Soft white,2456,2404,-52,sale,Sale,2025-01-08
INV_2000054,2025-06-10 17:00:00,Shepperton_Plant,Murehwa,,STORE_179,Soft white,867,834,-33,sale,Sale,2025-06-16
INV_2000055,2025-06-21 04:00:00,Shepperton_Plant,Harare,,STORE_027,Soft white,3346,6008,2662,production,Baked Output,2025-07-08
INV_2000056,2025-01-24 22:00:00,Shepperton_Plant,Chegutu,,STORE_036,High Energy Brown,2213,2165,-48,sale,Sale,2025-03-11
INV_2000057,2025-04-13 00:00:00,Shepperton_Plant,Murehwa,RT_HAR_03,STORE_063,Whole grain loaf,1337,776,-561,dispatch,Dispatch to depot,2025-05-02
INV_2000058,2025-03-20 13:00:00,Shepperton_Plant,Chegutu,,STORE_152,Whole grain loaf,3180,3121,-59,sale,Sale,2025-03-07
INV_2000059,2025-01-04 00:00:00,Shepperton_Plant,Chegutu,,STORE_140,Soft white,2536,2481,-55,sale,Sale,2025-05-06
INV_2000060,2025-04-13 03:00:00,Shepperton_Plant,Chegutu,,STORE_116,Low GI Seed loaf,1127,1095,-32,sale,Sale,2025-05-29
INV_2000061,2025-02-22 20:00:00,Shepperton_Plant,Murehwa,,STORE_051,Whole grain loaf,1388,1359,-29,sale,Sale,2025-03-05
INV_2000062,2025-07-14 20:00:00,Shepperton_Plant,Hatcliff,,STORE_069,High Energy Brown,1936,4381,2445,production,Baked Output,2025-03-06
INV_2000063,2025-04-06 02:00:00,Shepperton_Plant,Chinhoyi,RT_MUT_02,STORE_133,High Energy Brown,2953,1759,-1194,dispatch,Dispatch to store,2025-01-23
INV_2000064,2025-02-24 01:00:00,Shepperton_Plant,Chinhoyi,,STORE_167,High Energy Brown,2251,2145,-106,waste,Damaged,2025-07-31
INV_2000065,2025-05-15 02:00:00,Shepperton_Plant,Harare,,STORE_014,High Energy Brown,2578,2542,-36,sale,Sale,2025-01-06
INV_2000066,2025-01-08 09:00:00,Shepperton_Plant,Chinhoyi,,STORE_124,Low GI Seed loaf,2673,2573,-100,waste,Expired Waste,2025-01-06
INV_2000067,2025-02-01 16:00:00,Shepperton_Plant,Murehwa,,STORE_067,High Energy Brown,2400,5316,2916,production,Baked Output,2025-02-23
INV_2000068,2025-07-26 21:00:00,Shepperton_Plant,Chegutu,,STORE_127,High Energy Brown,2087,2046,-41,sale,Sale,2025-04-27
INV_2000069,2025-07-03 07:00:00,Shepperton_Plant,Chinhoyi,,STORE_199,Whole grain loaf,2836,2821,-15,sale,Sale,2025-05-07
INV_2000070,2025-02-08 10:00:00,Shepperton_Plant,Bindura,,STORE_156,Soft white,1328,1294,-34,sale,Sale,2025-05-11
INV_2000071,2025-07-02 17:00:00,Shepperton_Plant,Mutare,,STORE_063,Low GI Seed loaf,3844,3826,-18,sale,Sale,2025-02-23
INV_2000072,2025-02-25 22:00:00,Shepperton_Plant,Bindura,,STORE_013,High Energy Brown,2775,2663,-112,stock_adjustment,Manual Correction,2025-04-22
INV_2000073,2025-01-11 02:00:00,Shepperton_Plant,Chegutu,RT_HAR_02,STORE_030,Whole grain loaf,2307,732,-1575,dispatch,Dispatch to depot,2025-01-20
INV_2000074,2025-06-19 07:00:00,Shepperton_Plant,Harare,,STORE_165,Soft white,2366,2321,-45,sale,Sale,2025-05-25
INV_2000075,2025-01-02 11:00:00,Shepperton_Plant,Mutare,,STORE_044,Low GI Seed loaf,2909,2879,-30,sale,Sale,2025-02-21
INV_2000076,2025-03-21 04:00:00,Shepperton_Plant,Mutare,RT_HAT_02,STORE_076,Soft white,1413,-385,-1798,dispatch,Dispatch to store,2025-03-23
INV_2000077,2025-06-01 04:00:00,Shepperton_Plant,Chinhoyi,RT_HAR_03,STORE_057,Soft white,960,966,6,return_from_store,Return from store,2025-05-16
INV_2000078,2025-04-03 11:00:00,Shepperton_Plant,Chinhoyi,,STORE_007,Low GI Seed loaf,1914,1909,-5,sale,Sale,2025-07-28
INV_2000079,2025-06-17 00:00:00,Shepperton_Plant,Murehwa,,STORE_180,Soft white,3388,3375,-13,sale,Sale,2025-01-14
INV_2000080,2025-01-07 17:00:00,Shepperton_Plant,Murehwa,,STORE_154,Whole grain loaf,2902,4917,2015,production,Baked Output,2025-02-28
INV_2000081,2025-07-01 12:00:00,Shepperton_Plant,Chegutu,RT_CHE_01,STORE_043,Low GI Seed loaf,3551,3646,95,return_from_store,Return from store,2025-05-17
INV_2000082,2025-02-24 15:00:00,Shepperton_Plant,Chinhoyi,,STORE_124,Soft white,837,811,-26,sale,Sale,2025-05-19
INV_2000083,2025-02-17 23:00:00,Shepperton_Plant,Mutare,,STORE_188,Low GI Seed loaf,1476,3203,1727,production,Baked Output,2025-03-08
INV_2000084,2025-07-18 10:00:00,Shepperton_Plant,Chinhoyi,,STORE_051,Soft white,1934,3646,1712,production,Baked Output,2025-06-11
INV_2000085,2025-07-07 23:00:00,Shepperton_Plant,Chinhoyi,,STORE_179,Whole grain loaf,1619,1587,-32,sale,Sale,2025-04-19
INV_2000086,2025-03-19 07:00:00,Shepperton_Plant,Chegutu,,STORE_047,Soft white,854,833,-21,sale,Sale,2025-02-22
INV_2000087,2025-04-19 07:00:00,Shepperton_Plant,Murehwa,,STORE_154,High Energy Brown,2196,2188,-8,sale,Sale,2025-01-16
INV_2000088,2025-02-04 05:00:00,Shepperton_Plant,Harare,,STORE_002,High Energy Brown,1429,1421,-8,sale,Sale,2025-02-27
INV_2000089,2025-03-25 15:00:00,Shepperton_Plant,Murehwa,,STORE_107,High Energy Brown,3599,3563,-36,sale,Sale,2025-05-06
INV_2000090,2025-04-12 19:00:00,Shepperton_Plant,Chinhoyi,,STORE_168,Whole grain loaf,3219,3180,-39,sale,Sale,2025-04-21
INV_2000091,2025-07-09 21:00:00,Shepperton_Plant,Harare,,STORE_088,Soft white,1322,1317,-5,sale,Sale,2025-01-18
INV_2000092,2025-05-12 13:00:00,Shepperton_Plant,Harare,,STORE_040,High Energy Brown,2458,2428,-30,sale,Sale,2025-02-24
INV_2000093,2025-06-06 06:00:00,Shepperton_Plant,Chegutu,RT_CHE_01,STORE_031,Low GI Seed loaf,2627,1230,-1397,dispatch,Dispatch to store,2025-02-20
INV_2000094,2025-07-05 23:00:00,Shepperton_Plant,Hatcliff,,STORE_175,Low GI Seed loaf,1636,4094,2458,production,Baked Output,2025-05-23
INV_2000095,2025-01-07 22:00:00,Shepperton_Plant,Bindura,,STORE_042,Low GI Seed loaf,1056,997,-59,sale,Sale,2025-03-18
INV_2000096,2025-05-03 16:00:00,Shepperton_Plant,Mutare,,STORE_170,High Energy Brown,1316,1289,-27,sale,Sale,2025-06-25
INV_2000097,2025-06-16 16:00:00,Shepperton_Plant,Chegutu,,STORE_138,Low GI Seed loaf,1892,1887,-5,sale,Sale,2025-07-23
INV_2000098,2025-05-15 05:00:00,Shepperton_Plant,Mutare,RT_CHI_02,STORE_189,High Energy Brown,2951,2530,-421,dispatch,Dispatch to depot,2025-02-17
INV_2000099,2025-07-26 18:00:00,Shepperton_Plant,Chinhoyi,,STORE_196,Whole grain loaf,2269,2209,-60,sale,Sale,2025-05-14
INV_2000100,2025-03-05 17:00:00,Shepperton_Plant,Hatcliff,,STORE_026,Low GI Seed loaf,836,2315,1479,production,Baked Output,2025-05-02
INV_2000101,2025-02-09 05:00:00,Shepperton_Plant,Harare,,STORE_162,Low GI Seed loaf,3087,3057,-30,sale,Sale,2025-05-22
INV_2000102,2025-06-02 15:00:00,Shepperton_Plant,Hatcliff,,STORE_091,Low GI Seed loaf,3372,3345,-27,sale,Sale,2025-06-05
INV_2000103,2025-02-10 21:00:00,Shepperton_Plant,Murehwa,,STORE_159,High Energy Brown,3353,3116,-237,waste,Damaged,2025-05-09
INV_2000104,2025-06-02 05:00:00,Shepperton_Plant,Harare,,STORE_176,Low GI Seed loaf,2931,2909,-22,sale,Sale,2025-03-29
INV_2000105,2025-05-17 12:00:00,Shepperton_Plant,Murehwa,,STORE_132,Whole grain loaf,2573,2548,-25,sale,Sale,2025-07-13
INV_2000106,2025-05-08 13:00:00,Shepperton_Plant,Hatcliff,,STORE_012,High Energy Brown,2498,2444,-54,sale,Sale,2025-04-15
INV_2000107,2025-05-05 11:00:00,Shepperton_Plant,Hatcliff,,STORE_040,Low GI Seed loaf,3572,3521,-51,sale,Sale,2025-01-29
INV_2000108,2025-07-06 08:00:00,Shepperton_Plant,Harare,,STORE_157,Low GI Seed loaf,1205,1157,-48,sale,Sale,2025-07-24
INV_2000109,2025-01-24 06:00:00,Shepperton_Plant,Chinhoyi,,STORE_042,Whole grain loaf,3746,3733,-13,sale,Sale,2025-06-30
INV_2000110,2025-07-26 14:00:00,Shepperton_Plant,Murehwa,,STORE_160,Low GI Seed loaf,3618,5445,1827,production,Baked Output,2025-05-27
INV_2000111,2025-05-07 12:00:00,Shepperton_Plant,Mutare,,STORE_030,Whole grain loaf,3310,3266,-44,sale,Sale,2025-03-16
INV_2000112,2025-03-23 10:00:00,Shepperton_Plant,Murehwa,,STORE_054,Whole grain loaf,1386,1358,-28,sale,Sale,2025-02-11
INV_2000113,2025-01-11 02:00:00,Shepperton_Plant,Murehwa,,STORE_196,Low GI Seed loaf,2383,2367,-16,sale,Sale,2025-03-08
INV_2000114,2025-06-19 01:00:00,Shepperton_Plant,Hatcliff,RT_CHE_02,STORE_061,Low GI Seed loaf,1252,315,-937,dispatch,Dispatch to depot,2025-03-08
INV_2000115,2025-02-02 01:00:00,Shepperton_Plant,Hatcliff,,STORE_160,Soft white,3374,3320,-54,sale,Sale,2025-07-21
INV_2000116,2025-01-09 07:00:00,Shepperton_Plant,Hatcliff,,STORE_193,Whole grain loaf,1222,1202,-20,sale,Sale,2025-02-17
INV_2000117,2025-05-11 04:00:00,Shepperton_Plant,Murehwa,,STORE_090,High Energy Brown,3681,3645,-36,sale,Sale,2025-04-27
INV_2000118,2025-04-03 23:00:00,Shepperton_Plant,Murehwa,,STORE_140,High Energy Brown,3072,3044,-28,sale,Sale,2025-05-20
INV_2000119,2025-04-22 22:00:00,Shepperton_Plant,Hatcliff,,STORE_044,Soft white,3058,3053,-5,sale,Sale,2025-03-20
INV_2000120,2025-07-17 00:00:00,Shepperton_Plant,Chinhoyi,,STORE_015,Whole grain loaf,3875,3838,-37,sale,Sale,2025-02-22
INV_2000121,2025-06-26 13:00:00,Shepperton_Plant,Chinhoyi,,STORE_082,Soft white,3211,3083,-128,stock_adjustment,Manual Correction,2025-02-12
INV_2000122,2025-01-22 09:00:00,Shepperton_Plant,Harare,,STORE_143,Low GI Seed loaf,2448,2410,-38,sale,Sale,2025-05-13
INV_2000123,2025-01-09 10:00:00,Shepperton_Plant,Mutare,,STORE_031,Whole grain loaf,3993,3934,-59,sale,Sale,2025-01-27
INV_2000124,2025-02-17 02:00:00,Shepperton_Plant,Hatcliff,,STORE_005,High Energy Brown,1302,1076,-226,waste,Damaged,2025-05-25
INV_2000125,2025-03-18 02:00:00,Shepperton_Plant,Hatcliff,,STORE_182,Soft white,1344,1321,-23,sale,Sale,2025-05-27
INV_2000126,2025-02-02 14:00:00,Shepperton_Plant,Chegutu,RT_HAR_02,STORE_048,Low GI Seed loaf,2787,1864,-923,dispatch,Dispatch to store,2025-06-21
INV_2000127,2025-04-08 11:00:00,Shepperton_Plant,Chinhoyi,,STORE_120,Whole grain loaf,3595,3570,-25,sale,Sale,2025-05-24
INV_2000128,2025-05-13 02:00:00,Shepperton_Plant,Bindura,,STORE_167,Soft white,3621,3514,-107,waste,Expired Waste,2025-03-01
INV_2000129,2025-07-13 23:00:00,Shepperton_Plant,Chinhoyi,,STORE_002,Whole grain loaf,2912,2901,-11,sale,Sale,2025-03-11
INV_2000130,2025-07-27 09:00:00,Shepperton_Plant,Harare,RT_CHI_01,STORE_162,Low GI Seed loaf,3057,2682,-375,dispatch,Dispatch to depot,2025-04-21
INV_2000131,2025-07-19 12:00:00,Shepperton_Plant,Murehwa,,STORE_114,Whole grain loaf,1217,3582,2365,production,Baked Output,2025-05-21
INV_2000132,2025-02-17 19:00:00,Shepperton_Plant,Bindura,,STORE_131,Whole grain loaf,2414,2383,-31,sale,Sale,2025-03-08
INV_2000133,2025-02-09 08:00:00,Shepperton_Plant,Chegutu,,STORE_200,Soft white,1266,1260,-6,sale,Sale,2025-01-30
INV_2000134,2025-06-13 00:00:00,Shepperton_Plant,Chinhoyi,RT_MUR_01,STORE_194,Whole grain loaf,1078,-702,-1780,dispatch,Dispatch to store,2025-04-07
INV_2000135,2025-03-18 22:00:00,Shepperton_Plant,Bindura,RT_HAT_01,STORE_089,Low GI Seed loaf,3152,2652,-500,dispatch,Dispatch to store,2025-03-27
INV_2000136,2025-04-18 19:00:00,Shepperton_Plant,Harare,,STORE_010,Soft white,1587,1559,-28,sale,Sale,2025-03-03
INV_2000137,2025-01-06 23:00:00,Shepperton_Plant,Mutare,,STORE_059,Whole grain loaf,3776,3752,-24,sale,Sale,2025-06-16
INV_2000138,2025-06-22 23:00:00,Shepperton_Plant,Bindura,,STORE_131,Whole grain loaf,2383,2327,-56,sale,Sale,2025-02-17
INV_2000139,2025-06-27 16:00:00,Shepperton_Plant,Bindura,RT_CHE_01,STORE_030,Soft white,849,-381,-1230,dispatch,Dispatch to store,2025-04-30
INV_2000140,2025-03-20 15:00:00,Shepperton_Plant,Bindura,,STORE_041,Low GI Seed loaf,3002,2964,-38,sale,Sale,2025-05-27
INV_2000141,2025-02-01 14:00:00,Shepperton_Plant,Chinhoyi,,STORE_059,Whole grain loaf,2360,3291,931,production,Baked Output,2025-05-27
INV_2000142,2025-07-09 02:00:00,Shepperton_Plant,Mutare,,STORE_031,Low GI Seed loaf,2674,4542,1868,production,Baked Output,2025-01-14
INV_2000143,2025-03-13 02:00:00,Shepperton_Plant,Hatcliff,,STORE_177,High Energy Brown,1445,1400,-45,sale,Sale,2025-02-18
INV_2000144,2025-07-22 13:00:00,Shepperton_Plant,Murehwa,RT_MUT_02,STORE_115,Low GI Seed loaf,3569,2160,-1409,dispatch,Dispatch to depot,2025-01-09
INV_2000145,2025-02-18 05:00:00,Shepperton_Plant,Harare,,STORE_048,Low GI Seed loaf,1234,1176,-58,sale,Sale,2025-03-06
INV_2000146,2025-07-03 07:00:00,Shepperton_Plant,Chegutu,RT_HAR_01,STORE_073,Low GI Seed loaf,2249,2281,32,return_from_store,Return from store,2025-03-11
INV_2000147,2025-05-27 21:00:00,Shepperton_Plant,Murehwa,RT_HAT_01,STORE_079,Low GI Seed loaf,923,935,12,return_from_store,Return from store,2025-03-31
INV_2000148,2025-02-15 09:00:00,Shepperton_Plant,Mutare,,STORE_119,Low GI Seed loaf,1104,1080,-24,sale,Sale,2025-01-09
INV_2000149,2025-01-04 20:00:00,Shepperton_Plant,Mutare,,STORE_149,Whole grain loaf,828,806,-22,waste,Expired Waste,2025-05-28
INV_2000150,2025-04-03 01:00:00,Shepperton_Plant,Hatcliff,,STORE_160,Low GI Seed loaf,3705,3671,-34,sale,Sale,2025-06-12
INV_2000151,2025-06-13 11:00:00,Shepperton_Plant,Chegutu,RT_HAT_01,STORE_071,Soft white,3441,2405,-1036,dispatch,Dispatch to depot,2025-07-23
INV_2000152,2025-07-20 18:00:00,Shepperton_Plant,Harare,,STORE_089,Whole grain loaf,1112,1059,-53,sale,Sale,2025-03-22
INV_2000153,2025-04-22 05:00:00,Shepperton_Plant,Mutare,,STORE_069,Soft white,2042,2004,-38,sale,Sale,2025-02-27
INV_2000154,2025-03-25 22:00:00,Shepperton_Plant,Hatcliff,,STORE_170,Soft white,1337,1285,-52,sale,Sale,2025-06-16
INV_2000155,2025-04-09 04:00:00,Shepperton_Plant,Bindura,RT_CHI_02,STORE_200,Whole grain loaf,929,-225,-1154,dispatch,Dispatch to depot,2025-05-25
INV_2000156,2025-01-19 00:00:00,Shepperton_Plant,Harare,RT_HAR_02,STORE_032,Low GI Seed loaf,881,-688,-1569,dispatch,Dispatch to store,2025-01-03
INV_2000157,2025-02-26 19:00:00,Shepperton_Plant,Chinhoyi,,STORE_076,Low GI Seed loaf,2449,2418,-31,sale,Sale,2025-04-26
INV_2000158,2025-05-23 23:00:00,Shepperton_Plant,Murehwa,,STORE_142,High Energy Brown,2680,2627,-53,sale,Sale,2025-05-24
INV_2000159,2025-04-04 23:00:00,Shepperton_Plant,Bindura,,STORE_028,Soft white,2896,2886,-10,sale,Sale,2025-02-28
INV_2000160,2025-01-15 04:00:00,Shepperton_Plant,Bindura,RT_MUT_02,STORE_014,High Energy Brown,3684,2105,-1579,dispatch,Dispatch to store,2025-05-22
INV_2000161,2025-06-18 19:00:00,Shepperton_Plant,Chinhoyi,,STORE_029,Low GI Seed loaf,1371,3079,1708,production,Baked Output,2025-05-04
INV_2000162,2025-04-13 00:00:00,Shepperton_Plant,Murehwa,,STORE_072,Whole grain loaf,2123,2072,-51,sale,Sale,2025-03-23
INV_2000163,2025-07-15 22:00:00,Shepperton_Plant,Harare,,STORE_130,Low GI Seed loaf,2115,2063,-52,sale,Sale,2025-03-13
INV_2000164,2025-02-12 02:00:00,Shepperton_Plant,Bindura,,STORE_145,High Energy Brown,1049,1041,-8,sale,Sale,2025-02-12
INV_2000165,2025-01-11 06:00:00,Shepperton_Plant,Harare,RT_MUR_01,STORE_113,Low GI Seed loaf,2690,1456,-1234,dispatch,Dispatch to depot,2025-05-11
INV_2000166,2025-02-19 14:00:00,Shepperton_Plant,Harare,,STORE_007,Soft white,3978,3952,-26,sale,Sale,2025-06-11
INV_2000167,2025-03-24 04:00:00,Shepperton_Plant,Bindura,,STORE_162,Low GI Seed loaf,2614,2574,-40,sale,Sale,2025-05-20
INV_2000168,2025-03-21 06:00:00,Shepperton_Plant,Murehwa,,STORE_126,Soft white,3799,3793,-6,sale,Sale,2025-03-04
INV_2000169,2025-01-14 05:00:00,Shepperton_Plant,Hatcliff,RT_HAR_01,STORE_144,High Energy Brown,1369,858,-511,dispatch,Dispatch to depot,2025-03-05
INV_2000170,2025-02-10 07:00:00,Shepperton_Plant,Bindura,,STORE_076,Low GI Seed loaf,1815,1799,-16,waste,Damaged,2025-03-18
INV_2000171,2025-07-22 15:00:00,Shepperton_Plant,Chinhoyi,,STORE_159,Low GI Seed loaf,3512,4475,963,production,Baked Output,2025-06-10
INV_2000172,2025-07-09 20:00:00,Shepperton_Plant,Hatcliff,RT_MUR_01,STORE_195,Soft white,3015,1547,-1468,dispatch,Dispatch to store,2025-04-17
INV_2000173,2025-06-08 19:00:00,Shepperton_Plant,Murehwa,,STORE_103,Whole grain loaf,2343,2337,-6,sale,Sale,2025-07-03
INV_2000174,2025-07-13 13:00:00,Shepperton_Plant,Murehwa,,STORE_034,Soft white,2776,2751,-25,sale,Sale,2025-02-14
INV_2000175,2025-03-13 21:00:00,Shepperton_Plant,Chegutu,,STORE_186,Low GI Seed loaf,3386,3348,-38,sale,Sale,2025-04-13
INV_2000176,2025-04-02 16:00:00,Shepperton_Plant,Chinhoyi,RT_BIN_01,STORE_019,Whole grain loaf,944,-494,-1438,dispatch,Dispatch to store,2025-06-25
INV_2000177,2025-03-06 06:00:00,Shepperton_Plant,Hatcliff,,STORE_085,Low GI Seed loaf,1404,1232,-172,waste,Expired Waste,2025-02-06
