sale_id,date,plant_id,depot_id,region,sku,quantity_sold,bakers_inn_price
SAL_300023,2025-06-03,Shepperton_Plant,Hatcliff,Harare Urban,Soft white,1109,0.93
SAL_300024,2025-02-17,Shepperton_Plant,Murehwa,Mashonaland East,Whole grain loaf,1452,0.93
SAL_300025,2025-06-04,Shepperton_Plant,Mutare,Manicaland,Whole grain loaf,1348,0.93
SAL_300026,2025-02-18,Shepperton_Plant,Mutare,Manicaland,Whole grain loaf,466,0.93
SAL_300027,2025-07-21,Shepperton_Plant,Mutare,Manicaland,Whole grain loaf,585,0.93
SAL_300028,2025-02-18,Shepperton_Plant,Chinhoyi,Mashonaland West,Whole grain loaf,2199,0.93
SAL_300029,2025-07-18,Shepperton_Plant,Chegutu,Mashonaland West,Low GI Seed loaf,484,0.93
SAL_300030,2025-01-08,Shepperton_Plant,Chegutu,Mashonaland West,Soft white,1150,0.93
SAL_300031,2025-04-09,Shepperton_Plant,Chegutu,Mashonaland West,Soft white,733,0.93
SAL_300032,2025-01-02,Shepperton_Plant,Harare,Harare Urban,High Energy Brown,829,0.93
SAL_300033,2025-05-14,Shepperton_Plant,Bindura,Mashonaland Central,High Energy Brown,2027,0.93
SAL_300034,2025-02-21,Shepperton_Plant,Harare,Harare Urban,Soft white,839,0.93
SAL_300035,2025-07-07,Shepperton_Plant,Chegutu,Mashonaland West,Low GI Seed loaf,1800,0.93
SAL_300036,2025-06-25,Shepperton_Plant,Chinhoyi,Mashonaland West,High Energy Brown,826,0.93
SAL_300037,2025-01-07,Shepperton_Plant,Murehwa,Mashonaland East,Whole grain loaf,1608,0.93
SAL_300038,2025-01-20,Shepperton_Plant,Murehwa,Mashonaland East,High Energy Brown,896,0.93
SAL_300039,2025-04-22,Shepperton_Plant,Chinhoyi,Mashonaland West,Whole grain loaf,1981,0.93
SAL_300040,2025-05-27,Shepperton_Plant,Bindura,Mashonaland Central,Whole grain loaf,1490,0.93
SAL_300041,2025-02-21,Shepperton_Plant,Bindura,Mashonaland Central,Whole grain loaf,2087,0.93
SAL_300042,2025-01-02,Shepperton_Plant,Harare,Harare Urban,Low GI Seed loaf,1080,0.93
SAL_300043,2025-06-14,Shepperton_Plant,Hatcliff,Harare Urban,High Energy Brown,401,0.93
SAL_300044,2025-05-07,Shepperton_Plant,Chegutu,Mashonaland West,Low GI Seed loaf,2017,0.93
SAL_300045,2025-04-01,Shepperton_Plant,Mutare,Manicaland,Whole grain loaf,1366,0.93
SAL_300046,2025-07-20,Shepperton_Plant,Hatcliff,Harare Urban,Soft white,1916,0.93
SAL_300047,2025-07-15,Shepperton_Plant,Chegutu,Mashonaland West,Whole grain loaf,1294,0.93
SAL_300048,2025-01-21,Shepperton_Plant,Hatcliff,Harare Urban,Whole grain loaf,552,0.93
SAL_300049,2025-07-22,Shepperton_Plant,Hatcliff,Harare Urban,Low GI Seed loaf,1318,0.93
SAL_300050,2025-05-02,Shepperton_Plant,Bindura,Mashonaland Central,Low GI Seed loaf,512,0.93
SAL_300051,2025-06-15,Shepperton_Plant,Hatcliff,Harare Urban,High Energy Brown,2184,0.93
SAL_300052,2025-04-07,Shepperton_Plant,Hatcliff,Harare Urban,Low GI Seed loaf,565,0.93
SAL_300053,2025-03-08,Shepperton_Plant,Harare,Harare Urban,Low GI Seed loaf,1828,0.93
SAL_300054,2025-06-12,Shepperton_Plant,Mutare,Manicaland,Low GI Seed loaf,769,0.93
SAL_300055,2025-06-10,Shepperton_Plant,Harare,Harare Urban,Low GI Seed loaf,314,0.93
SAL_300056,2025-07-14,Shepperton_Plant,Hatcliff,Harare Urban,Whole grain loaf,1328,0.93
SAL_300057,2025-05-12,Shepperton_Plant,Hatcliff,Harare Urban,Soft white,1025,0.93
SAL_300058,2025-06-23,Shepperton_Plant,Harare,Harare Urban,Soft white,778,0.93
SAL_300059,2025-07-14,Shepperton_Plant,Harare,Harare Urban,Soft white,1470,0.93
SAL_300060,2025-03-24,Shepperton_Plant,Chegutu,Mashonaland West,Whole grain loaf,383,0.93
SAL_300061,2025-05-03,Shepperton_Plant,Bindura,Mashonaland Central,Low GI Seed loaf,961,0.93
SAL_300062,2025-01-10,Shepperton_Plant,Chegutu,Mashonaland West,Soft white,1809,0.93
SAL_300063,2025-07-11,Shepperton_Plant,Chegutu,Mashonaland West,Soft white,882,0.93
SAL_300064,2025-07-11,Shepperton_Plant,Chegutu,Mashonaland West,Soft white,1988,0.93
SAL_300065,2025-01-24,Shepperton_Plant,Chinhoyi,Mashonaland West,Soft white,1543,0.93
SAL_300066,2025-04-07,Shepperton_Plant,Bindura,Mashonaland Central,High Energy Brown,1984,0.93
SAL_300067,2025-06-13,Shepperton_Plant,Chinhoyi,Mashonaland West,Low GI Seed loaf,1511,0.93
SAL_300068,2025-04-16,Shepperton_Plant,Murehwa,Mashonaland East,High Energy Brown,1003,0.93
SAL_300069,2025-04-05,Shepperton_Plant,Murehwa,Mashonaland East,Low GI Seed loaf,1429,0.93
SAL_300070,2025-05-15,Shepperton_Plant,Chegutu,Mashonaland West,Whole grain loaf,957,0.93
SAL_300071,2025-04-04,Shepperton_Plant,Chegutu,Mashonaland West,Whole grain loaf,1310,0.93
SAL_300072,2025-05-09,Shepperton_Plant,Bindura,Mashonaland Central,High Energy Brown,1869,0.93
SAL_300073,2025-06-14,Shepperton_Plant,Harare,Harare Urban,Whole grain loaf,1793,0.93
SAL_300074,2025-04-07,Shepperton_Plant,Hatcliff,Harare Urban,Whole grain loaf,393,0.93
SAL_300075,2025-02-17,Shepperton_Plant,Bindura,Mashonaland Central,Whole grain loaf,999,0.93
SAL_300076,2025-01-04,Shepperton_Plant,Bindura,Mashonaland Central,Soft white,320,0.93
SAL_300077,2025-05-02,Shepperton_Plant,Chegutu,Mashonaland West,Low GI Seed loaf,1725,0.93
SAL_300078,2025-02-22,Shepperton_Plant,Murehwa,Mashonaland East,High Energy Brown,1234,0.93
SAL_300079,2025-02-01,Shepperton_Plant,Murehwa,Mashonaland East,Low GI Seed loaf,1749,0.93
SAL_300080,2025-02-06,Shepperton_Plant,Harare,Harare Urban,Low GI Seed loaf,928,0.93
SAL_300081,2025-01-02,Shepperton_Plant,Chegutu,Mashonaland West,Soft white,1867,0.93
SAL_300082,2025-07-11,Shepperton_Plant,Chegutu,Mashonaland West,High Energy Brown,1376,0.93
SAL_300083,2025-04-18,Shepperton_Plant,Chinhoyi,Mashonaland West,Low GI Seed loaf,1973,0.93
SAL_300084,2025-02-13,Shepperton_Plant,Chegutu,Mashonaland West,Whole grain loaf,1287,0.93
SAL_300085,2025-04-06,Shepperton_Plant,Bindura,Mashonaland Central,Soft white,1385,0.93
SAL_300086,2025-06-26,Shepperton_Plant,Murehwa,Mashonaland East,Low GI Seed loaf,949,0.93
SAL_300087,2025-03-22,Shepperton_Plant,Bindura,Mashonaland Central,Soft white,1520,0.93
SAL_300088,2025-05-05,Shepperton_Plant,Harare,Harare Urban,Soft white,1833,0.93
SAL_300089,2025-03-23,Shepperton_Plant,Bindura,Mashonaland Central,Whole grain loaf,636,0.93
SAL_300090,2025-06-03,Shepperton_Plant,Bindura,Mashonaland Central,Soft white,1094,0.93
SAL_300091,2025-03-08,Shepperton_Plant,Hatcliff,Harare Urban,Low GI Seed loaf,1105,0.93
SAL_300092,2025-05-06,Shepperton_Plant,Chegutu,Mashonaland West,High Energy Brown,687,0.93
SAL_300093,2025-02-09,Shepperton_Plant,Chegutu,Mashonaland West,High Energy Brown,1330,0.93
SAL_300094,2025-06-17,Shepperton_Plant,Harare,Harare Urban,Low GI Seed loaf,638,0.93
SAL_300095,2025-07-17,Shepperton_Plant,Murehwa,Mashonaland East,Soft white,1170,0.93
SAL_300096,2025-06-03,Shepperton_Plant,Chegutu,Mashonaland West,Soft white,523,0.93
SAL_300097,2025-05-06,Shepperton_Plant,Mutare,Manicaland,Soft white,1800,0.93
SAL_300098,2025-05-04,Shepperton_Plant,Bindura,Mashonaland Central,High Energy Brown,952,0.93
SAL_300099,2025-07-27,Shepperton_Plant,Murehwa,Mashonaland East,Low GI Seed loaf,863,0.93
SAL_300100,2025-03-17,Shepperton_Plant,Chegutu,Mashonaland West,High Energy Brown,1310,0.93
SAL_300101,2025-02-23,Shepperton_Plant,Murehwa,Mashonaland East,Low GI Seed loaf,750,0.93
SAL_300102,2025-01-21,Shepperton_Plant,Chinhoyi,Mashonaland West,High Energy Brown,575,0.93
SAL_300103,2025-07-17,Shepperton_Plant,Hatcliff,Harare Urban,Low GI Seed loaf,819,0.93
SAL_300104,2025-02-09,Shepperton_Plant,Murehwa,Mashonaland East,Soft white,2158,0.93
SAL_300105,2025-07-03,Shepperton_Plant,Hatcliff,Harare Urban,Low GI Seed loaf,1809,0.93
SAL_300106,2025-03-24,Shepperton_Plant,Mutare,Manicaland,High Energy Brown,1803,0.93
SAL_300107,2025-05-19,Shepperton_Plant,Chegutu,Mashonaland West,Soft white,880,0.93
SAL_300108,2025-04-11,Shepperton_Plant,Chinhoyi,Mashonaland West,Soft white,422,0.93
SAL_300109,2025-03-18,Shepperton_Plant,Chegutu,Mashonaland West,High Energy Brown,1438,0.93
SAL_300110,2025-05-09,Shepperton_Plant,Hatcliff,Harare Urban,Soft white,807,0.93
SAL_300111,2025-07-14,Shepperton_Plant,Bindura,Mashonaland Central,High Energy Brown,1523,0.93
SAL_300112,2025-07-07,Shepperton_Plant,Murehwa,Mashonaland East,Low GI Seed loaf,1002,0.93
SAL_300113,2025-01-14,Shepperton_Plant,Mutare,Manicaland,Whole grain loaf,1242,0.93
SAL_300114,2025-03-06,Shepperton_Plant,Chinhoyi,Mashonaland West,Whole grain loaf,1763,0.93
SAL_300115,2025-02-15,Shepperton_Plant,Chinhoyi,Mashonaland West,Soft white,889,0.93
SAL_300116,2025-05-01,Shepperton_Plant,Mutare,Manicaland,Soft white,573,0.93
SAL_300117,2025-07-01,Shepperton_Plant,Mutare,Manicaland,Whole grain loaf,750,0.93
SAL_300118,2025-04-23,Shepperton_Plant,Chegutu,Mashonaland West,Soft white,1546,0.93
SAL_300119,2025-07-12,Shepperton_Plant,Hatcliff,Harare Urban,Whole grain loaf,946,0.93
SAL_300120,2025-01-23,Shepperton_Plant,Harare,Harare Urban,Low GI Seed loaf,733,0.93
SAL_300121,2025-06-05,Shepperton_Plant,Harare,Harare Urban,Soft white,2144,0.93
SAL_300122,2025-01-02,Shepperton_Plant,Mutare,Manicaland,Low GI Seed loaf,2025,0.93
SAL_300123,2025-01-10,Shepperton_Plant,Mutare,Manicaland,Low GI Seed loaf,1555,0.93
SAL_300124,2025-06-06,Shepperton_Plant,Harare,Harare Urban,Low GI Seed loaf,416,0.93
SAL_300125,2025-03-11,Shepperton_Plant,Mutare,Manicaland,Whole grain loaf,2137,0.93
SAL_300126,2025-02-03,Shepperton_Plant,Harare,Harare Urban,High Energy Brown,698,0.93
SAL_300127,2025-02-05,Shepperton_Plant,Harare,Harare Urban,Whole grain loaf,2015,0.93
SAL_300128,2025-04-25,Shepperton_Plant,Chegutu,Mashonaland West,Soft white,782,0.93
SAL_300129,2025-02-06,Shepperton_Plant,Mutare,Manicaland,Whole grain loaf,758,0.93
SAL_300130,2025-01-05,Shepperton_Plant,Bindura,Mashonaland Central,Low GI Seed loaf,1216,0.93
SAL_300131,2025-05-26,Shepperton_Plant,Chegutu,Mashonaland West,Soft white,2147,0.93
SAL_300132,2025-07-18,Shepperton_Plant,Harare,Harare Urban,High Energy Brown,1727,0.93
SAL_300133,2025-02-27,Shepperton_Plant,Murehwa,Mashonaland East,Soft white,323,0.93
SAL_300134,2025-07-15,Shepperton_Plant,Chinhoyi,Mashonaland West,Whole grain loaf,2097,0.93
SAL_300135,2025-01-14,Shepperton_Plant,Harare,Harare Urban,Soft white,1475,0.93
SAL_300136,2025-03-11,Shepperton_Plant,Murehwa,Mashonaland East,Whole grain loaf,1017,0.93
SAL_300137,2025-07-16,Shepperton_Plant,Chinhoyi,Mashonaland West,Soft white,803,0.93
SAL_300138,2025-01-08,Shepperton_Plant,Mutare,Manicaland,High Energy Brown,1128,0.93
SAL_300139,2025-06-22,Shepperton_Plant,Harare,Harare Urban,High Energy Brown,935,0.93
SAL_300140,2025-02-16,Shepperton_Plant,Mutare,Manicaland,Whole grain loaf,1356,0.93
SAL_300141,2025-03-16,Shepperton_Plant,Mutare,Manicaland,High Energy Brown,939,0.93
SAL_300142,2025-01-07,Shepperton_Plant,Hatcliff,Harare Urban,High Energy Brown,2087,0.93
SAL_300143,2025-01-15,Shepperton_Plant,Murehwa,Mashonaland East,Soft white,2038,0.93
SAL_300144,2025-01-09,Shepperton_Plant,Hatcliff,Harare Urban,High Energy Brown,1707,0.93
SAL_300145,2025-04-01,Shepperton_Plant,Chinhoyi,Mashonaland West,Soft white,916,0.93
SAL_300146,2025-04-16,Shepperton_Plant,Mutare,Manicaland,High Energy Brown,1336,0.93
SAL_300147,2025-05-11,Shepperton_Plant,Hatcliff,Harare Urban,High Energy Brown,706,0.93
SAL_300148,2025-03-08,Shepperton_Plant,Chinhoyi,Mashonaland West,Whole grain loaf,2011,0.93
SAL_300149,2025-03-22,Shepperton_Plant,Chegutu,Mashonaland West,Low GI Seed loaf,2142,0.93
SAL_300150,2025-05-27,Shepperton_Plant,Mutare,Manicaland,Low GI Seed loaf,462,0.93
SAL_300151,2025-02-25,Shepperton_Plant,Chinhoyi,Mashonaland West,High Energy Brown,380,0.93
SAL_300152,2025-01-09,Shepperton_Plant,Harare,Harare Urban,Soft white,1220,0.93
SAL_300153,2025-05-04,Shepperton_Plant,Chinhoyi,Mashonaland West,Soft white,1178,0.93
SAL_300154,2025-03-03,Shepperton_Plant,Bindura,Mashonaland Central,Whole grain loaf,1490,0.93
SAL_300155,2025-02-11,Shepperton_Plant,Chinhoyi,Mashonaland West,Low GI Seed loaf,1909,0.93
SAL_300156,2025-01-25,Shepperton_Plant,Bindura,Mashonaland Central,Whole grain loaf,1063,0.93
SAL_300157,2025-06-20,Shepperton_Plant,Murehwa,Mashonaland East,High Energy Brown,1362,0.93
SAL_300158,2025-07-10,Shepperton_Plant,Chinhoyi,Mashonaland West,Whole grain loaf,1275,0.93
SAL_300159,2025-03-01,Shepperton_Plant,Harare,Harare Urban,Soft white,510,0.93
SAL_300160,2025-01-13,Shepperton_Plant,Chinhoyi,Mashonaland West,High Energy Brown,781,0.93
SAL_300161,2025-02-10,Shepperton_Plant,Chinhoyi,Mashonaland West,Low GI Seed loaf,1293,0.93
SAL_300162,2025-06-10,Shepperton_Plant,Chinhoyi,Mashonaland West,High Energy Brown,1711,0.93
SAL_300163,2025-01-08,Shepperton_Plant,Murehwa,Mashonaland East,Whole grain loaf,2159,0.93
SAL_300164,2025-01-06,Shepperton_Plant,Harare,Harare Urban,High Energy Brown,2172,0.93
SAL_300165,2025-07-15,Shepperton_Plant,Chinhoyi,Mashonaland West,Whole grain loaf,1451,0.93
SAL_300166,2025-01-25,Shepperton_Plant,Murehwa,Mashonaland East,Low GI Seed loaf,2004,0.93
SAL_300167,2025-03-18,Shepperton_Plant,Bindura,Mashonaland Central,Low GI Seed loaf,447,0.93
SAL_300168,2025-04-10,Shepperton_Plant,Bindura,Mashonaland Central,Soft white,563,0.93
SAL_300169,2025-03-05,Shepperton_Plant,Harare,Harare Urban,Whole grain loaf,1488,0.93
SAL_300170,2025-04-13,Shepperton_Plant,Bindura,Mashonaland Central,Whole grain loaf,1118,0.93
SAL_300171,2025-02-25,Shepperton_Plant,Chegutu,Mashonaland West,Soft white,358,0.93
SAL_300172,2025-04-18,Shepperton_Plant,Mutare,Manicaland,Low GI Seed loaf,1693,0.93
SAL_300173,2025-02-23,Shepperton_Plant,Harare,Harare Urban,Low GI Seed loaf,1570,0.93
SAL_300174,2025-03-06,Shepperton_Plant,Murehwa,Mashonaland East,Soft white,1078,0.93
SAL_300175,2025-01-02,Shepperton_Plant,Hatcliff,Harare Urban,Whole grain loaf,895,0.93
SAL_300176,2025-02-12,Shepperton_Plant,Chegutu,Mashonaland West,Soft white,1293,0.93
SAL_300177,2025-06-04,Shepperton_Plant,Harare,Harare Urban,High Energy Brown,745,0.93
SAL_300178,2025-01-16,Shepperton_Plant,Chinhoyi,Mashonaland West,Whole grain loaf,534,0.93
SAL_300179,2025-02-06,Shepperton_Plant,Harare,Harare Urban,High Energy Brown,1489,0.93
SAL_300180,2025-04-21,Shepperton_Plant,Mutare,Manicaland,High Energy Brown,773,0.93
SAL_300181,2025-06-05,Shepperton_Plant,Bindura,Mashonaland Central,Whole grain loaf,919,0.93
SAL_300182,2025-03-23,Shepperton_Plant,Chegutu,Mashonaland West,Soft white,465,0.93
SAL_300183,2025-03-14,Shepperton_Plant,Mutare,Manicaland,Soft white,1659,0.93
SAL_300184,2025-02-02,Shepperton_Plant,Bindura,Mashonaland Central,Soft white,765,0.93
SAL_300185,2025-02-15,Shepperton_Plant,Chegutu,Mashonaland West,Whole grain loaf,2191,0.93
SAL_300186,2025-02-10,Shepperton_Plant,Chinhoyi,Mashonaland West,Low GI Seed loaf,1207,0.93
SAL_300187,2025-06-09,Shepperton_Plant,Bindura,Mashonaland Central,Low GI Seed loaf,2144,0.93
SAL_300188,2025-04-19,Shepperton_Plant,Chinhoyi,Mashonaland West,Low GI Seed loaf,462,0.93
SAL_300189,2025-06-20,Shepperton_Plant,Harare,Harare Urban,Soft white,1430,0.93
SAL_300190,2025-02-02,Shepperton_Plant,Harare,Harare Urban,Whole grain loaf,1033,0.93
SAL_300191,2025-04-04,Shepperton_Plant,Harare,Harare Urban,Soft white,1343,0.93
SAL_300192,2025-05-10,Shepperton_Plant,Bindura,Mashonaland Central,Soft white,932,0.93
SAL_300193,2025-05-01,Shepperton_Plant,Chinhoyi,Mashonaland West,Whole grain loaf,1661,0.93
SAL_300194,2025-05-25,Shepperton_Plant,Chegutu,Mashonaland West,Soft white,1943,0.93
SAL_300195,2025-05-02,Shepperton_Plant,Hatcliff,Harare Urban,Whole grain loaf,1256,0.93
SAL_300196,2025-02-26,Shepperton_Plant,Bindura,Mashonaland Central,Whole grain loaf,978,0.93
SAL_300197,2025-03-28,Shepperton_Plant,Harare,Harare Urban,Low GI Seed loaf,2037,0.93
SAL_300198,2025-02-27,Shepperton_Plant,Bindura,Mashonaland Central,Soft white,1875,0.93
SAL_300199,2025-07-25,Shepperton_Plant,Chinhoyi,Mashonaland West,Soft white,1972,0.93
SAL_300200,2025-03-16,Shepperton_Plant,Harare,Harare Urban,Whole grain loaf,1499,0.93
SAL_300201,2025-02-12,Shepperton_Plant,Hatcliff,Harare Urban,High Energy Brown,1778,0.93
SAL_300202,2025-04-05,Shepperton_Plant,Hatcliff,Harare Urban,High Energy Brown,1830,0.93
SAL_300203,2025-05-08,Shepperton_Plant,Hatcliff,Harare Urban,Soft white,1849,0.93
SAL_300204,2025-02-07,Shepperton_Plant,Chegutu,Mashonaland West,Soft white,1231,0.93
SAL_300205,2025-07-27,Shepperton_Plant,Mutare,Manicaland,Whole grain loaf,1338,0.93
SAL_300206,2025-01-25,Shepperton_Plant,Bindura,Mashonaland Central,High Energy Brown,917,0.93
SAL_300207,2025-02-17,Shepperton_Plant,Bindura,Mashonaland Central,Whole grain loaf,1023,0.93
SAL_300208,2025-02-28,Shepperton_Plant,Bindura,Mashonaland Central,Whole grain loaf,847,0.93
SAL_300209,2025-04-08,Shepperton_Plant,Chegutu,Mashonaland West,Low GI Seed loaf,565,0.93
SAL_300210,2025-01-24,Shepperton_Plant,Murehwa,Mashonaland East,Whole grain loaf,1937,0.93
SAL_300211,2025-07-19,Shepperton_Plant,Mutare,Manicaland,Whole grain loaf,2049,0.93
SAL_300212,2025-01-17,Shepperton_Plant,Hatcliff,Harare Urban,Whole grain loaf,1668,0.93
SAL_300213,2025-01-28,Shepperton_Plant,Harare,Harare Urban,High Energy Brown,2048,0.93
SAL_300214,2025-06-06,Shepperton_Plant,Chegutu,Mashonaland West,Whole grain loaf,569,0.93
SAL_300215,2025-03-17,Shepperton_Plant,Chinhoyi,Mashonaland West,Soft white,1294,0.93
SAL_300216,2025-04-18,Shepperton_Plant,Bindura,Mashonaland Central,High Energy Brown,593,0.93
SAL_300217,2025-06-17,Shepperton_Plant,Bindura,Mashonaland Central,Low GI Seed loaf,1369,0.93
SAL_300218,2025-02-24,Shepperton_Plant,Bindura,Mashonaland Central,Soft white,2138,0.93
SAL_300219,2025-02-05,Shepperton_Plant,Chinhoyi,Mashonaland West,Whole grain loaf,2118,0.93
SAL_300220,2025-02-05,Shepperton_Plant,Murehwa,Mashonaland East,Soft white,1404,0.93
SAL_300221,2025-01-11,Shepperton_Plant,Chegutu,Mashonaland West,High Energy Brown,1903,0.93
SAL_300222,2025-05-08,Shepperton_Plant,Harare,Harare Urban,Soft white,945,0.93
SAL_300223,2025-01-02,Shepperton_Plant,Harare,Harare Urban,Whole grain loaf,2131,0.93
SAL_300224,2025-03-19,Shepperton_Plant,Mutare,Manicaland,Soft white,322,0.93
SAL_300225,2025-06-24,Shepperton_Plant,Hatcliff,Harare Urban,High Energy Brown,1523,0.93
SAL_300226,2025-07-20,Shepperton_Plant,Bindura,Mashonaland Central,Whole grain loaf,1462,0.93
SAL_300227,2025-03-19,Shepperton_Plant,Murehwa,Mashonaland East,Soft white,2112,0.93
SAL_300228,2025-03-12,Shepperton_Plant,Mutare,Manicaland,Whole grain loaf,601,0.93
SAL_300229,2025-06-22,Shepperton_Plant,Bindura,Mashonaland Central,Low GI Seed loaf,1539,0.93
SAL_300230,2025-01-11,Shepperton_Plant,Murehwa,Mashonaland East,High Energy Brown,1654,0.93
SAL_300231,2025-07-25,Shepperton_Plant,Mutare,Manicaland,Whole grain loaf,1959,0.93
SAL_300232,2025-07-08,Shepperton_Plant,Chinhoyi,Mashonaland West,Whole grain loaf,1874,0.93
SAL_300233,2025-03-02,Shepperton_Plant,Hatcliff,Harare Urban,Low GI Seed loaf,1611,0.93
SAL_300234,2025-06-02,Shepperton_Plant,Hatcliff,Harare Urban,Soft white,1344,0.93
SAL_300235,2025-07-05,Shepperton_Plant,Chegutu,Mashonaland West,Soft white,593,0.93
SAL_300236,2025-05-25,Shepperton_Plant,Chinhoyi,Mashonaland West,High Energy Brown,756,0.93
SAL_300237,2025-04-06,Shepperton_Plant,Murehwa,Mashonaland East,Low GI Seed loaf,594,0.93
SAL_300238,2025-05-23,Shepperton_Plant,Harare,Harare Urban,Soft white,918,0.93
SAL_300239,2025-07-14,Shepperton_Plant,Chegutu,Mashonaland West,High Energy Brown,560,0.93
SAL_300240,2025-06-14,Shepperton_Plant,Bindura,Mashonaland Central,Whole grain loaf,1797,0.93
SAL_300241,2025-04-06,Shepperton_Plant,Hatcliff,Harare Urban,Soft white,1179,0.93
SAL_300242,2025-07-02,Shepperton_Plant,Mutare,Manicaland,Whole grain loaf,1123,0.93
SAL_300243,2025-02-20,Shepperton_Plant,Chegutu,Mashonaland West,Whole grain loaf,947,0.93
SAL_300244,2025-01-12,Shepperton_Plant,Harare,Harare Urban,Soft white,1271,0.93
SAL_300245,2025-02-20,Shepperton_Plant,Mutare,Manicaland,Low GI Seed loaf,649,0.93
SAL_300246,2025-02-11,Shepperton_Plant,Harare,Harare Urban,Soft white,1267,0.93
SAL_300247,2025-02-01,Shepperton_Plant,Chegutu,Mashonaland West,Low GI Seed loaf,2080,0.93
SAL_300248,2025-02-02,Shepperton_Plant,Murehwa,Mashonaland East,High Energy Brown,1043,0.93
SAL_300249,2025-02-19,Shepperton_Plant,Murehwa,Mashonaland East,Low GI Seed loaf,713,0.93
SAL_300250,2025-05-03,Shepperton_Plant,Chinhoyi,Mashonaland West,High Energy Brown,1129,0.93
SAL_300251,2025-03-18,Shepperton_Plant,Bindura,Mashonaland Central,High Energy Brown,1910,0.93
SAL_300252,2025-05-19,Shepperton_Plant,Mutare,Manicaland,Whole grain loaf,1773,0.93
SAL_300253,2025-05-14,Shepperton_Plant,Mutare,Manicaland,High Energy Brown,812,0.93
SAL_300254,2025-05-06,Shepperton_Plant,Chinhoyi,Mashonaland West,Whole grain loaf,1587,0.93
SAL_300255,2025-03-23,Shepperton_Plant,Hatcliff,Harare Urban,High Energy Brown,1164,0.93
SAL_300256,2025-07-05,Shepperton_Plant,Mutare,Manicaland,Whole grain loaf,1431,0.93
SAL_300257,2025-07-22,Shepperton_Plant,Chinhoyi,Mashonaland West,Soft white,798,0.93
SAL_300258,2025-03-08,Shepperton_Plant,Chegutu,Mashonaland West,High Energy Brown,1228,0.93
SAL_300259,2025-05-23,Shepperton_Plant,Harare,Harare Urban,Low GI Seed loaf,1871,0.93
SAL_300260,2025-04-06,Shepperton_Plant,Mutare,Manicaland,Low GI Seed loaf,1152,0.93
SAL_300261,2025-04-06,Shepperton_Plant,Chegutu,Mashonaland West,High Energy Brown,1544,0.93
SAL_300262,2025-03-09,Shepperton_Plant,Chinhoyi,Mashonaland West,Whole grain loaf,1504,0.93
SAL_300263,2025-03-06,Shepperton_Plant,Murehwa,Mashonaland East,Whole grain loaf,1821,0.93
SAL_300264,2025-07-20,Shepperton_Plant,Murehwa,Mashonaland East,High Energy Brown,558,0.93
SAL_300265,2025-02-04,Shepperton_Plant,Chinhoyi,Mashonaland West,High Energy Brown,931,0.93
