record_id,timestamp,plant_id,sku,qty_in,qty_out,balance
INV_800034,2025-01-03,Shepperton_Plant,Whole grain loaf,467,543,1890
INV_800035,2025-04-04,Shepperton_Plant,Whole grain loaf,519,1416,993
INV_800036,2025-04-11,Shepperton_Plant,Whole grain loaf,1766,589,2170
INV_800037,2025-05-01,Shepperton_Plant,Soft white,1190,719,1951
INV_800038,2025-07-10,Shepperton_Plant,Low GI Seed loaf,1918,1586,4101
INV_800039,2025-05-10,Shepperton_Plant,High Energy Brown,495,669,-2352
INV_800040,2025-06-25,Shepperton_Plant,Whole grain loaf,1726,1596,2300
INV_800041,2025-02-24,Shepperton_Plant,High Energy Brown,1745,266,-873
INV_800042,2025-02-13,Shepperton_Plant,Soft white,714,339,2326
INV_800043,2025-01-12,Shepperton_Plant,Low GI Seed loaf,758,1309,3550
INV_800044,2025-02-10,Shepperton_Plant,Soft white,1770,749,3347
INV_800045,2025-06-05,Shepperton_Plant,Low GI Seed loaf,1829,490,4889
INV_800046,2025-01-05,Shepperton_Plant,Whole grain loaf,1086,1447,1939
INV_800047,2025-03-26,Shepperton_Plant,Soft white,1081,244,4184
INV_800048,2025-01-03,Shepperton_Plant,High Energy Brown,1658,989,-204
INV_800049,2025-01-13,Shepperton_Plant,High Energy Brown,624,956,-536
INV_800050,2025-06-09,Shepperton_Plant,High Energy Brown,1422,373,513
INV_800051,2025-04-20,Shepperton_Plant,Soft white,1047,780,4451
INV_800052,2025-01-25,Shepperton_Plant,Soft white,1643,1292,4802
INV_800053,2025-05-28,Shepperton_Plant,High Energy Brown,1839,1207,1145
INV_800054,2025-03-22,Shepperton_Plant,Whole grain loaf,657,900,1696
INV_800055,2025-04-28,Shepperton_Plant,High Energy Brown,351,534,962
INV_800056,2025-03-06,Shepperton_Plant,Low GI Seed loaf,819,1288,4420
INV_800057,2025-02-16,Shepperton_Plant,Low GI Seed loaf,1840,221,6039
INV_800058,2025-07-08,Shepperton_Plant,High Energy Brown,990,612,1340
INV_800059,2025-04-15,Shepperton_Plant,High Energy Brown,827,375,1792
INV_800060,2025-05-20,Shepperton_Plant,Soft white,877,360,5319
INV_800061,2025-01-28,Shepperton_Plant,Whole grain loaf,1416,1558,1554
INV_800062,2025-05-04,Shepperton_Plant,High Energy Brown,1406,878,2320
INV_800063,2025-03-23,Shepperton_Plant,Low GI Seed loaf,840,473,6406
INV_800064,2025-03-05,Shepperton_Plant,High Energy Brown,1162,466,3016
INV_800065,2025-05-12,Shepperton_Plant,Soft white,615,1257,4677
INV_800066,2025-05-24,Shepperton_Plant,Low GI Seed loaf,415,1623,5198
INV_800067,2025-04-26,Shepperton_Plant,High Energy Brown,1797,1765,3048
INV_800068,2025-07-19,Shepperton_Plant,Low GI Seed loaf,1850,469,6579
INV_800069,2025-07-04,Shepperton_Plant,Soft white,848,1683,3842
INV_800070,2025-07-17,Shepperton_Plant,High Energy Brown,888,1068,2868
INV_800071,2025-01-21,Shepperton_Plant,Whole grain loaf,1317,543,2328
INV_800072,2025-05-28,Shepperton_Plant,High Energy Brown,1743,774,3837
INV_800073,2025-01-11,Shepperton_Plant,Whole grain loaf,1508,245,3591
INV_800074,2025-05-18,Shepperton_Plant,Whole grain loaf,1550,1207,3934
INV_800075,2025-01-12,Shepperton_Plant,Whole grain loaf,976,875,4035
INV_800076,2025-06-15,Shepperton_Plant,Soft white,666,232,4276
INV_800077,2025-07-05,Shepperton_Plant,High Energy Brown,1002,441,4398
INV_800078,2025-04-03,Shepperton_Plant,High Energy Brown,1012,1200,4210
INV_800079,2025-06-17,Shepperton_Plant,Whole grain loaf,1154,377,4812
INV_800080,2025-04-20,Shepperton_Plant,Low GI Seed loaf,1238,1733,6084
INV_800081,2025-04-09,Shepperton_Plant,Whole grain loaf,1710,715,5807
INV_800082,2025-04-12,Shepperton_Plant,Low GI Seed loaf,1874,1286,6672
INV_800083,2025-01-06,Shepperton_Plant,Soft white,1284,1476,4084
INV_800084,2025-01-21,Shepperton_Plant,Low GI Seed loaf,1426,247,7851
INV_800085,2025-06-28,Shepperton_Plant,Soft white,1714,1246,4552
INV_800086,2025-05-17,Shepperton_Plant,Low GI Seed loaf,1485,1380,7956
INV_800087,2025-02-27,Shepperton_Plant,Low GI Seed loaf,667,1508,7115
INV_800088,2025-03-12,Shepperton_Plant,Whole grain loaf,1054,1000,5861
INV_800089,2025-03-23,Shepperton_Plant,Soft white,307,854,4005
INV_800090,2025-01-23,Shepperton_Plant,High Energy Brown,1581,1225,4566
INV_800091,2025-02-17,Shepperton_Plant,Soft white,1539,1100,4444
INV_800092,2025-01-09,Shepperton_Plant,Soft white,1933,1511,4866
INV_800093,2025-04-08,Shepperton_Plant,Soft white,391,746,4511
INV_800094,2025-04-07,Shepperton_Plant,Soft white,561,760,4312
INV_800095,2025-02-16,Shepperton_Plant,Low GI Seed loaf,628,524,7219
INV_800096,2025-01-24,Shepperton_Plant,Low GI Seed loaf,1637,729,8127
INV_800097,2025-04-07,Shepperton_Plant,High Energy Brown,1838,883,5521
INV_800098,2025-07-01,Shepperton_Plant,High Energy Brown,1851,735,6637
INV_800099,2025-03-12,Shepperton_Plant,High Energy Brown,627,486,6778
INV_800100,2025-04-22,Shepperton_Plant,Whole grain loaf,824,1469,5216
INV_800101,2025-06-23,Shepperton_Plant,High Energy Brown,1139,1746,6171
INV_800102,2025-01-26,Shepperton_Plant,Low GI Seed loaf,1461,240,9348
INV_800103,2025-06-24,Shepperton_Plant,Whole grain loaf,1099,1244,5071
INV_800104,2025-01-18,Shepperton_Plant,Soft white,404,618,4098
INV_800105,2025-01-01,Shepperton_Plant,Low GI Seed loaf,519,1239,8628
INV_800106,2025-03-27,Shepperton_Plant,High Energy Brown,1646,795,7022
INV_800107,2025-04-23,Shepperton_Plant,Whole grain loaf,736,894,4913
INV_800108,2025-06-27,Shepperton_Plant,Low GI Seed loaf,865,904,8589
INV_800109,2025-04-09,Shepperton_Plant,Whole grain loaf,1403,1354,4962
INV_800110,2025-05-04,Shepperton_Plant,Soft white,1424,895,4627
INV_800111,2025-05-06,Shepperton_Plant,Low GI Seed loaf,1834,1359,9064
INV_800112,2025-05-06,Shepperton_Plant,High Energy Brown,1327,1693,6656
INV_800113,2025-02-03,Shepperton_Plant,Soft white,672,649,4650
INV_800114,2025-04-22,Shepperton_Plant,High Energy Brown,1452,832,7276
INV_800115,2025-05-15,Shepperton_Plant,High Energy Brown,1420,860,7836
INV_800116,2025-04-20,Shepperton_Plant,High Energy Brown,467,974,7329
INV_800117,2025-02-13,Shepperton_Plant,High Energy Brown,607,437,7499
INV_800118,2025-01-07,Shepperton_Plant,High Energy Brown,375,876,6998
INV_800119,2025-06-18,Shepperton_Plant,Whole grain loaf,964,447,5479
INV_800120,2025-07-18,Shepperton_Plant,High Energy Brown,773,424,7347
INV_800121,2025-06-28,Shepperton_Plant,Soft white,1664,312,6002
INV_800122,2025-03-28,Shepperton_Plant,Soft white,1179,663,6518
INV_800123,2025-02-19,Shepperton_Plant,High Energy Brown,390,661,7076
INV_800124,2025-02-10,Shepperton_Plant,Soft white,499,1483,5534
INV_800125,2025-04-28,Shepperton_Plant,Low GI Seed loaf,323,265,9122
INV_800126,2025-02-25,Shepperton_Plant,Soft white,1713,336,6911
INV_800127,2025-03-10,Shepperton_Plant,Whole grain loaf,1023,1765,4737
INV_800128,2025-05-10,Shepperton_Plant,Low GI Seed loaf,445,1697,7870
INV_800129,2025-06-23,Shepperton_Plant,Whole grain loaf,1311,1565,4483
INV_800130,2025-01-16,Shepperton_Plant,High Energy Brown,995,740,7331
INV_800131,2025-03-25,Shepperton_Plant,Soft white,882,1009,6784
INV_800132,2025-07-11,Shepperton_Plant,Soft white,1420,543,7661
INV_800133,2025-06-11,Shepperton_Plant,Soft white,574,699,7536
INV_800134,2025-01-24,Shepperton_Plant,Low GI Seed loaf,1185,980,8075
INV_800135,2025-06-18,Shepperton_Plant,Whole grain loaf,1198,985,4696
INV_800136,2025-01-08,Shepperton_Plant,Soft white,926,255,8207
INV_800137,2025-04-07,Shepperton_Plant,Soft white,694,1759,7142
INV_800138,2025-05-28,Shepperton_Plant,Soft white,526,1057,6611
INV_800139,2025-02-10,Shepperton_Plant,Low GI Seed loaf,1822,454,9443
INV_800140,2025-03-02,Shepperton_Plant,Soft white,1782,836,7557
INV_800141,2025-04-16,Shepperton_Plant,Low GI Seed loaf,486,284,9645
INV_800142,2025-04-27,Shepperton_Plant,Whole grain loaf,1294,1624,4366
INV_800143,2025-01-06,Shepperton_Plant,Soft white,578,438,7697
INV_800144,2025-01-02,Shepperton_Plant,Whole grain loaf,1348,1202,4512
INV_800145,2025-04-28,Shepperton_Plant,Soft white,1265,1303,7659
INV_800146,2025-04-01,Shepperton_Plant,Low GI Seed loaf,720,1180,9185
INV_800147,2025-07-08,Shepperton_Plant,Soft white,1546,1165,8040
INV_800148,2025-06-23,Shepperton_Plant,Soft white,324,875,7489
INV_800149,2025-02-19,Shepperton_Plant,Soft white,1932,1401,8020
INV_800150,2025-03-22,Shepperton_Plant,Whole grain loaf,780,220,5072
INV_800151,2025-04-08,Shepperton_Plant,High Energy Brown,1709,1029,8011
INV_800152,2025-07-18,Shepperton_Plant,High Energy Brown,1191,1288,7914
INV_800153,2025-04-18,Shepperton_Plant,Soft white,1261,1386,7895
INV_800154,2025-06-28,Shepperton_Plant,High Energy Brown,1091,1656,7349
INV_800155,2025-04-15,Shepperton_Plant,Low GI Seed loaf,960,1748,8397
INV_800156,2025-05-18,Shepperton_Plant,Whole grain loaf,1602,702,5972
INV_800157,2025-04-26,Shepperton_Plant,Soft white,1024,477,8442
INV_800158,2025-07-22,Shepperton_Plant,High Energy Brown,553,1493,6409
INV_800159,2025-06-22,Shepperton_Plant,Low GI Seed loaf,1881,1088,9190
INV_800160,2025-06-03,Shepperton_Plant,Low GI Seed loaf,1163,413,9940
INV_800161,2025-01-15,Shepperton_Plant,Soft white,1220,1192,8470
INV_800162,2025-02-13,Shepperton_Plant,Whole grain loaf,966,1030,5908
INV_800163,2025-04-01,Shepperton_Plant,Low GI Seed loaf,1049,1294,9695
INV_800164,2025-05-15,Shepperton_Plant,Whole grain loaf,1484,700,6692
INV_800165,2025-02-13,Shepperton_Plant,Whole grain loaf,409,338,6763
INV_800166,2025-05-20,Shepperton_Plant,High Energy Brown,1422,998,6833
INV_800167,2025-03-07,Shepperton_Plant,Soft white,1367,768,9069
INV_800168,2025-05-23,Shepperton_Plant,Soft white,1402,1178,9293
INV_800169,2025-02-26,Shepperton_Plant,High Energy Brown,989,1394,6428
INV_800170,2025-04-18,Shepperton_Plant,Soft white,1635,1734,9194
INV_800171,2025-04-27,Shepperton_Plant,Soft white,992,1284,8902
INV_800172,2025-05-09,Shepperton_Plant,Soft white,1585,1017,9470
INV_800173,2025-05-02,Shepperton_Plant,High Energy Brown,678,1032,6074
INV_800174,2025-07-13,Shepperton_Plant,Whole grain loaf,1889,347,8305
INV_800175,2025-07-17,Shepperton_Plant,High Energy Brown,1269,1083,6260
INV_800176,2025-03-19,Shepperton_Plant,Low GI Seed loaf,354,1423,8626
INV_800177,2025-05-07,Shepperton_Plant,Low GI Seed loaf,1654,651,9629
INV_800178,2025-04-02,Shepperton_Plant,Whole grain loaf,498,290,8513
INV_800179,2025-05-02,Shepperton_Plant,Soft white,1724,453,10741
INV_800180,2025-04-14,Shepperton_Plant,Soft white,1319,1453,10607
INV_800181,2025-04-17,Shepperton_Plant,Whole grain loaf,1076,1665,7924
INV_800182,2025-04-23,Shepperton_Plant,Low GI Seed loaf,582,230,9981
INV_800183,2025-06-08,Shepperton_Plant,High Energy Brown,317,1554,5023
INV_800184,2025-05-04,Shepperton_Plant,High Energy Brown,1945,1007,5961
INV_800185,2025-04-16,Shepperton_Plant,Soft white,1525,571,11561
INV_800186,2025-05-09,Shepperton_Plant,Low GI Seed loaf,328,527,9782
INV_800187,2025-03-10,Shepperton_Plant,Soft white,782,437,11906
INV_800188,2025-06-24,Shepperton_Plant,Whole grain loaf,863,715,8072
INV_800189,2025-05-06,Shepperton_Plant,Soft white,300,226,11980
INV_800190,2025-04-13,Shepperton_Plant,Soft white,1696,1106,12570
INV_800191,2025-02-24,Shepperton_Plant,Soft white,692,951,12311
INV_800192,2025-01-09,Shepperton_Plant,Soft white,1383,843,12851
INV_800193,2025-04-25,Shepperton_Plant,High Energy Brown,374,982,5353
INV_800194,2025-07-09,Shepperton_Plant,High Energy Brown,880,1491,4742
INV_800195,2025-01-17,Shepperton_Plant,Low GI Seed loaf,1980,873,10889
INV_800196,2025-06-04,Shepperton_Plant,Soft white,730,1145,12436
INV_800197,2025-07-24,Shepperton_Plant,Low GI Seed loaf,1755,796,11848
INV_800198,2025-07-25,Shepperton_Plant,Soft white,1221,868,12789
INV_800199,2025-01-27,Shepperton_Plant,Soft white,732,1456,12065
INV_800200,2025-06-27,Shepperton_Plant,Soft white,1724,1436,12353
INV_800201,2025-01-23,Shepperton_Plant,Soft white,1460,747,13066
INV_800202,2025-01-02,Shepperton_Plant,High Energy Brown,1470,1718,4494
INV_800203,2025-02-14,Shepperton_Plant,Low GI Seed loaf,1072,1389,11531
INV_800204,2025-05-01,Shepperton_Plant,Soft white,303,824,12545
INV_800205,2025-06-26,Shepperton_Plant,Low GI Seed loaf,1110,1037,11604
INV_800206,2025-06-15,Shepperton_Plant,Low GI Seed loaf,1505,602,12507
INV_800207,2025-02-01,Shepperton_Plant,Soft white,604,320,12829
INV_800208,2025-07-20,Shepperton_Plant,Soft white,1855,1336,13348
INV_800209,2025-02-02,Shepperton_Plant,Soft white,1144,1419,13073
INV_800210,2025-06-27,Shepperton_Plant,Whole grain loaf,1328,1006,8394
INV_800211,2025-04-11,Shepperton_Plant,High Energy Brown,1722,339,5877
INV_800212,2025-01-02,Shepperton_Plant,Soft white,658,292,13439
INV_800213,2025-05-17,Shepperton_Plant,Whole grain loaf,317,260,8451
INV_800214,2025-07-03,Shepperton_Plant,Low GI Seed loaf,671,323,12855
INV_800215,2025-03-23,Shepperton_Plant,High Energy Brown,354,861,5370
INV_800216,2025-07-10,Shepperton_Plant,Soft white,1917,1679,13677
INV_800217,2025-04-10,Shepperton_Plant,Low GI Seed loaf,1735,1040,13550
INV_800218,2025-04-20,Shepperton_Plant,Soft white,1578,1536,13719
INV_800219,2025-01-19,Shepperton_Plant,Low GI Seed loaf,324,1115,12759
INV_800220,2025-01-03,Shepperton_Plant,Soft white,1273,1578,13414
INV_800221,2025-03-05,Shepperton_Plant,Low GI Seed loaf,1266,1713,12312
INV_800222,2025-01-08,Shepperton_Plant,Low GI Seed loaf,675,589,12398
INV_800223,2025-05-19,Shepperton_Plant,Low GI Seed loaf,831,1431,11798
INV_800224,2025-06-04,Shepperton_Plant,Low GI Seed loaf,1504,961,12341
INV_800225,2025-03-28,Shepperton_Plant,Whole grain loaf,1879,890,9440
INV_800226,2025-04-11,Shepperton_Plant,Low GI Seed loaf,1270,245,13366
INV_800227,2025-02-26,Shepperton_Plant,Soft white,836,1762,12488
INV_800228,2025-07-08,Shepperton_Plant,Whole grain loaf,611,1509,8542
INV_800229,2025-05-11,Shepperton_Plant,Whole grain loaf,584,791,8335
INV_800230,2025-03-15,Shepperton_Plant,Low GI Seed loaf,415,519,13262
INV_800231,2025-02-17,Shepperton_Plant,Soft white,1789,660,13617
INV_800232,2025-01-20,Shepperton_Plant,Whole grain loaf,586,1248,7673
INV_800233,2025-04-21,Shepperton_Plant,Soft white,1298,1328,13587
INV_800234,2025-03-05,Shepperton_Plant,High Energy Brown,755,979,5146
INV_800235,2025-04-21,Shepperton_Plant,Whole grain loaf,656,430,7899
INV_800236,2025-04-12,Shepperton_Plant,Soft white,637,1375,12849
INV_800237,2025-04-11,Shepperton_Plant,Low GI Seed loaf,1439,723,13978
INV_800238,2025-07-16,Shepperton_Plant,High Energy Brown,910,1305,4751
INV_800239,2025-03-15,Shepperton_Plant,Low GI Seed loaf,1392,1306,14064
INV_800240,2025-07-09,Shepperton_Plant,Whole grain loaf,1754,1436,8217
INV_800241,2025-07-15,Shepperton_Plant,Low GI Seed loaf,1555,446,15173
INV_800242,2025-01-17,Shepperton_Plant,Whole grain loaf,715,1714,7218
INV_800243,2025-06-08,Shepperton_Plant,Soft white,1350,1800,12399
INV_800244,2025-03-09,Shepperton_Plant,Low GI Seed loaf,1110,1663,14620
INV_800245,2025-05-10,Shepperton_Plant,High Energy Brown,1911,841,5821
INV_800246,2025-07-26,Shepperton_Plant,Soft white,1681,316,13764
INV_800247,2025-01-09,Shepperton_Plant,High Energy Brown,1388,1471,5738
INV_800248,2025-03-07,Shepperton_Plant,Low GI Seed loaf,1086,1500,14206
INV_800249,2025-01-11,Shepperton_Plant,Soft white,457,1309,12912
INV_800250,2025-01-15,Shepperton_Plant,Whole grain loaf,1378,681,7915
INV_800251,2025-02-22,Shepperton_Plant,Whole grain loaf,1650,1165,8400
INV_800252,2025-05-04,Shepperton_Plant,Low GI Seed loaf,1482,1358,14330
INV_800253,2025-05-14,Shepperton_Plant,Low GI Seed loaf,1450,1378,14402
INV_800254,2025-03-03,Shepperton_Plant,High Energy Brown,1240,800,6178
INV_800255,2025-06-01,Shepperton_Plant,High Energy Brown,656,1656,5178
INV_800256,2025-07-02,Shepperton_Plant,Whole grain loaf,1926,824,9502
INV_800257,2025-05-21,Shepperton_Plant,High Energy Brown,1564,292,6450
INV_800258,2025-07-09,Shepperton_Plant,Soft white,746,1740,11918
INV_800259,2025-04-24,Shepperton_Plant,Whole grain loaf,583,524,9561
INV_800260,2025-04-15,Shepperton_Plant,High Energy Brown,1845,1612,6683
INV_800261,2025-03-28,Shepperton_Plant,Soft white,1308,1363,11863
INV_800262,2025-06-25,Shepperton_Plant,Whole grain loaf,1498,483,10576
INV_800263,2025-06-17,Shepperton_Plant,High Energy Brown,791,550,6924
INV_800264,2025-04-28,Shepperton_Plant,Soft white,1590,788,12665
INV_800265,2025-07-09,Shepperton_Plant,Soft white,1187,1286,12566
INV_800266,2025-07-08,Shepperton_Plant,High Energy Brown,1016,1724,6216
INV_800267,2025-03-16,Shepperton_Plant,High Energy Brown,1322,296,7242
INV_800268,2025-03-23,Shepperton_Plant,High Energy Brown,1207,823,7626
INV_800269,2025-04-19,Shepperton_Plant,Soft white,1821,1286,13101
INV_800270,2025-04-20,Shepperton_Plant,Soft white,821,1740,12182
INV_800271,2025-01-07,Shepperton_Plant,Whole grain loaf,599,1770,9405
INV_800272,2025-02-15,Shepperton_Plant,Soft white,1069,294,12957
INV_800273,2025-02-26,Shepperton_Plant,Low GI Seed loaf,1944,1190,15156
INV_800274,2025-03-11,Shepperton_Plant,Soft white,1191,712,13436
INV_800275,2025-04-06,Shepperton_Plant,Whole grain loaf,1843,209,11039
INV_800276,2025-07-03,Shepperton_Plant,Whole grain loaf,1912,532,12419
INV_800277,2025-04-15,Shepperton_Plant,Soft white,890,443,13883
INV_800278,2025-07-12,Shepperton_Plant,Low GI Seed loaf,1361,1075,15442
INV_800279,2025-07-01,Shepperton_Plant,High Energy Brown,790,1406,7010
INV_800280,2025-01-26,Shepperton_Plant,Low GI Seed loaf,1832,1037,16237
INV_800281,2025-05-25,Shepperton_Plant,High Energy Brown,1072,865,7217
INV_800282,2025-04-24,Shepperton_Plant,Low GI Seed loaf,1178,1707,15708
INV_800283,2025-07-14,Shepperton_Plant,Soft white,619,599,13903
INV_800284,2025-03-17,Shepperton_Plant,Soft white,691,1131,13463
INV_800285,2025-06-15,Shepperton_Plant,Low GI Seed loaf,619,625,15702
INV_800286,2025-01-02,Shepperton_Plant,Low GI Seed loaf,1726,244,17184
INV_800287,2025-06-06,Shepperton_Plant,High Energy Brown,641,462,7396
INV_800288,2025-02-26,Shepperton_Plant,Whole grain loaf,360,1349,11430
INV_800289,2025-01-14,Shepperton_Plant,Low GI Seed loaf,1333,1627,16890
INV_800290,2025-07-03,Shepperton_Plant,High Energy Brown,1915,1136,8175
INV_800291,2025-05-10,Shepperton_Plant,Whole grain loaf,430,1180,10680
INV_800292,2025-01-17,Shepperton_Plant,Whole grain loaf,915,1446,10149
INV_800293,2025-06-15,Shepperton_Plant,Soft white,631,207,13887
INV_800294,2025-03-06,Shepperton_Plant,Low GI Seed loaf,1990,689,18191
INV_800295,2025-07-01,Shepperton_Plant,Whole grain loaf,1983,1680,10452
INV_800296,2025-06-28,Shepperton_Plant,Whole grain loaf,1499,420,11531
INV_800297,2025-03-08,Shepperton_Plant,Whole grain loaf,1285,381,12435
INV_800298,2025-02-03,Shepperton_Plant,Whole grain loaf,347,1253,11529
INV_800299,2025-03-01,Shepperton_Plant,Whole grain loaf,1321,373,12477
INV_800300,2025-06-07,Shepperton_Plant,Low GI Seed loaf,784,1379,17596
INV_800301,2025-05-04,Shepperton_Plant,Whole grain loaf,1718,1229,12966
INV_800302,2025-07-16,Shepperton_Plant,Low GI Seed loaf,505,1530,16571
INV_800303,2025-06-08,Shepperton_Plant,High Energy Brown,1566,965,8776
INV_800304,2025-06-19,Shepperton_Plant,Whole grain loaf,638,1016,12588
INV_800305,2025-07-10,Shepperton_Plant,High Energy Brown,1856,722,9910
INV_800306,2025-05-24,Shepperton_Plant,High Energy Brown,1887,776,11021
INV_800307,2025-01-08,Shepperton_Plant,High Energy Brown,742,752,11011
INV_800308,2025-04-26,Shepperton_Plant,Whole grain loaf,1395,1071,12912
INV_800309,2025-07-28,Shepperton_Plant,Soft white,1659,1367,14179
INV_800310,2025-04-12,Shepperton_Plant,Low GI Seed loaf,1914,689,17796
INV_800311,2025-05-05,Shepperton_Plant,Whole grain loaf,1441,223,14130
INV_800312,2025-07-24,Shepperton_Plant,Low GI Seed loaf,1200,750,18246
INV_800313,2025-02-06,Shepperton_Plant,Whole grain loaf,1332,601,14861
INV_800314,2025-01-27,Shepperton_Plant,High Energy Brown,1204,460,11755
INV_800315,2025-05-15,Shepperton_Plant,Low GI Seed loaf,1159,1728,17677
INV_800316,2025-01-07,Shepperton_Plant,High Energy Brown,429,303,11881
INV_800317,2025-05-04,Shepperton_Plant,Low GI Seed loaf,695,296,18076
INV_800318,2025-04-18,Shepperton_Plant,Low GI Seed loaf,1267,965,18378
INV_800319,2025-03-22,Shepperton_Plant,Low GI Seed loaf,347,1673,17052
INV_800320,2025-01-02,Shepperton_Plant,Low GI Seed loaf,756,1525,16283
INV_800321,2025-02-02,Shepperton_Plant,Soft white,883,1049,14013
INV_800322,2025-07-15,Shepperton_Plant,Low GI Seed loaf,818,499,16602
INV_800323,2025-05-25,Shepperton_Plant,Low GI Seed loaf,493,690,16405
INV_800324,2025-01-05,Shepperton_Plant,High Energy Brown,1982,1584,12279
INV_800325,2025-03-28,Shepperton_Plant,Whole grain loaf,783,799,14845
INV_800326,2025-01-11,Shepperton_Plant,Low GI Seed loaf,712,231,16886
INV_800327,2025-07-12,Shepperton_Plant,Whole grain loaf,463,1155,14153
INV_800328,2025-04-19,Shepperton_Plant,Soft white,959,1462,13510
INV_800329,2025-04-28,Shepperton_Plant,High Energy Brown,1603,287,13595
INV_800330,2025-02-09,Shepperton_Plant,High Energy Brown,1312,253,14654
INV_800331,2025-01-04,Shepperton_Plant,Low GI Seed loaf,820,964,16742
INV_800332,2025-05-06,Shepperton_Plant,Whole grain loaf,539,1699,12993
INV_800333,2025-03-07,Shepperton_Plant,High Energy Brown,591,315,14930
INV_800334,2025-03-25,Shepperton_Plant,Soft white,1691,922,14279
INV_800335,2025-07-18,Shepperton_Plant,Whole grain loaf,719,1177,12535
INV_800336,2025-07-26,Shepperton_Plant,Soft white,495,1734,13040
INV_800337,2025-03-26,Shepperton_Plant,High Energy Brown,507,1583,13854
INV_800338,2025-01-13,Shepperton_Plant,Whole grain loaf,728,1390,11873
INV_800339,2025-07-25,Shepperton_Plant,High Energy Brown,1898,559,15193
INV_800340,2025-03-17,Shepperton_Plant,Low GI Seed loaf,793,1433,16102
INV_800341,2025-06-01,Shepperton_Plant,High Energy Brown,847,745,15295
INV_800342,2025-02-03,Shepperton_Plant,High Energy Brown,1749,585,16459
INV_800343,2025-02-10,Shepperton_Plant,Whole grain loaf,1101,1206,11768
INV_800344,2025-04-17,Shepperton_Plant,Whole grain loaf,1852,1773,11847
INV_800345,2025-06-19,Shepperton_Plant,High Energy Brown,1353,270,17542
INV_800346,2025-07-17,Shepperton_Plant,High Energy Brown,1595,1176,17961
INV_800347,2025-07-04,Shepperton_Plant,High Energy Brown,1766,948,18779
INV_800348,2025-06-16,Shepperton_Plant,Low GI Seed loaf,1583,1129,16556
INV_800349,2025-02-14,Shepperton_Plant,Whole grain loaf,1424,938,12333
INV_800350,2025-06-08,Shepperton_Plant,Soft white,1455,889,13606
INV_800351,2025-04-07,Shepperton_Plant,Whole grain loaf,1918,396,13855
INV_800352,2025-03-20,Shepperton_Plant,Whole grain loaf,1653,547,14961
INV_800353,2025-02-19,Shepperton_Plant,High Energy Brown,1720,1588,18911
INV_800354,2025-02-18,Shepperton_Plant,Soft white,1172,874,13904
INV_800355,2025-07-02,Shepperton_Plant,Soft white,1710,478,15136
