record_id,holiday_name,date,region,qty_produced,demand_shift_factor,qty_leftover,sell_through_rate,timestamp,Soft white,High Energy Brown,Whole grain loaf,Low GI Seed loaf
HOLIDAY_REC_9665,Africa Day,2025-05-25,Mutare,1296,1.15,176,0.864,2025-05-25,0,133,152,217
HOLIDAY_REC_16266,Christmas Day,2025-12-25,Chitungwiza,1218,1.08,100,0.918,2025-12-25,324,75,0,171
HOLIDAY_REC_9860,Africa Day,2025-05-25,Bulawayo,2147,1.15,25,0.988,2025-05-25,1988,796,765,821
HOLIDAY_REC_18016,Boxing Day,2025-12-26,Masvingo,1116,1.09,117,0.895,2025-12-26,0,366,0,660
HOLIDAY_REC_3069,National Youth Day,2025-02-21,Mutare,907,1.04,14,0.985,2025-02-21,2586,1001,1041,1012
HOLIDAY_REC_12585,Defense Forces Day,2025-08-13,Masvingo,1777,0.92,222,0.875,2025-08-13,0,946,1530,0
HOLIDAY_REC_13510,Defense Forces Day,2025-08-13,Harare,968,0.99,11,0.989,2025-08-13,1855,590,851,744
HOLIDAY_REC_3335,National Youth Day,2025-02-21,Mutare,1193,1.06,4,0.997,2025-02-21,0,939,1136,913
HOLIDAY_REC_13195,Defense Forces Day,2025-08-13,Masvingo,1972,1.08,189,0.904,2025-08-13,0,0,2411,2305
HOLIDAY_REC_4476,Independence Day,2025-04-18,Masvingo,1820,0.93,77,0.958,2025-04-18,1367,293,309,0
HOLIDAY_REC_6286,Easter Monday,2025-04-21,Harare,1230,1.28,87,0.929,2025-04-21,1716,664,816,565
HOLIDAY_REC_116,New Year's Day,2025-01-01,Mutare,1618,1.07,146,0.91,2025-01-01,2483,898,726,1018
HOLIDAY_REC_18707,Boxing Day,2025-12-26,Harare,785,1.14,104,0.868,2025-12-26,2536,731,570,695
HOLIDAY_REC_19154,Boxing Day,2025-12-26,Chitungwiza,2624,1.12,340,0.87,2025-12-26,2711,647,500,748
HOLIDAY_REC_2954,National Youth Day,2025-02-21,Chitungwiza,728,1.17,63,0.913,2025-02-21,2000,442,540,472
HOLIDAY_REC_19211,Boxing Day,2025-12-26,Chitungwiza,862,1.27,8,0.991,2025-12-26,2095,756,748,0
HOLIDAY_REC_3949,Independence Day,2025-04-18,Gweru,708,1.01,16,0.977,2025-04-18,1973,0,0,1924
HOLIDAY_REC_2406,National Youth Day,2025-02-21,Bulawayo,1933,1.05,79,0.959,2025-02-21,0,915,1195,1408
HOLIDAY_REC_5576,Easter Monday,2025-04-21,Bulawayo,2036,1.24,70,0.966,2025-04-21,495,125,148,0
HOLIDAY_REC_347,New Year's Day,2025-01-01,Gweru,2424,1.12,266,0.89,2025-01-01,2190,575,786,547
HOLIDAY_REC_16700,Christmas Day,2025-12-25,Masvingo,1682,1.0,161,0.904,2025-12-25,933,332,362,0
HOLIDAY_REC_16152,Christmas Day,2025-12-25,Gweru,2409,1.08,165,0.932,2025-12-25,0,0,419,431
HOLIDAY_REC_8345,Workers Day,2025-05-01,Gweru,1782,1.08,27,0.985,2025-05-01,3127,724,895,650
HOLIDAY_REC_17898,Boxing Day,2025-12-26,Bulawayo,1236,0.97,144,0.883,2025-12-26,1774,724,670,498
HOLIDAY_REC_16585,Christmas Day,2025-12-25,Mutare,1004,1.0,38,0.962,2025-12-25,0,1021,1191,1769
HOLIDAY_REC_1398,New Year's Day,2025-01-01,Chitungwiza,2528,0.9,359,0.858,2025-01-01,2278,908,816,796
HOLIDAY_REC_6253,Easter Monday,2025-04-21,Chitungwiza,2388,0.92,177,0.926,2025-04-21,0,1227,1567,0
HOLIDAY_REC_3311,National Youth Day,2025-02-21,Bulawayo,1109,1.23,46,0.959,2025-02-21,0,0,2538,2426
HOLIDAY_REC_13912,Unity Day,2025-12-22,Masvingo,1741,1.05,116,0.933,2025-12-22,1897,0,1014,0
HOLIDAY_REC_5934,Easter Monday,2025-04-21,Bulawayo,2170,1.03,303,0.86,2025-04-21,2281,0,858,0
HOLIDAY_REC_9920,Africa Day,2025-05-25,Mutare,1353,1.23,54,0.96,2025-05-25,1233,341,0,519
HOLIDAY_REC_2610,National Youth Day,2025-02-21,Harare,1295,1.04,121,0.907,2025-02-21,562,136,0,0
HOLIDAY_REC_961,New Year's Day,2025-01-01,Gweru,2696,1.16,260,0.904,2025-01-01,495,0,155,192
HOLIDAY_REC_201,New Year's Day,2025-01-01,Mutare,2251,0.95,186,0.917,2025-01-01,700,250,219,0
HOLIDAY_REC_17112,Christmas Day,2025-12-25,Mutare,764,1.01,89,0.884,2025-12-25,2087,631,850,748
HOLIDAY_REC_18174,Boxing Day,2025-12-26,Harare,2540,0.99,256,0.899,2025-12-26,1705,0,1155,835
HOLIDAY_REC_9723,Africa Day,2025-05-25,Chitungwiza,1766,0.91,69,0.961,2025-05-25,2460,0,1127,0
HOLIDAY_REC_323,New Year's Day,2025-01-01,Gweru,1401,1.06,118,0.916,2025-01-01,1806,400,0,0
HOLIDAY_REC_11938,Defense Forces Day,2025-08-13,Mutare,736,0.93,96,0.87,2025-08-13,2184,402,629,484
HOLIDAY_REC_1351,New Year's Day,2025-01-01,Harare,2380,1.13,97,0.959,2025-01-01,0,0,655,523
HOLIDAY_REC_11319,Heroes Day,2025-08-12,Bulawayo,2440,1.24,67,0.973,2025-08-12,1842,0,0,2088
HOLIDAY_REC_13813,Unity Day,2025-12-22,Harare,1253,0.97,33,0.974,2025-12-22,603,159,197,0
HOLIDAY_REC_10785,Heroes Day,2025-08-12,Masvingo,1111,1.2,34,0.969,2025-08-12,0,255,309,424
HOLIDAY_REC_17600,Boxing Day,2025-12-26,Harare,839,1.16,98,0.883,2025-12-26,2432,622,589,457
HOLIDAY_REC_912,New Year's Day,2025-01-01,Mutare,1178,1.02,99,0.916,2025-01-01,0,440,0,1231
HOLIDAY_REC_10952,Heroes Day,2025-08-12,Harare,761,1.05,110,0.855,2025-08-12,0,1854,2300,0
HOLIDAY_REC_8846,Africa Day,2025-05-25,Masvingo,1198,0.95,89,0.926,2025-05-25,480,0,247,0
HOLIDAY_REC_14062,Unity Day,2025-12-22,Gweru,716,1.22,15,0.979,2025-12-22,0,186,166,0
HOLIDAY_REC_10896,Heroes Day,2025-08-12,Gweru,747,1.02,62,0.917,2025-08-12,2642,933,834,1219
HOLIDAY_REC_3478,Independence Day,2025-04-18,Chitungwiza,1846,1.14,27,0.985,2025-04-18,1772,400,550,0
HOLIDAY_REC_3380,National Youth Day,2025-02-21,Bulawayo,559,1.02,7,0.987,2025-02-21,0,1570,1406,1167
HOLIDAY_REC_7402,Workers Day,2025-05-01,Harare,1877,0.95,117,0.938,2025-05-01,1218,302,328,334
HOLIDAY_REC_18387,Boxing Day,2025-12-26,Mutare,1915,1.06,102,0.947,2025-12-26,425,126,108,95
HOLIDAY_REC_16118,Christmas Day,2025-12-25,Bulawayo,1039,1.29,105,0.899,2025-12-25,623,0,381,0
HOLIDAY_REC_8744,Africa Day,2025-05-25,Mutare,1629,0.97,45,0.972,2025-05-25,555,0,318,0
HOLIDAY_REC_6706,Easter Monday,2025-04-21,Chitungwiza,950,0.96,77,0.919,2025-04-21,0,432,416,411
HOLIDAY_REC_15559,Unity Day,2025-12-22,Harare,2048,0.91,208,0.898,2025-12-22,1624,423,443,360
HOLIDAY_REC_4402,Independence Day,2025-04-18,Gweru,1862,1.19,248,0.867,2025-04-18,728,184,207,147
HOLIDAY_REC_5672,Easter Monday,2025-04-21,Mutare,1076,1.12,129,0.88,2025-04-21,804,243,0,536
HOLIDAY_REC_5928,Easter Monday,2025-04-21,Gweru,1697,1.01,182,0.893,2025-04-21,891,176,0,0
HOLIDAY_REC_3512,Independence Day,2025-04-18,Masvingo,828,0.94,123,0.851,2025-04-18,1380,411,676,536
HOLIDAY_REC_15537,Unity Day,2025-12-22,Chitungwiza,1545,1.09,6,0.996,2025-12-22,3156,0,1395,1176
HOLIDAY_REC_6089,Easter Monday,2025-04-21,Gweru,1540,1.26,27,0.982,2025-04-21,0,239,205,241
HOLIDAY_REC_15449,Unity Day,2025-12-22,Harare,2091,1.27,6,0.997,2025-12-22,2089,0,0,2486
HOLIDAY_REC_15612,Unity Day,2025-12-22,Mutare,1030,1.24,3,0.997,2025-12-22,2722,916,0,0
HOLIDAY_REC_15780,Christmas Day,2025-12-25,Masvingo,2524,1.07,70,0.972,2025-12-25,0,0,986,1069
HOLIDAY_REC_467,New Year's Day,2025-01-01,Bulawayo,1668,1.29,23,0.986,2025-01-01,1052,312,459,448
HOLIDAY_REC_1863,National Youth Day,2025-02-21,Chitungwiza,1354,0.96,125,0.908,2025-02-21,1028,0,379,372
HOLIDAY_REC_8830,Africa Day,2025-05-25,Mutare,975,1.13,55,0.944,2025-05-25,1776,505,458,495
HOLIDAY_REC_10316,Heroes Day,2025-08-12,Chitungwiza,2127,1.26,121,0.943,2025-08-12,1072,0,671,526
HOLIDAY_REC_9051,Africa Day,2025-05-25,Bulawayo,1077,1.09,154,0.857,2025-05-25,0,1464,1454,0
HOLIDAY_REC_9151,Africa Day,2025-05-25,Bulawayo,613,1.19,35,0.943,2025-05-25,302,73,61,0
HOLIDAY_REC_8490,Africa Day,2025-05-25,Masvingo,2052,0.91,275,0.866,2025-05-25,374,136,113,118
HOLIDAY_REC_6660,Easter Monday,2025-04-21,Gweru,635,1.28,44,0.931,2025-04-21,859,264,319,443
HOLIDAY_REC_10068,Heroes Day,2025-08-12,Bulawayo,1207,1.03,84,0.93,2025-08-12,809,0,286,262
HOLIDAY_REC_853,New Year's Day,2025-01-01,Gweru,2786,1.29,303,0.891,2025-01-01,2565,0,0,2084
HOLIDAY_REC_17848,Boxing Day,2025-12-26,Chitungwiza,1032,1.25,123,0.881,2025-12-26,0,0,1381,1017
HOLIDAY_REC_9599,Africa Day,2025-05-25,Masvingo,1515,1.22,206,0.864,2025-05-25,3461,707,816,829
HOLIDAY_REC_6919,Workers Day,2025-05-01,Harare,2025,1.17,125,0.938,2025-05-01,515,0,226,0
HOLIDAY_REC_4519,Independence Day,2025-04-18,Gweru,965,1.08,95,0.902,2025-04-18,778,0,461,0
HOLIDAY_REC_12077,Defense Forces Day,2025-08-13,Harare,1075,1.12,50,0.953,2025-08-13,2766,527,819,554
HOLIDAY_REC_18714,Boxing Day,2025-12-26,Gweru,873,1.0,15,0.983,2025-12-26,2014,441,445,468
HOLIDAY_REC_14512,Unity Day,2025-12-22,Harare,837,1.19,82,0.902,2025-12-22,0,0,2093,2276
HOLIDAY_REC_3777,Independence Day,2025-04-18,Gweru,1697,0.91,91,0.946,2025-04-18,0,485,0,737
HOLIDAY_REC_14761,Unity Day,2025-12-22,Gweru,1818,1.24,241,0.867,2025-12-22,451,0,169,191
HOLIDAY_REC_17181,Christmas Day,2025-12-25,Harare,893,1.11,21,0.976,2025-12-25,0,1885,1831,1605
HOLIDAY_REC_2404,National Youth Day,2025-02-21,Chitungwiza,1189,0.95,21,0.982,2025-02-21,3027,1051,0,0
HOLIDAY_REC_13311,Defense Forces Day,2025-08-13,Mutare,685,1.02,61,0.911,2025-08-13,1984,0,801,567
HOLIDAY_REC_5862,Easter Monday,2025-04-21,Mutare,928,1.14,134,0.856,2025-04-21,0,327,423,335
HOLIDAY_REC_5866,Easter Monday,2025-04-21,Chitungwiza,1254,1.04,46,0.963,2025-04-21,0,197,193,0
HOLIDAY_REC_16415,Christmas Day,2025-12-25,Bulawayo,1426,1.3,118,0.917,2025-12-25,1005,0,464,533
HOLIDAY_REC_8396,Africa Day,2025-05-25,Mutare,775,0.99,29,0.963,2025-05-25,554,213,0,333
HOLIDAY_REC_10799,Heroes Day,2025-08-12,Gweru,1585,0.93,232,0.854,2025-08-12,0,436,0,798
HOLIDAY_REC_18765,Boxing Day,2025-12-26,Bulawayo,1169,1.19,117,0.9,2025-12-26,531,174,192,0
HOLIDAY_REC_9758,Africa Day,2025-05-25,Gweru,1163,1.22,73,0.937,2025-05-25,427,145,175,175
HOLIDAY_REC_4581,Independence Day,2025-04-18,Harare,1933,1.21,206,0.893,2025-04-18,0,304,311,401
HOLIDAY_REC_9335,Africa Day,2025-05-25,Bulawayo,1423,1.28,79,0.944,2025-05-25,0,1370,0,3226
HOLIDAY_REC_6474,Easter Monday,2025-04-21,Masvingo,1740,0.92,74,0.957,2025-04-21,0,777,1080,0
HOLIDAY_REC_13778,Defense Forces Day,2025-08-13,Masvingo,618,1.13,2,0.997,2025-08-13,2885,726,900,0
HOLIDAY_REC_18658,Boxing Day,2025-12-26,Harare,2369,1.0,110,0.954,2025-12-26,878,307,301,346
HOLIDAY_REC_11512,Heroes Day,2025-08-12,Mutare,1308,1.12,178,0.864,2025-08-12,1340,483,532,548
HOLIDAY_REC_7242,Workers Day,2025-05-01,Chitungwiza,1651,1.08,133,0.919,2025-05-01,0,1719,1730,0
HOLIDAY_REC_8456,Africa Day,2025-05-25,Masvingo,1872,1.05,120,0.936,2025-05-25,2222,0,0,1687
HOLIDAY_REC_18600,Boxing Day,2025-12-26,Mutare,1331,1.2,45,0.966,2025-12-26,1371,0,760,749
HOLIDAY_REC_6481,Easter Monday,2025-04-21,Masvingo,839,1.0,5,0.994,2025-04-21,2290,862,965,869
HOLIDAY_REC_10461,Heroes Day,2025-08-12,Gweru,1592,1.2,193,0.879,2025-08-12,0,1431,0,3885
HOLIDAY_REC_15131,Unity Day,2025-12-22,Mutare,846,1.07,1,0.999,2025-12-22,2068,0,960,1192
HOLIDAY_REC_17373,Christmas Day,2025-12-25,Masvingo,2778,0.95,245,0.912,2025-12-25,2866,0,1348,0
HOLIDAY_REC_8254,Workers Day,2025-05-01,Mutare,1522,0.93,37,0.976,2025-05-01,0,196,284,230
HOLIDAY_REC_11870,Heroes Day,2025-08-12,Harare,2232,1.02,30,0.987,2025-08-12,1137,382,423,551
HOLIDAY_REC_5526,Easter Monday,2025-04-21,Gweru,2178,1.17,57,0.974,2025-04-21,2672,0,1242,1142
HOLIDAY_REC_18831,Boxing Day,2025-12-26,Gweru,1020,1.17,101,0.901,2025-12-26,862,270,0,0
HOLIDAY_REC_9543,Africa Day,2025-05-25,Masvingo,791,0.91,113,0.857,2025-05-25,0,1485,1197,1093
HOLIDAY_REC_12472,Defense Forces Day,2025-08-13,Bulawayo,1214,0.95,157,0.871,2025-08-13,2435,776,0,1954
HOLIDAY_REC_9256,Africa Day,2025-05-25,Gweru,1968,1.07,201,0.898,2025-05-25,953,241,351,256
HOLIDAY_REC_18866,Boxing Day,2025-12-26,Chitungwiza,1498,1.1,30,0.98,2025-12-26,2690,745,0,0
HOLIDAY_REC_345,New Year's Day,2025-01-01,Chitungwiza,2353,1.26,181,0.923,2025-01-01,647,141,160,190
HOLIDAY_REC_10866,Heroes Day,2025-08-12,Bulawayo,2167,1.27,69,0.968,2025-08-12,0,863,526,0
HOLIDAY_REC_3024,National Youth Day,2025-02-21,Chitungwiza,2017,1.28,186,0.908,2025-02-21,516,168,164,233
HOLIDAY_REC_6069,Easter Monday,2025-04-21,Chitungwiza,1360,1.23,26,0.981,2025-04-21,812,227,348,271
HOLIDAY_REC_4117,Independence Day,2025-04-18,Bulawayo,2225,1.05,96,0.957,2025-04-18,2651,544,524,711
HOLIDAY_REC_16865,Christmas Day,2025-12-25,Masvingo,2781,1.21,66,0.976,2025-12-25,608,263,226,0
HOLIDAY_REC_7111,Workers Day,2025-05-01,Chitungwiza,613,1.27,33,0.946,2025-05-01,953,350,0,658
HOLIDAY_REC_342,New Year's Day,2025-01-01,Gweru,2006,1.05,69,0.966,2025-01-01,0,624,562,490
HOLIDAY_REC_14981,Unity Day,2025-12-22,Gweru,1009,0.93,73,0.928,2025-12-22,0,985,0,2608
HOLIDAY_REC_8453,Africa Day,2025-05-25,Harare,1439,1.13,155,0.892,2025-05-25,1429,273,358,332
HOLIDAY_REC_13135,Defense Forces Day,2025-08-13,Harare,1845,0.92,274,0.851,2025-08-13,0,1641,2097,0
HOLIDAY_REC_352,New Year's Day,2025-01-01,Harare,757,1.01,49,0.935,2025-01-01,1108,360,443,534
HOLIDAY_REC_17144,Christmas Day,2025-12-25,Chitungwiza,2063,1.23,58,0.972,2025-12-25,1314,322,385,0
HOLIDAY_REC_8538,Africa Day,2025-05-25,Masvingo,730,1.12,97,0.867,2025-05-25,2623,986,0,1505
HOLIDAY_REC_17055,Christmas Day,2025-12-25,Bulawayo,2147,1.13,13,0.994,2025-12-25,2453,483,482,671
HOLIDAY_REC_3927,Independence Day,2025-04-18,Bulawayo,1680,1.14,15,0.991,2025-04-18,0,1407,1408,1431
HOLIDAY_REC_4166,Independence Day,2025-04-18,Harare,2367,1.14,159,0.933,2025-04-18,890,0,0,824
HOLIDAY_REC_12123,Defense Forces Day,2025-08-13,Harare,768,1.24,69,0.91,2025-08-13,488,118,0,227
HOLIDAY_REC_12177,Defense Forces Day,2025-08-13,Masvingo,1449,0.96,38,0.974,2025-08-13,366,76,110,110
HOLIDAY_REC_3483,Independence Day,2025-04-18,Bulawayo,798,1.04,95,0.881,2025-04-18,3378,701,788,860
HOLIDAY_REC_2615,National Youth Day,2025-02-21,Mutare,782,1.28,114,0.854,2025-02-21,431,115,104,135
HOLIDAY_REC_16629,Christmas Day,2025-12-25,Gweru,2842,1.03,217,0.924,2025-12-25,0,536,519,567
HOLIDAY_REC_2113,National Youth Day,2025-02-21,Chitungwiza,1675,1.3,180,0.893,2025-02-21,669,159,0,0
HOLIDAY_REC_2625,National Youth Day,2025-02-21,Bulawayo,2019,0.93,230,0.886,2025-02-21,534,107,166,0
HOLIDAY_REC_2603,National Youth Day,2025-02-21,Gweru,1661,1.18,81,0.951,2025-02-21,2735,1082,1159,895
HOLIDAY_REC_15302,Unity Day,2025-12-22,Chitungwiza,587,1.28,9,0.985,2025-12-22,2892,680,0,1747
HOLIDAY_REC_3012,National Youth Day,2025-02-21,Chitungwiza,676,1.0,81,0.88,2025-02-21,0,1817,1913,1899
HOLIDAY_REC_2178,National Youth Day,2025-02-21,Chitungwiza,573,1.1,7,0.988,2025-02-21,0,1245,1513,2036
HOLIDAY_REC_17510,Boxing Day,2025-12-26,Bulawayo,2230,1.18,23,0.99,2025-12-26,2054,578,481,609
HOLIDAY_REC_219,New Year's Day,2025-01-01,Harare,854,0.95,112,0.869,2025-01-01,0,653,897,0
HOLIDAY_REC_13161,Defense Forces Day,2025-08-13,Mutare,1086,1.25,162,0.851,2025-08-13,2777,764,0,1728
HOLIDAY_REC_12026,Defense Forces Day,2025-08-13,Chitungwiza,688,1.15,96,0.86,2025-08-13,3064,0,0,2623
HOLIDAY_REC_17998,Boxing Day,2025-12-26,Masvingo,1892,1.22,34,0.982,2025-12-26,544,119,122,155
HOLIDAY_REC_16534,Christmas Day,2025-12-25,Bulawayo,1426,1.17,71,0.95,2025-12-25,2923,0,1048,932
HOLIDAY_REC_2137,National Youth Day,2025-02-21,Masvingo,1001,1.12,117,0.883,2025-02-21,0,577,638,716
HOLIDAY_REC_11376,Heroes Day,2025-08-12,Bulawayo,1551,1.13,69,0.956,2025-08-12,2540,611,444,657
HOLIDAY_REC_9585,Africa Day,2025-05-25,Chitungwiza,1293,1.08,63,0.951,2025-05-25,480,209,0,0
HOLIDAY_REC_17807,Boxing Day,2025-12-26,Gweru,1989,1.14,194,0.902,2025-12-26,0,0,1186,873
HOLIDAY_REC_13709,Defense Forces Day,2025-08-13,Mutare,1992,0.94,247,0.876,2025-08-13,1869,587,0,0
HOLIDAY_REC_17757,Boxing Day,2025-12-26,Masvingo,1817,1.21,225,0.876,2025-12-26,0,1360,0,3667
HOLIDAY_REC_4611,Independence Day,2025-04-18,Gweru,1617,1.24,175,0.892,2025-04-18,0,0,2282,2140
HOLIDAY_REC_16077,Christmas Day,2025-12-25,Masvingo,2143,1.24,102,0.952,2025-12-25,1966,835,841,637
HOLIDAY_REC_4025,Independence Day,2025-04-18,Masvingo,1397,0.95,38,0.973,2025-04-18,2379,757,829,1087
HOLIDAY_REC_10969,Heroes Day,2025-08-12,Bulawayo,1540,1.26,79,0.949,2025-08-12,1092,0,601,732
HOLIDAY_REC_13742,Defense Forces Day,2025-08-13,Chitungwiza,2110,1.09,34,0.984,2025-08-13,350,94,0,171
HOLIDAY_REC_3459,National Youth Day,2025-02-21,Bulawayo,649,0.92,19,0.971,2025-02-21,2028,574,520,390
HOLIDAY_REC_15414,Unity Day,2025-12-22,Bulawayo,1582,1.25,226,0.857,2025-12-22,0,213,0,604
HOLIDAY_REC_10200,Heroes Day,2025-08-12,Harare,1330,1.19,51,0.962,2025-08-12,2227,0,0,2152
HOLIDAY_REC_3932,Independence Day,2025-04-18,Bulawayo,1836,1.14,261,0.858,2025-04-18,821,329,345,255
HOLIDAY_REC_15273,Unity Day,2025-12-22,Gweru,653,1.01,50,0.923,2025-12-22,0,395,355,0
HOLIDAY_REC_14694,Unity Day,2025-12-22,Masvingo,2135,1.24,314,0.853,2025-12-22,2126,773,0,0
HOLIDAY_REC_211,New Year's Day,2025-01-01,Mutare,1768,1.14,6,0.997,2025-01-01,2369,711,732,493
HOLIDAY_REC_15291,Unity Day,2025-12-22,Gweru,810,1.18,76,0.906,2025-12-22,3105,1006,924,648
HOLIDAY_REC_14594,Unity Day,2025-12-22,Masvingo,1884,1.12,276,0.854,2025-12-22,3009,729,0,0
HOLIDAY_REC_15539,Unity Day,2025-12-22,Harare,1666,0.97,53,0.968,2025-12-22,0,859,721,842
HOLIDAY_REC_3120,National Youth Day,2025-02-21,Masvingo,664,1.18,38,0.943,2025-02-21,2263,496,772,567
HOLIDAY_REC_10539,Heroes Day,2025-08-12,Gweru,1370,1.29,141,0.897,2025-08-12,0,0,854,640
HOLIDAY_REC_2268,National Youth Day,2025-02-21,Bulawayo,2061,1.1,164,0.92,2025-02-21,710,226,220,0
HOLIDAY_REC_1711,New Year's Day,2025-01-01,Bulawayo,1805,1.22,103,0.943,2025-01-01,0,765,1257,900
HOLIDAY_REC_18702,Boxing Day,2025-12-26,Harare,2002,1.28,48,0.976,2025-12-26,2254,596,513,621
HOLIDAY_REC_6955,Workers Day,2025-05-01,Gweru,1410,1.15,120,0.915,2025-05-01,0,1983,1968,0
HOLIDAY_REC_1625,New Year's Day,2025-01-01,Chitungwiza,2728,1.14,89,0.967,2025-01-01,0,614,679,0
HOLIDAY_REC_12999,Defense Forces Day,2025-08-13,Mutare,1759,0.92,177,0.899,2025-08-13,1303,0,714,0
HOLIDAY_REC_15216,Unity Day,2025-12-22,Bulawayo,1959,1.23,234,0.881,2025-12-22,0,0,2299,1878
HOLIDAY_REC_4505,Independence Day,2025-04-18,Harare,2251,0.92,127,0.944,2025-04-18,0,0,2230,3326
HOLIDAY_REC_9888,Africa Day,2025-05-25,Bulawayo,2309,1.01,31,0.987,2025-05-25,1453,538,519,416
HOLIDAY_REC_17028,Christmas Day,2025-12-25,Harare,2762,1.27,64,0.977,2025-12-25,416,154,109,147
HOLIDAY_REC_19012,Boxing Day,2025-12-26,Bulawayo,916,1.3,78,0.915,2025-12-26,851,342,0,686
HOLIDAY_REC_12137,Defense Forces Day,2025-08-13,Masvingo,2196,0.94,10,0.995,2025-08-13,2910,823,0,0
HOLIDAY_REC_7908,Workers Day,2025-05-01,Masvingo,963,0.91,120,0.875,2025-05-01,2550,615,673,470
HOLIDAY_REC_16747,Christmas Day,2025-12-25,Masvingo,1209,1.24,161,0.867,2025-12-25,575,245,268,181
HOLIDAY_REC_8916,Africa Day,2025-05-25,Gweru,2052,1.13,149,0.927,2025-05-25,0,1867,1948,1604
HOLIDAY_REC_5467,Easter Monday,2025-04-21,Chitungwiza,1837,1.04,244,0.867,2025-04-21,1251,326,280,281
HOLIDAY_REC_5001,Independence Day,2025-04-18,Chitungwiza,1731,1.04,191,0.89,2025-04-18,0,1563,1523,1814
HOLIDAY_REC_13955,Unity Day,2025-12-22,Bulawayo,616,0.99,39,0.937,2025-12-22,2754,0,0,2536
HOLIDAY_REC_19097,Boxing Day,2025-12-26,Mutare,706,1.05,37,0.948,2025-12-26,3349,743,0,1907
HOLIDAY_REC_9635,Africa Day,2025-05-25,Masvingo,1011,1.11,140,0.862,2025-05-25,2038,824,0,1357
HOLIDAY_REC_18639,Boxing Day,2025-12-26,Harare,967,1.28,122,0.874,2025-12-26,0,469,0,881
HOLIDAY_REC_5307,Easter Monday,2025-04-21,Chitungwiza,2056,1.25,110,0.946,2025-04-21,2722,0,0,2081
HOLIDAY_REC_8543,Africa Day,2025-05-25,Bulawayo,953,1.21,95,0.9,2025-05-25,1601,450,346,447
HOLIDAY_REC_1730,New Year's Day,2025-01-01,Bulawayo,2668,1.02,353,0.868,2025-01-01,2485,908,0,0
HOLIDAY_REC_13419,Defense Forces Day,2025-08-13,Masvingo,2281,1.05,119,0.948,2025-08-13,0,0,1786,1925
HOLIDAY_REC_15606,Unity Day,2025-12-22,Gweru,2163,1.12,301,0.861,2025-12-22,2312,883,752,603
HOLIDAY_REC_10497,Heroes Day,2025-08-12,Chitungwiza,1125,1.09,46,0.959,2025-08-12,0,0,574,641
HOLIDAY_REC_5417,Easter Monday,2025-04-21,Gweru,1374,1.19,204,0.852,2025-04-21,1039,343,226,314
HOLIDAY_REC_1531,New Year's Day,2025-01-01,Mutare,1429,1.0,197,0.862,2025-01-01,0,1420,1906,1852
HOLIDAY_REC_6464,Easter Monday,2025-04-21,Masvingo,1965,1.14,79,0.96,2025-04-21,1405,368,445,635
HOLIDAY_REC_15549,Unity Day,2025-12-22,Gweru,1087,1.07,74,0.932,2025-12-22,0,0,705,493
HOLIDAY_REC_10421,Heroes Day,2025-08-12,Bulawayo,2432,0.95,320,0.868,2025-08-12,2892,787,0,0
