return_id,timestamp,plant_id,depot_id,route_id,retailer_id,reason_code,notes,Soft white,High Energy Brown,Whole grain loaf,Low GI Seed loaf,batch_id,batch_match_quality
RET_210477,2025-07-26 04:25:56,Shepperton_Plant,Bindura,RT_BIN_01,STORE_116,Mould Growth,Packaging issue,91,0,0,81,BATCH_18168,matched
RET_205226,2025-01-17 08:46:07,Shepperton_Plant,Bindura,RT_BIN_01,STORE_045,Mould Growth,,0,43,0,75,BATCH_17182,matched
RET_204691,2025-03-20 07:29:34,Shepperton_Plant,Hatcliff,RT_HAT_01,STORE_075,Crushed/Squashed,Late delivery,10,0,3,0,BATCH_13154,matched
RET_200720,2025-05-08 23:39:23,Shepperton_Plant,Mutare,RT_MUT_01,STORE_075,Returned Unsold,Damaged on shelf,0,34,21,0,BATCH_10365,matched
RET_207325,2025-01-03 20:34:49,Shepperton_Plant,Harare,RT_HAR_01,STORE_080,Mould Growth,Customer complaints,61,29,0,0,BATCH_14978,matched
RET_212799,2025-01-12 19:53:03,Shepperton_Plant,Harare,RT_HAR_01,STORE_037,Mould Growth,,0,27,0,0,BATCH_13704,matched
RET_201799,2025-06-22 19:31:55,Shepperton_Plant,Chinhoyi,RT_CHI_02,STORE_088,Mould Growth,Damaged on shelf,0,37,39,0,BATCH_16118,matched
RET_209482,2025-07-26 12:04:17,Shepperton_Plant,Bindura,RT_BIN_01,STORE_147,Wrong Delivery,,73,15,0,0,BATCH_15933,matched
RET_206412,2025-07-23 12:30:56,Shepperton_Plant,Chegutu,RT_CHE_02,STORE_039,Expired,Customer complaints,0,0,0,175,BATCH_14801,matched
RET_212625,2025-06-10 10:58:41,Shepperton_Plant,Harare,RT_HAR_02,STORE_143,Returned Unsold,Packaging issue,0,80,0,0,BATCH_19447,matched
RET_208818,2025-04-01 01:50:34,Shepperton_Plant,Hatcliff,RT_HAT_01,STORE_081,Mould Growth,Customer complaints,0,0,72,77,BATCH_16049,matched
RET_203679,2025-06-01 01:27:50,Shepperton_Plant,Mutare,RT_MUT_02,STORE_136,Damaged Packaging,,32,0,0,24,BATCH_15102,matched
RET_201413,2025-03-19 23:28:40,Shepperton_Plant,Mutare,RT_MUT_02,STORE_175,Returned Unsold,,0,45,0,0,BATCH_14117,matched
RET_202589,2025-07-19 15:02:25,Shepperton_Plant,Hatcliff,RT_HAT_02,STORE_146,Damaged Packaging,Customer complaints,0,0,11,9,BATCH_17830,matched
RET_208624,2025-03-21 05:41:30,Shepperton_Plant,Hatcliff,RT_HAT_01,STORE_080,Mould Growth,Late delivery,0,7,0,14,BATCH_10315,matched
RET_205478,2025-02-01 23:07:03,Shepperton_Plant,Murehwa,RT_MUR_01,STORE_006,Damaged Packaging,Late delivery,92,0,0,70,BATCH_10038,matched
RET_203578,2025-01-17 06:35:50,Shepperton_Plant,Harare,RT_HAR_01,STORE_062,Damaged Packaging,Packaging issue,0,71,0,0,BATCH_18158,matched
RET_208657,2025-04-06 04:39:27,Shepperton_Plant,Chegutu,RT_CHE_01,STORE_131,Stale,Packaging issue,38,0,22,0,BATCH_12345,matched
RET_207816,2025-01-14 19:35:28,Shepperton_Plant,Murehwa,RT_MUR_01,STORE_177,Crushed/Squashed,,0,30,0,38,BATCH_20099,matched
RET_201844,2025-02-27 07:34:35,Shepperton_Plant,Mutare,RT_MUT_01,STORE_147,Stale,Late delivery,35,19,0,0,BATCH_16353,matched
RET_207731,2025-05-06 01:45:22,Shepperton_Plant,Chegutu,RT_CHE_02,STORE_158,Damaged Packaging,,0,39,0,75,BATCH_24493,matched
RET_205549,2025-05-24 03:01:45,Shepperton_Plant,Bindura,RT_BIN_01,STORE_030,Expired,Damaged on shelf,35,0,0,0,BATCH_22324,matched
RET_211124,2025-04-10 20:18:06,Shepperton_Plant,Chegutu,RT_CHE_02,STORE_035,Crushed/Squashed,Late delivery,0,0,0,108,BATCH_18745,matched
RET_202174,2025-06-03 07:36:41,Shepperton_Plant,Harare,RT_HAR_03,STORE_021,Stale,Packaging issue,59,30,0,0,BATCH_14845,matched
RET_202144,2025-01-28 22:46:42,Shepperton_Plant,Chinhoyi,RT_CHI_02,STORE_020,Returned Unsold,Customer complaints,0,0,0,131,BATCH_13320,matched
RET_200099,2025-03-17 08:27:05,Shepperton_Plant,Bindura,RT_BIN_01,STORE_089,Mould Growth,Late delivery,0,6,0,10,BATCH_13457,matched
RET_203058,2025-07-22 20:04:28,Shepperton_Plant,Chegutu,RT_CHE_01,STORE_069,Stale,,0,0,42,0,BATCH_20332,matched
RET_201923,2025-01-29 10:14:30,Shepperton_Plant,Murehwa,RT_MUR_01,STORE_101,Returned Unsold,,0,29,32,0,BATCH_15628,matched
RET_211230,2025-07-16 11:57:07,Shepperton_Plant,Harare,RT_HAR_03,STORE_115,Mould Growth,,0,12,12,0,BATCH_23096,matched
RET_200902,2025-03-08 12:40:35,Shepperton_Plant,Murehwa,RT_MUR_01,STORE_054,Stale,Damaged on shelf,10,4,0,0,BATCH_13332,matched
RET_205639,2025-01-10 00:25:05,Shepperton_Plant,Chinhoyi,RT_CHI_02,STORE_029,Damaged Packaging,,0,0,97,0,BATCH_20038,matched
RET_212202,2025-01-25 16:38:40,Shepperton_Plant,Harare,RT_HAR_03,STORE_127,Wrong Delivery,Customer complaints,0,23,17,0,BATCH_17688,matched
RET_204509,2025-01-12 12:38:13,Shepperton_Plant,Hatcliff,RT_HAT_01,STORE_082,Stale,,0,0,0,41,BATCH_12737,matched
RET_203469,2025-02-09 17:42:52,Shepperton_Plant,Murehwa,RT_MUR_01,STORE_155,Stale,,0,9,0,0,BATCH_13234,matched
RET_210242,2025-03-20 07:01:22,Shepperton_Plant,Mutare,RT_MUT_01,STORE_103,Mould Growth,,0,0,80,94,BATCH_15381,matched
RET_210086,2025-02-07 04:34:34,Shepperton_Plant,Harare,RT_HAR_03,STORE_074,Wrong Delivery,,0,0,98,0,BATCH_18845,matched
RET_209593,2025-07-04 23:47:19,Shepperton_Plant,Harare,RT_HAR_01,STORE_055,Stale,Packaging issue,0,0,78,0,BATCH_20040,matched
RET_206814,2025-02-14 07:53:14,Shepperton_Plant,Mutare,RT_MUT_02,STORE_030,Crushed/Squashed,Damaged on shelf,59,0,0,63,BATCH_22960,matched
RET_200353,2025-04-30 03:04:18,Shepperton_Plant,Harare,RT_HAR_01,STORE_184,Wrong Delivery,,74,16,0,0,BATCH_18327,matched
RET_212429,2025-01-04 15:48:16,Shepperton_Plant,Chegutu,RT_CHE_02,STORE_108,Expired,Customer complaints,0,0,61,0,BATCH_14009,matched
RET_209976,2025-07-22 00:32:47,Shepperton_Plant,Hatcliff,RT_HAT_01,STORE_115,Crushed/Squashed,,84,24,0,0,BATCH_19800,matched
RET_210993,2025-05-27 10:22:27,Shepperton_Plant,Bindura,RT_BIN_01,STORE_124,Stale,Customer complaints,0,12,0,0,BATCH_12989,matched
RET_208494,2025-06-04 00:13:18,Shepperton_Plant,Murehwa,RT_MUR_01,STORE_012,Wrong Delivery,Customer complaints,0,0,0,131,BATCH_24588,matched
RET_212123,2025-01-20 02:11:18,Shepperton_Plant,Chinhoyi,RT_CHI_01,STORE_022,Stale,Damaged on shelf,0,58,0,0,BATCH_14225,matched
RET_212611,2025-01-22 10:29:35,Shepperton_Plant,Chegutu,RT_CHE_02,STORE_199,Wrong Delivery,Customer complaints,0,0,13,16,BATCH_24294,matched
RET_212168,2025-06-12 16:11:02,Shepperton_Plant,Chegutu,RT_CHE_01,STORE_078,Crushed/Squashed,,0,0,39,0,BATCH_20666,matched
RET_210797,2025-03-25 05:14:23,Shepperton_Plant,Hatcliff,RT_HAT_02,STORE_126,Returned Unsold,Packaging issue,0,28,0,0,BATCH_21894,matched
RET_206104,2025-05-07 15:48:56,Shepperton_Plant,Hatcliff,RT_HAT_02,STORE_166,Damaged Packaging,,73,0,0,0,BATCH_11560,matched
RET_207764,2025-02-20 17:53:52,Shepperton_Plant,Murehwa,RT_MUR_01,STORE_147,Mould Growth,Damaged on shelf,0,0,48,0,BATCH_14181,matched
RET_201358,2025-04-25 07:00:13,Shepperton_Plant,Harare,RT_HAR_02,STORE_044,Stale,Packaging issue,20,0,0,0,BATCH_10016,matched
RET_200927,2025-01-22 23:25:39,Shepperton_Plant,Chegutu,RT_CHE_01,STORE_017,Expired,Customer complaints,61,0,0,0,BATCH_15735,matched
RET_206673,2025-07-19 17:51:30,Shepperton_Plant,Mutare,RT_MUT_01,STORE_088,Returned Unsold,Packaging issue,0,0,59,80,BATCH_23521,matched
RET_202688,2025-07-23 06:44:37,Shepperton_Plant,Mutare,RT_MUT_01,STORE_047,Mould Growth,Damaged on shelf,0,9,0,0,BATCH_12259,matched
RET_204023,2025-01-19 04:42:18,Shepperton_Plant,Hatcliff,RT_HAT_01,STORE_068,Stale,,0,0,5,0,BATCH_23444,matched
RET_210400,2025-05-19 19:59:24,Shepperton_Plant,Harare,RT_HAR_02,STORE_062,Crushed/Squashed,Damaged on shelf,90,38,0,0,BATCH_24021,matched
RET_205174,2025-07-02 18:57:04,Shepperton_Plant,Mutare,RT_MUT_01,STORE_148,Wrong Delivery,Damaged on shelf,0,0,39,53,BATCH_17453,matched
RET_206590,2025-05-24 08:36:29,Shepperton_Plant,Hatcliff,RT_HAT_01,STORE_043,Stale,Damaged on shelf,0,51,31,0,BATCH_11713,matched
RET_212557,2025-04-21 08:58:56,Shepperton_Plant,Hatcliff,RT_HAT_02,STORE_192,Damaged Packaging,Damaged on shelf,0,0,93,79,BATCH_20892,matched
RET_208339,2025-03-09 22:55:48,Shepperton_Plant,Murehwa,RT_MUR_01,STORE_068,Damaged Packaging,Late delivery,0,3,0,0,BATCH_22100,matched
RET_207506,2025-01-05 11:19:14,Shepperton_Plant,Mutare,RT_MUT_02,STORE_066,Expired,,0,87,37,0,BATCH_15246,matched
RET_202805,2025-04-09 22:25:00,Shepperton_Plant,Murehwa,RT_MUR_01,STORE_078,Mould Growth,Customer complaints,51,0,0,46,BATCH_13245,matched
RET_212526,2025-06-24 04:25:02,Shepperton_Plant,Mutare,RT_MUT_02,STORE_135,Crushed/Squashed,Packaging issue,22,0,7,0,BATCH_13941,matched
RET_206072,2025-07-23 20:19:41,Shepperton_Plant,Mutare,RT_MUT_01,STORE_121,Mould Growth,Late delivery,74,0,48,0,BATCH_13355,matched
RET_204605,2025-07-15 08:38:30,Shepperton_Plant,Bindura,RT_BIN_01,STORE_129,Crushed/Squashed,,0,0,0,60,BATCH_19514,matched
RET_212623,2025-04-23 18:34:49,Shepperton_Plant,Murehwa,RT_MUR_01,STORE_170,Expired,Late delivery,0,29,0,0,BATCH_17570,matched
RET_203545,2025-07-22 14:07:44,Shepperton_Plant,Harare,RT_HAR_02,STORE_112,Stale,Late delivery,0,23,26,0,BATCH_17586,matched
RET_211525,2025-05-28 17:43:08,Shepperton_Plant,Harare,RT_HAR_01,STORE_021,Crushed/Squashed,,0,0,70,0,BATCH_24648,matched
RET_202943,2025-04-23 19:28:39,Shepperton_Plant,Bindura,RT_BIN_01,STORE_161,Returned Unsold,Customer complaints,0,17,0,0,BATCH_11197,matched
RET_204604,2025-05-30 07:51:05,Shepperton_Plant,Chegutu,RT_CHE_02,STORE_156,Returned Unsold,,53,0,16,0,BATCH_23651,matched
RET_202631,2025-05-20 01:47:35,Shepperton_Plant,Bindura,RT_BIN_01,STORE_016,Wrong Delivery,Late delivery,0,0,0,64,BATCH_13230,matched
RET_203745,2025-03-25 00:44:37,Shepperton_Plant,Mutare,RT_MUT_02,STORE_005,Damaged Packaging,Customer complaints,6,0,3,0,BATCH_11859,matched
RET_210355,2025-07-22 23:29:27,Shepperton_Plant,Chegutu,RT_CHE_01,STORE_125,Stale,Late delivery,0,0,6,0,BATCH_20332,matched
RET_203522,2025-06-28 22:27:20,Shepperton_Plant,Hatcliff,RT_HAT_01,STORE_061,Crushed/Squashed,Late delivery,0,0,0,52,BATCH_18805,matched
RET_207103,2025-07-21 12:16:45,Shepperton_Plant,Chinhoyi,RT_CHI_01,STORE_083,Damaged Packaging,,54,0,0,50,BATCH_22146,matched
RET_210586,2025-01-06 12:24:17,Shepperton_Plant,Hatcliff,RT_HAT_02,STORE_176,Wrong Delivery,Customer complaints,0,9,0,10,BATCH_10762,matched
RET_202937,2025-02-06 00:04:51,Shepperton_Plant,Bindura,RT_BIN_01,STORE_182,Stale,Packaging issue,58,0,0,47,BATCH_19851,matched
RET_209744,2025-02-25 05:31:13,Shepperton_Plant,Chegutu,RT_CHE_02,STORE_006,Damaged Packaging,Damaged on shelf,0,0,103,0,BATCH_23512,matched
RET_206693,2025-07-13 02:32:55,Shepperton_Plant,Chinhoyi,RT_CHI_01,STORE_023,Crushed/Squashed,Packaging issue,0,42,0,69,BATCH_14781,matched
RET_200008,2025-06-11 11:56:07,Shepperton_Plant,Chinhoyi,RT_CHI_01,STORE_069,Expired,Customer complaints,0,0,0,106,BATCH_21167,matched
RET_200311,2025-02-10 13:05:57,Shepperton_Plant,Chegutu,RT_CHE_01,STORE_012,Crushed/Squashed,,20,0,0,0,BATCH_14818,matched
RET_211889,2025-05-30 05:46:45,Shepperton_Plant,Bindura,RT_BIN_01,STORE_073,Expired,,0,52,0,66,BATCH_12663,matched
RET_200895,2025-04-08 23:18:05,Shepperton_Plant,Chegutu,RT_CHE_01,STORE_104,Expired,,91,0,0,0,BATCH_15941,matched
RET_209761,2025-05-11 07:20:47,Shepperton_Plant,Chinhoyi,RT_CHI_02,STORE_061,Returned Unsold,Customer complaints,0,0,0,153,BATCH_16748,matched
RET_207800,2025-01-29 06:55:49,Shepperton_Plant,Chegutu,RT_CHE_02,STORE_121,Crushed/Squashed,,31,0,0,0,BATCH_12075,matched
RET_211445,2025-03-27 03:40:47,Shepperton_Plant,Chegutu,RT_CHE_01,STORE_014,Stale,Damaged on shelf,0,20,0,36,BATCH_12023,matched
RET_203621,2025-03-28 20:14:36,Shepperton_Plant,Chinhoyi,RT_CHI_01,STORE_087,Stale,Damaged on shelf,0,0,76,96,BATCH_14654,matched
RET_209520,2025-02-11 05:21:09,Shepperton_Plant,Harare,RT_HAR_01,STORE_184,Wrong Delivery,Customer complaints,0,52,0,0,BATCH_24702,matched
RET_202456,2025-04-22 07:46:35,Shepperton_Plant,Mutare,RT_MUT_01,STORE_034,Mould Growth,,30,0,0,38,BATCH_14470,matched
RET_201282,2025-04-20 10:53:27,Shepperton_Plant,Harare,RT_HAR_03,STORE_025,Damaged Packaging,,0,16,9,0,BATCH_19452,matched
RET_212610,2025-03-08 18:42:44,Shepperton_Plant,Hatcliff,RT_HAT_02,STORE_182,Mould Growth,,0,0,0,71,BATCH_20291,matched
RET_208046,2025-03-31 12:54:45,Shepperton_Plant,Murehwa,RT_MUR_01,STORE_188,Wrong Delivery,Packaging issue,0,0,4,0,BATCH_23896,matched
RET_203574,2025-01-16 11:36:08,Shepperton_Plant,Murehwa,RT_MUR_01,STORE_081,Damaged Packaging,Packaging issue,0,75,46,0,BATCH_19147,matched
RET_203411,2025-05-03 18:53:10,Shepperton_Plant,Chegutu,RT_CHE_02,STORE_084,Returned Unsold,Late delivery,0,38,0,41,BATCH_16836,matched
RET_203495,2025-02-15 00:52:31,Shepperton_Plant,Harare,RT_HAR_03,STORE_097,Crushed/Squashed,Customer complaints,94,0,0,0,BATCH_24414,matched
RET_206435,2025-05-08 17:23:13,Shepperton_Plant,Chegutu,RT_CHE_02,STORE_126,Mould Growth,,0,0,0,35,BATCH_15743,matched
RET_202390,2025-06-02 14:03:49,Shepperton_Plant,Harare,RT_HAR_01,STORE_054,Stale,Late delivery,0,0,0,34,BATCH_23187,matched
RET_211240,2025-05-25 20:37:57,Shepperton_Plant,Bindura,RT_BIN_01,STORE_023,Damaged Packaging,,0,0,0,94,BATCH_16962,matched
RET_208990,2025-03-20 07:38:19,Shepperton_Plant,Bindura,RT_BIN_01,STORE_184,Crushed/Squashed,,38,0,0,33,BATCH_16704,matched
RET_210775,2025-03-04 02:40:34,Shepperton_Plant,Murehwa,RT_MUR_01,STORE_098,Mould Growth,Customer complaints,24,0,10,0,BATCH_17655,matched
RET_205381,2025-03-19 05:55:06,Shepperton_Plant,Bindura,RT_BIN_01,STORE_148,Wrong Delivery,Damaged on shelf,0,0,27,23,BATCH_22809,matched
RET_207740,2025-04-07 04:15:40,Shepperton_Plant,Hatcliff,RT_HAT_02,STORE_171,Expired,Damaged on shelf,0,0,38,49,BATCH_22171,matched
RET_205992,2025-05-13 06:16:31,Shepperton_Plant,Bindura,RT_BIN_01,STORE_063,Crushed/Squashed,,0,0,65,0,BATCH_10078,matched
RET_209425,2025-02-25 06:26:59,Shepperton_Plant,Bindura,RT_BIN_01,STORE_082,Stale,Damaged on shelf,0,0,0,143,BATCH_15716,matched
RET_201617,2025-02-02 19:05:52,Shepperton_Plant,Chinhoyi,RT_CHI_02,STORE_035,Mould Growth,,0,0,0,87,BATCH_24773,matched
RET_208243,2025-07-06 06:35:40,Shepperton_Plant,Bindura,RT_BIN_01,STORE_143,Returned Unsold,Packaging issue,0,87,0,93,BATCH_13064,matched
RET_211413,2025-05-21 18:54:38,Shepperton_Plant,Bindura,RT_BIN_01,STORE_120,Mould Growth,Packaging issue,56,0,0,78,BATCH_24290,matched
RET_209904,2025-07-27 08:32:51,Shepperton_Plant,Harare,RT_HAR_03,STORE_107,Wrong Delivery,,80,38,0,0,BATCH_21282,matched
RET_203131,2025-03-30 02:17:12,Shepperton_Plant,Hatcliff,RT_HAT_01,STORE_113,Expired,,0,25,0,0,BATCH_16253,matched
RET_209071,2025-03-22 15:56:09,Shepperton_Plant,Murehwa,RT_MUR_01,STORE_063,Mould Growth,Damaged on shelf,27,8,0,0,BATCH_14507,matched
RET_207856,2025-06-04 17:32:30,Shepperton_Plant,Hatcliff,RT_HAT_01,STORE_028,Mould Growth,Late delivery,0,0,26,24,BATCH_12834,matched
RET_212829,2025-06-27 12:19:53,Shepperton_Plant,Murehwa,RT_MUR_01,STORE_079,Expired,Packaging issue,0,11,0,13,BATCH_21242,matched
RET_207386,2025-02-04 03:25:08,Shepperton_Plant,Chinhoyi,RT_CHI_02,STORE_160,Stale,Packaging issue,0,43,0,0,BATCH_11536,matched
RET_204913,2025-06-27 21:57:48,Shepperton_Plant,Mutare,RT_MUT_02,STORE_077,Crushed/Squashed,Customer complaints,0,0,5,0,BATCH_14061,matched
RET_201383,2025-01-29 06:24:26,Shepperton_Plant,Chinhoyi,RT_CHI_02,STORE_110,Damaged Packaging,,89,0,33,0,BATCH_24608,matched
RET_204442,2025-06-15 14:26:41,Shepperton_Plant,Chinhoyi,RT_CHI_01,STORE_190,Crushed/Squashed,,0,52,49,0,BATCH_11672,matched
RET_203889,2025-01-21 20:41:06,Shepperton_Plant,Mutare,RT_MUT_02,STORE_048,Mould Growth,Customer complaints,69,23,0,0,BATCH_24123,matched
RET_210022,2025-02-02 19:01:44,Shepperton_Plant,Bindura,RT_BIN_01,STORE_195,Crushed/Squashed,Packaging issue,0,0,35,0,BATCH_13508,matched
RET_203100,2025-07-09 22:43:33,Shepperton_Plant,Chinhoyi,RT_CHI_02,STORE_128,Returned Unsold,Customer complaints,52,0,0,50,BATCH_10837,matched
RET_201197,2025-04-22 19:04:32,Shepperton_Plant,Hatcliff,RT_HAT_01,STORE_139,Returned Unsold,,30,0,0,38,BATCH_22516,matched
RET_209778,2025-04-28 13:01:00,Shepperton_Plant,Harare,RT_HAR_01,STORE_119,Stale,Packaging issue,0,0,0,178,BATCH_21817,matched
RET_200921,2025-02-11 09:57:06,Shepperton_Plant,Hatcliff,RT_HAT_02,STORE_037,Crushed/Squashed,Packaging issue,0,27,18,0,BATCH_20217,matched
RET_203375,2025-01-11 04:17:39,Shepperton_Plant,Harare,RT_HAR_01,STORE_192,Expired,,0,0,56,0,BATCH_16616,matched
RET_201346,2025-01-30 08:08:57,Shepperton_Plant,Mutare,RT_MUT_01,STORE_198,Damaged Packaging,Late delivery,0,31,0,0,BATCH_16317,matched
RET_210080,2025-06-08 13:15:26,Shepperton_Plant,Hatcliff,RT_HAT_02,STORE_046,Wrong Delivery,Damaged on shelf,71,51,0,0,BATCH_11525,matched
RET_203563,2025-06-20 07:55:32,Shepperton_Plant,Mutare,RT_MUT_01,STORE_128,Stale,Damaged on shelf,0,0,67,0,BATCH_23706,matched
RET_202124,2025-01-16 04:39:03,Shepperton_Plant,Chegutu,RT_CHE_01,STORE_174,Crushed/Squashed,Damaged on shelf,88,0,0,82,BATCH_21084,matched
RET_201953,2025-07-12 04:29:13,Shepperton_Plant,Chinhoyi,RT_CHI_01,STORE_110,Stale,Late delivery,0,0,0,166,BATCH_10750,matched
RET_212390,2025-06-12 15:46:37,Shepperton_Plant,Hatcliff,RT_HAT_02,STORE_013,Returned Unsold,,0,22,0,32,BATCH_10974,matched
RET_208813,2025-03-06 23:27:38,Shepperton_Plant,Murehwa,RT_MUR_01,STORE_160,Damaged Packaging,Late delivery,99,29,0,0,BATCH_16990,matched
RET_207666,2025-03-20 17:02:21,Shepperton_Plant,Harare,RT_HAR_02,STORE_021,Damaged Packaging,Customer complaints,0,0,77,0,BATCH_21355,matched
RET_212471,2025-03-14 08:16:40,Shepperton_Plant,Murehwa,RT_MUR_01,STORE_154,Wrong Delivery,,0,0,0,141,BATCH_19324,matched
RET_205702,2025-06-29 05:38:39,Shepperton_Plant,Bindura,RT_BIN_01,STORE_107,Mould Growth,Damaged on shelf,0,0,0,89,BATCH_17997,matched
RET_208974,2025-03-22 12:30:38,Shepperton_Plant,Murehwa,RT_MUR_01,STORE_140,Crushed/Squashed,Customer complaints,47,0,0,69,BATCH_14507,matched
RET_208318,2025-07-16 14:09:26,Shepperton_Plant,Hatcliff,RT_HAT_02,STORE_005,Wrong Delivery,Customer complaints,0,0,0,57,BATCH_19709,matched
RET_205653,2025-02-03 15:20:05,Shepperton_Plant,Chegutu,RT_CHE_02,STORE_008,Mould Growth,,16,0,9,0,BATCH_18348,matched
RET_212149,2025-07-01 11:37:26,Shepperton_Plant,Hatcliff,RT_HAT_02,STORE_082,Stale,Customer complaints,0,0,13,11,BATCH_17062,matched
RET_210686,2025-01-18 10:30:10,Shepperton_Plant,Murehwa,RT_MUR_01,STORE_040,Damaged Packaging,Packaging issue,0,32,0,65,BATCH_19598,matched
RET_209653,2025-07-12 17:16:14,Shepperton_Plant,Bindura,RT_BIN_01,STORE_094,Wrong Delivery,Packaging issue,44,0,0,0,BATCH_11269,matched
RET_212627,2025-02-02 18:40:03,Shepperton_Plant,Harare,RT_HAR_01,STORE_014,Crushed/Squashed,,0,0,47,48,BATCH_14777,matched
RET_208944,2025-01-21 03:29:44,Shepperton_Plant,Chinhoyi,RT_CHI_01,STORE_148,Damaged Packaging,Packaging issue,72,0,32,0,BATCH_18636,matched
RET_207200,2025-07-15 04:03:31,Shepperton_Plant,Chegutu,RT_CHE_02,STORE_013,Wrong Delivery,,0,7,0,0,BATCH_16521,matched
RET_203706,2025-02-28 01:23:59,Shepperton_Plant,Bindura,RT_BIN_01,STORE_178,Stale,Late delivery,0,31,33,0,BATCH_23794,matched
RET_204028,2025-07-16 19:11:12,Shepperton_Plant,Chegutu,RT_CHE_01,STORE_192,Wrong Delivery,Customer complaints,0,23,0,32,BATCH_17150,matched
RET_205493,2025-05-23 19:46:30,Shepperton_Plant,Murehwa,RT_MUR_01,STORE_088,Returned Unsold,Late delivery,0,22,0,0,BATCH_14182,matched
RET_206601,2025-02-11 21:17:27,Shepperton_Plant,Hatcliff,RT_HAT_02,STORE_038,Returned Unsold,,0,37,0,0,BATCH_20217,matched
RET_202973,2025-03-31 04:11:34,Shepperton_Plant,Hatcliff,RT_HAT_01,STORE_083,Wrong Delivery,Late delivery,20,8,0,0,BATCH_18092,matched
RET_200450,2025-07-26 05:04:34,Shepperton_Plant,Hatcliff,RT_HAT_02,STORE_073,Expired,Packaging issue,90,0,0,0,BATCH_22050,matched
RET_203944,2025-03-18 01:42:11,Shepperton_Plant,Bindura,RT_BIN_01,STORE_169,Crushed/Squashed,,0,47,0,86,BATCH_10150,matched
RET_212069,2025-06-09 20:42:21,Shepperton_Plant,Harare,RT_HAR_02,STORE_038,Stale,,0,6,0,15,BATCH_19705,matched
RET_205852,2025-02-21 15:25:18,Shepperton_Plant,Chegutu,RT_CHE_02,STORE_020,Stale,Customer complaints,34,11,0,0,BATCH_18800,matched
RET_209935,2025-05-01 11:55:15,Shepperton_Plant,Mutare,RT_MUT_01,STORE_143,Crushed/Squashed,,0,0,36,34,BATCH_14285,matched
RET_200290,2025-03-17 09:00:40,Shepperton_Plant,Chegutu,RT_CHE_02,STORE_080,Mould Growth,Packaging issue,0,8,0,16,BATCH_14764,matched
RET_201713,2025-05-23 05:55:37,Shepperton_Plant,Mutare,RT_MUT_02,STORE_097,Expired,Packaging issue,0,0,62,0,BATCH_10856,matched
RET_204401,2025-01-11 03:25:36,Shepperton_Plant,Murehwa,RT_MUR_01,STORE_021,Wrong Delivery,,0,72,0,0,BATCH_17610,matched
RET_204898,2025-04-04 05:21:55,Shepperton_Plant,Chegutu,RT_CHE_01,STORE_077,Damaged Packaging,Packaging issue,0,0,0,118,BATCH_22382,matched
RET_203702,2025-01-29 16:53:37,Shepperton_Plant,Harare,RT_HAR_01,STORE_170,Returned Unsold,Packaging issue,0,10,0,0,BATCH_22408,matched
