dispatch_id,departure_time,expected_arrival,actual_arrival,plant_id,depot_id,vehicle_id,Soft white,High Energy Brown,Whole grain loaf,Low GI Seed loaf,total_quantity
DSP_900018,2025-01-01 04:00:00,2025-01-01 06:20:00,2025-01-01 06:46:00,Shepperton_Plant,Bindura,TRUCK_038,962,281,400,271,1914
DSP_900019,2025-01-01 03:00:00,2025-01-01 05:00:00,2025-01-01 05:10:00,Shepperton_Plant,Chegutu,TRUCK_017,2138,487,610,835,4070
DSP_900020,2025-01-01 05:00:00,2025-01-01 07:00:00,2025-01-01 07:19:00,Shepperton_Plant,Chegutu,TRUCK_069,2059,609,436,635,3739
DSP_900021,2025-01-01 03:00:00,2025-01-01 03:50:00,2025-01-01 03:43:00,Shepperton_Plant,Hatcliff,TRUCK_095,1194,508,350,483,2535
DSP_900022,2025-01-01 03:00:00,2025-01-01 05:20:00,2025-01-01 05:40:00,Shepperton_Plant,Bindura,TRUCK_013,1501,480,491,525,2997
DSP_900023,2025-01-01 06:00:00,2025-01-01 08:30:00,2025-01-01 08:32:00,Shepperton_Plant,Chinhoyi,TRUCK_123,1308,443,395,357,2503
DSP_900024,2025-01-01 06:00:00,2025-01-01 08:00:00,2025-01-01 08:11:00,Shepperton_Plant,Chegutu,TRUCK_028,2514,472,656,556,4198
DSP_900025,2025-01-01 03:00:00,2025-01-01 04:50:00,2025-01-01 05:07:00,Shepperton_Plant,Murehwa,TRUCK_046,1106,332,323,432,2193
DSP_900026,2025-01-01 03:00:00,2025-01-01 05:30:00,2025-01-01 05:30:00,Shepperton_Plant,Chinhoyi,TRUCK_078,1884,724,570,619,3797
DSP_900027,2025-01-01 03:00:00,2025-01-01 05:20:00,2025-01-01 05:25:00,Shepperton_Plant,Bindura,TRUCK_011,1535,311,296,418,2560
DSP_900028,2025-01-01 02:00:00,2025-01-01 07:00:00,2025-01-01 06:50:00,Shepperton_Plant,Mutare,TRUCK_015,1687,600,554,571,3412
DSP_900029,2025-01-01 03:00:00,2025-01-01 05:20:00,2025-01-01 05:16:00,Shepperton_Plant,Bindura,TRUCK_048,1357,418,612,421,2808
DSP_900030,2025-01-01 04:00:00,2025-01-01 06:00:00,2025-01-01 06:35:00,Shepperton_Plant,Chegutu,TRUCK_070,1939,468,538,758,3703
DSP_900031,2025-01-01 03:00:00,2025-01-01 08:00:00,2025-01-01 08:24:00,Shepperton_Plant,Mutare,TRUCK_030,2424,469,663,499,4055
DSP_900032,2025-01-01 05:00:00,2025-01-01 06:00:00,2025-01-01 06:07:00,Shepperton_Plant,Harare,TRUCK_134,2339,411,551,607,3908
DSP_900033,2025-01-01 02:00:00,2025-01-01 03:50:00,2025-01-01 04:04:00,Shepperton_Plant,Murehwa,TRUCK_142,1916,564,514,417,3411
DSP_900034,2025-01-01 02:00:00,2025-01-01 03:00:00,2025-01-01 03:18:00,Shepperton_Plant,Harare,TRUCK_128,1164,452,471,368,2455
DSP_900035,2025-01-01 04:00:00,2025-01-01 06:30:00,2025-01-01 06:34:00,Shepperton_Plant,Chinhoyi,TRUCK_027,1544,400,432,331,2707
DSP_900036,2025-01-01 06:00:00,2025-01-01 08:00:00,2025-01-01 08:10:00,Shepperton_Plant,Chegutu,TRUCK_032,957,361,411,358,2087
DSP_900037,2025-01-01 03:00:00,2025-01-01 05:20:00,2025-01-01 05:18:00,Shepperton_Plant,Bindura,TRUCK_025,1085,231,267,271,1854
DSP_900038,2025-01-01 05:00:00,2025-01-01 07:30:00,2025-01-01 07:23:00,Shepperton_Plant,Chinhoyi,TRUCK_029,1698,408,565,405,3076
DSP_900039,2025-01-01 05:00:00,2025-01-01 07:00:00,2025-01-01 06:57:00,Shepperton_Plant,Chegutu,TRUCK_043,1998,565,805,687,4055
DSP_900040,2025-01-01 04:00:00,2025-01-01 06:30:00,2025-01-01 06:26:00,Shepperton_Plant,Chinhoyi,TRUCK_018,1920,624,400,550,3494
DSP_900041,2025-01-01 06:00:00,2025-01-01 06:50:00,2025-01-01 06:49:00,Shepperton_Plant,Hatcliff,TRUCK_055,1117,339,277,387,2120
DSP_900042,2025-01-01 06:00:00,2025-01-01 08:00:00,2025-01-01 08:11:00,Shepperton_Plant,Chegutu,TRUCK_115,898,239,366,322,1825
DSP_900043,2025-01-01 06:00:00,2025-01-01 07:50:00,2025-01-01 08:04:00,Shepperton_Plant,Murehwa,TRUCK_120,1007,275,308,214,1804
DSP_900044,2025-01-01 03:00:00,2025-01-01 05:30:00,2025-01-01 05:34:00,Shepperton_Plant,Chinhoyi,TRUCK_065,1199,262,247,349,2057
DSP_900045,2025-01-01 06:00:00,2025-01-01 11:00:00,2025-01-01 11:19:00,Shepperton_Plant,Mutare,TRUCK_100,1499,492,690,585,3266
DSP_900046,2025-01-01 05:00:00,2025-01-01 10:00:00,2025-01-01 10:45:00,Shepperton_Plant,Mutare,TRUCK_010,1277,336,456,394,2463
DSP_900047,2025-01-01 05:00:00,2025-01-01 07:30:00,2025-01-01 07:24:00,Shepperton_Plant,Chinhoyi,TRUCK_054,1633,416,569,388,3006
DSP_900048,2025-01-01 04:00:00,2025-01-01 06:30:00,2025-01-01 06:31:00,Shepperton_Plant,Chinhoyi,TRUCK_117,2168,413,426,631,3638
DSP_900049,2025-01-01 03:00:00,2025-01-01 03:50:00,2025-01-01 03:45:00,Shepperton_Plant,Hatcliff,TRUCK_148,1462,325,368,510,2665
DSP_900050,2025-01-01 03:00:00,2025-01-01 03:50:00,2025-01-01 03:59:00,Shepperton_Plant,Hatcliff,TRUCK_066,1252,325,346,296,2219
DSP_900051,2025-01-01 04:00:00,2025-01-01 06:00:00,2025-01-01 05:55:00,Shepperton_Plant,Chegutu,TRUCK_114,2281,530,483,632,3926
DSP_900052,2025-01-01 05:00:00,2025-01-01 10:00:00,2025-01-01 10:03:00,Shepperton_Plant,Mutare,TRUCK_083,893,260,347,414,1914
DSP_900053,2025-01-01 03:00:00,2025-01-01 04:50:00,2025-01-01 05:17:00,Shepperton_Plant,Murehwa,TRUCK_042,1337,356,346,238,2277
DSP_900054,2025-01-01 05:00:00,2025-01-01 06:00:00,2025-01-01 06:19:00,Shepperton_Plant,Harare,TRUCK_071,2021,622,762,571,3976
DSP_900055,2025-01-01 02:00:00,2025-01-01 03:50:00,2025-01-01 03:50:00,Shepperton_Plant,Murehwa,TRUCK_089,1874,695,635,444,3648
DSP_900056,2025-01-01 03:00:00,2025-01-01 03:50:00,2025-01-01 04:14:00,Shepperton_Plant,Hatcliff,TRUCK_008,1290,576,456,536,2858
DSP_900057,2025-01-02 06:00:00,2025-01-02 08:30:00,2025-01-02 08:41:00,Shepperton_Plant,Chinhoyi,TRUCK_042,1886,552,478,647,3563
DSP_900058,2025-01-02 03:00:00,2025-01-02 05:30:00,2025-01-02 05:20:00,Shepperton_Plant,Chinhoyi,TRUCK_025,960,357,354,324,1995
DSP_900059,2025-01-02 02:00:00,2025-01-02 04:30:00,2025-01-02 04:21:00,Shepperton_Plant,Chinhoyi,TRUCK_022,2292,587,642,657,4178
DSP_900060,2025-01-02 06:00:00,2025-01-02 07:50:00,2025-01-02 07:40:00,Shepperton_Plant,Murehwa,TRUCK_092,1256,583,536,381,2756
DSP_900061,2025-01-02 04:00:00,2025-01-02 09:00:00,2025-01-02 09:43:00,Shepperton_Plant,Mutare,TRUCK_087,1361,394,412,289,2456
DSP_900062,2025-01-02 03:00:00,2025-01-02 04:00:00,2025-01-02 04:36:00,Shepperton_Plant,Harare,TRUCK_132,1581,700,518,564,3363
DSP_900063,2025-01-02 03:00:00,2025-01-02 05:20:00,2025-01-02 05:19:00,Shepperton_Plant,Bindura,TRUCK_116,1521,483,420,606,3030
DSP_900064,2025-01-02 05:00:00,2025-01-02 10:00:00,2025-01-02 10:41:00,Shepperton_Plant,Mutare,TRUCK_069,1647,652,700,608,3607
DSP_900065,2025-01-02 06:00:00,2025-01-02 11:00:00,2025-01-02 11:00:00,Shepperton_Plant,Mutare,TRUCK_142,1301,285,259,330,2175
DSP_900066,2025-01-02 04:00:00,2025-01-02 06:20:00,2025-01-02 06:59:00,Shepperton_Plant,Bindura,TRUCK_133,1410,496,490,685,3081
DSP_900067,2025-01-02 05:00:00,2025-01-02 07:00:00,2025-01-02 07:36:00,Shepperton_Plant,Chegutu,TRUCK_016,1431,358,419,401,2609
DSP_900068,2025-01-02 02:00:00,2025-01-02 03:50:00,2025-01-02 03:48:00,Shepperton_Plant,Murehwa,TRUCK_059,1001,325,249,267,1842
DSP_900069,2025-01-02 04:00:00,2025-01-02 06:00:00,2025-01-02 06:03:00,Shepperton_Plant,Chegutu,TRUCK_007,1606,372,468,521,2967
DSP_900070,2025-01-02 06:00:00,2025-01-02 08:30:00,2025-01-02 08:42:00,Shepperton_Plant,Chinhoyi,TRUCK_129,1527,494,760,562,3343
DSP_900071,2025-01-02 02:00:00,2025-01-02 07:00:00,2025-01-02 07:19:00,Shepperton_Plant,Mutare,TRUCK_060,1358,365,501,453,2677
DSP_900072,2025-01-02 02:00:00,2025-01-02 03:50:00,2025-01-02 03:44:00,Shepperton_Plant,Murehwa,TRUCK_046,2141,514,640,832,4127
DSP_900073,2025-01-02 04:00:00,2025-01-02 04:50:00,2025-01-02 04:48:00,Shepperton_Plant,Hatcliff,TRUCK_112,1703,310,469,416,2898
DSP_900074,2025-01-02 06:00:00,2025-01-02 06:50:00,2025-01-02 07:16:00,Shepperton_Plant,Hatcliff,TRUCK_078,1193,312,291,200,1996
DSP_900075,2025-01-02 06:00:00,2025-01-02 08:30:00,2025-01-02 08:44:00,Shepperton_Plant,Chinhoyi,TRUCK_114,1332,441,527,467,2767
DSP_900076,2025-01-02 05:00:00,2025-01-02 06:50:00,2025-01-02 07:03:00,Shepperton_Plant,Murehwa,TRUCK_052,1402,467,509,375,2753
DSP_900077,2025-01-02 03:00:00,2025-01-02 08:00:00,2025-01-02 08:02:00,Shepperton_Plant,Mutare,TRUCK_058,1466,418,339,406,2629
DSP_900078,2025-01-02 03:00:00,2025-01-02 04:50:00,2025-01-02 05:01:00,Shepperton_Plant,Murehwa,TRUCK_012,1206,322,358,280,2166
DSP_900079,2025-01-02 06:00:00,2025-01-02 11:00:00,2025-01-02 11:02:00,Shepperton_Plant,Mutare,TRUCK_107,1529,538,471,611,3149
DSP_900080,2025-01-02 03:00:00,2025-01-02 03:50:00,2025-01-02 03:46:00,Shepperton_Plant,Hatcliff,TRUCK_118,2048,561,378,501,3488
DSP_900081,2025-01-02 04:00:00,2025-01-02 06:00:00,2025-01-02 06:33:00,Shepperton_Plant,Chegutu,TRUCK_066,1471,503,398,372,2744
DSP_900082,2025-01-02 04:00:00,2025-01-02 06:00:00,2025-01-02 06:22:00,Shepperton_Plant,Chegutu,TRUCK_109,1181,336,257,317,2091
DSP_900083,2025-01-02 02:00:00,2025-01-02 04:00:00,2025-01-02 04:10:00,Shepperton_Plant,Chegutu,TRUCK_005,2372,464,617,662,4115
DSP_900084,2025-01-02 03:00:00,2025-01-02 03:50:00,2025-01-02 03:50:00,Shepperton_Plant,Hatcliff,TRUCK_037,977,275,306,391,1949
DSP_900085,2025-01-02 05:00:00,2025-01-02 05:50:00,2025-01-02 06:23:00,Shepperton_Plant,Hatcliff,TRUCK_099,1285,529,552,395,2761
DSP_900086,2025-01-02 04:00:00,2025-01-02 06:00:00,2025-01-02 06:02:00,Shepperton_Plant,Chegutu,TRUCK_028,1731,573,392,522,3218
DSP_900087,2025-01-02 06:00:00,2025-01-02 08:20:00,2025-01-02 08:26:00,Shepperton_Plant,Bindura,TRUCK_045,1216,394,407,286,2303
DSP_900088,2025-01-02 02:00:00,2025-01-02 03:00:00,2025-01-02 03:04:00,Shepperton_Plant,Harare,TRUCK_098,2149,501,460,552,3662
DSP_900089,2025-01-02 03:00:00,2025-01-02 05:20:00,2025-01-02 05:25:00,Shepperton_Plant,Bindura,TRUCK_106,2410,535,549,630,4124
DSP_900090,2025-01-02 04:00:00,2025-01-02 04:50:00,2025-01-02 04:57:00,Shepperton_Plant,Hatcliff,TRUCK_100,1039,369,317,362,2087
DSP_900091,2025-01-02 04:00:00,2025-01-02 06:20:00,2025-01-02 06:23:00,Shepperton_Plant,Bindura,TRUCK_141,1048,319,436,304,2107
DSP_900092,2025-01-02 04:00:00,2025-01-02 05:00:00,2025-01-02 05:11:00,Shepperton_Plant,Harare,TRUCK_085,1783,586,762,781,3912
DSP_900093,2025-01-02 06:00:00,2025-01-02 08:00:00,2025-01-02 08:03:00,Shepperton_Plant,Chegutu,TRUCK_011,1380,420,708,522,3030
DSP_900094,2025-01-02 02:00:00,2025-01-02 04:20:00,2025-01-02 05:01:00,Shepperton_Plant,Bindura,TRUCK_149,1401,309,331,410,2451
DSP_900095,2025-01-02 02:00:00,2025-01-02 03:50:00,2025-01-02 04:31:00,Shepperton_Plant,Murehwa,TRUCK_136,2359,451,680,473,3963
DSP_900096,2025-01-02 03:00:00,2025-01-02 04:00:00,2025-01-02 04:20:00,Shepperton_Plant,Harare,TRUCK_006,1512,353,369,306,2540
DSP_900097,2025-01-02 02:00:00,2025-01-02 02:50:00,2025-01-02 03:27:00,Shepperton_Plant,Hatcliff,TRUCK_001,1807,605,693,504,3609
DSP_900098,2025-01-02 02:00:00,2025-01-02 02:50:00,2025-01-02 03:32:00,Shepperton_Plant,Hatcliff,TRUCK_086,1281,458,436,484,2659
DSP_900099,2025-01-02 02:00:00,2025-01-02 04:00:00,2025-01-02 03:59:00,Shepperton_Plant,Chegutu,TRUCK_043,892,362,304,247,1805
DSP_900100,2025-01-02 03:00:00,2025-01-02 05:00:00,2025-01-02 05:15:00,Shepperton_Plant,Chegutu,TRUCK_008,1277,521,550,383,2731
DSP_900101,2025-01-02 02:00:00,2025-01-02 07:00:00,2025-01-02 07:15:00,Shepperton_Plant,Mutare,TRUCK_041,1790,531,603,581,3505
DSP_900102,2025-01-02 05:00:00,2025-01-02 05:50:00,2025-01-02 06:25:00,Shepperton_Plant,Hatcliff,TRUCK_027,1898,420,586,490,3394
DSP_900103,2025-01-02 04:00:00,2025-01-02 06:30:00,2025-01-02 06:43:00,Shepperton_Plant,Chinhoyi,TRUCK_146,2058,600,453,651,3762
DSP_900104,2025-01-02 04:00:00,2025-01-02 04:50:00,2025-01-02 05:29:00,Shepperton_Plant,Hatcliff,TRUCK_036,1669,660,637,500,3466
DSP_900105,2025-01-02 03:00:00,2025-01-02 08:00:00,2025-01-02 08:06:00,Shepperton_Plant,Mutare,TRUCK_084,1216,380,473,510,2579
DSP_900106,2025-01-02 02:00:00,2025-01-02 07:00:00,2025-01-02 07:00:00,Shepperton_Plant,Mutare,TRUCK_144,1532,551,589,594,3266
DSP_900107,2025-01-02 03:00:00,2025-01-02 04:50:00,2025-01-02 05:24:00,Shepperton_Plant,Murehwa,TRUCK_083,1189,333,299,268,2089
DSP_900108,2025-01-02 04:00:00,2025-01-02 06:20:00,2025-01-02 06:16:00,Shepperton_Plant,Bindura,TRUCK_124,1912,643,898,696,4149
DSP_900109,2025-01-02 02:00:00,2025-01-02 04:20:00,2025-01-02 04:11:00,Shepperton_Plant,Bindura,TRUCK_117,1487,540,459,455,2941
DSP_900110,2025-01-02 03:00:00,2025-01-02 04:50:00,2025-01-02 04:45:00,Shepperton_Plant,Murehwa,TRUCK_102,961,309,441,325,2036
DSP_900111,2025-01-02 05:00:00,2025-01-02 05:50:00,2025-01-02 06:05:00,Shepperton_Plant,Hatcliff,TRUCK_002,1867,433,525,363,3188
DSP_900112,2025-01-02 03:00:00,2025-01-02 08:00:00,2025-01-02 08:24:00,Shepperton_Plant,Mutare,TRUCK_030,999,326,286,414,2025
DSP_900113,2025-01-02 05:00:00,2025-01-02 07:20:00,2025-01-02 07:52:00,Shepperton_Plant,Bindura,TRUCK_091,2200,409,531,603,3743
DSP_900114,2025-01-02 06:00:00,2025-01-02 08:00:00,2025-01-02 07:55:00,Shepperton_Plant,Chegutu,TRUCK_074,2174,618,562,839,4193
DSP_900115,2025-01-02 03:00:00,2025-01-02 05:30:00,2025-01-02 05:24:00,Shepperton_Plant,Chinhoyi,TRUCK_119,1231,588,381,527,2727
DSP_900116,2025-01-03 02:00:00,2025-01-03 03:50:00,2025-01-03 03:55:00,Shepperton_Plant,Murehwa,TRUCK_020,1341,480,443,347,2611
DSP_900117,2025-01-03 06:00:00,2025-01-03 07:50:00,2025-01-03 07:44:00,Shepperton_Plant,Murehwa,TRUCK_103,2166,690,584,645,4085
DSP_900118,2025-01-03 02:00:00,2025-01-03 02:50:00,2025-01-03 03:05:00,Shepperton_Plant,Hatcliff,TRUCK_111,1297,336,482,360,2475
DSP_900119,2025-01-03 02:00:00,2025-01-03 04:00:00,2025-01-03 03:51:00,Shepperton_Plant,Chegutu,TRUCK_147,1688,597,655,612,3552
DSP_900120,2025-01-03 05:00:00,2025-01-03 07:20:00,2025-01-03 07:40:00,Shepperton_Plant,Bindura,TRUCK_021,929,388,269,325,1911
DSP_900121,2025-01-03 03:00:00,2025-01-03 03:50:00,2025-01-03 04:05:00,Shepperton_Plant,Hatcliff,TRUCK_036,1805,684,658,825,3972
DSP_900122,2025-01-03 03:00:00,2025-01-03 04:50:00,2025-01-03 04:46:00,Shepperton_Plant,Murehwa,TRUCK_005,2058,407,471,512,3448
DSP_900123,2025-01-03 03:00:00,2025-01-03 08:00:00,2025-01-03 08:10:00,Shepperton_Plant,Mutare,TRUCK_068,1411,466,436,516,2829
DSP_900124,2025-01-03 02:00:00,2025-01-03 04:30:00,2025-01-03 04:57:00,Shepperton_Plant,Chinhoyi,TRUCK_027,840,399,336,282,1857
DSP_900125,2025-01-03 06:00:00,2025-01-03 08:20:00,2025-01-03 08:26:00,Shepperton_Plant,Bindura,TRUCK_132,2163,688,493,607,3951
DSP_900126,2025-01-03 06:00:00,2025-01-03 07:50:00,2025-01-03 07:40:00,Shepperton_Plant,Murehwa,TRUCK_099,2236,520,663,658,4077
DSP_900127,2025-01-03 04:00:00,2025-01-03 06:30:00,2025-01-03 06:36:00,Shepperton_Plant,Chinhoyi,TRUCK_102,2220,526,834,617,4197
DSP_900128,2025-01-03 03:00:00,2025-01-03 08:00:00,2025-01-03 07:59:00,Shepperton_Plant,Mutare,TRUCK_110,1362,350,467,447,2626
DSP_900129,2025-01-03 04:00:00,2025-01-03 04:50:00,2025-01-03 04:59:00,Shepperton_Plant,Hatcliff,TRUCK_096,952,277,324,377,1930
DSP_900130,2025-01-03 04:00:00,2025-01-03 06:20:00,2025-01-03 06:53:00,Shepperton_Plant,Bindura,TRUCK_083,1703,490,318,462,2973
DSP_900131,2025-01-03 04:00:00,2025-01-03 06:20:00,2025-01-03 06:50:00,Shepperton_Plant,Bindura,TRUCK_091,1240,461,327,472,2500
DSP_900132,2025-01-03 02:00:00,2025-01-03 03:50:00,2025-01-03 03:47:00,Shepperton_Plant,Murehwa,TRUCK_133,1945,518,607,541,3611
DSP_900133,2025-01-03 04:00:00,2025-01-03 09:00:00,2025-01-03 09:10:00,Shepperton_Plant,Mutare,TRUCK_148,1492,597,573,551,3213
DSP_900134,2025-01-03 05:00:00,2025-01-03 07:30:00,2025-01-03 07:26:00,Shepperton_Plant,Chinhoyi,TRUCK_087,1526,377,550,446,2899
DSP_900135,2025-01-03 03:00:00,2025-01-03 04:00:00,2025-01-03 03:50:00,Shepperton_Plant,Harare,TRUCK_082,1630,524,528,691,3373
DSP_900136,2025-01-03 05:00:00,2025-01-03 10:00:00,2025-01-03 09:58:00,Shepperton_Plant,Mutare,TRUCK_081,1454,486,628,573,3141
DSP_900137,2025-01-03 03:00:00,2025-01-03 05:00:00,2025-01-03 05:26:00,Shepperton_Plant,Chegutu,TRUCK_128,1457,406,338,355,2556
DSP_900138,2025-01-03 03:00:00,2025-01-03 03:50:00,2025-01-03 04:10:00,Shepperton_Plant,Hatcliff,TRUCK_134,1483,412,391,280,2566
DSP_900139,2025-01-03 02:00:00,2025-01-03 04:20:00,2025-01-03 04:27:00,Shepperton_Plant,Bindura,TRUCK_019,996,337,431,309,2073
DSP_900140,2025-01-03 05:00:00,2025-01-03 06:00:00,2025-01-03 06:30:00,Shepperton_Plant,Harare,TRUCK_141,2368,479,540,614,4001
DSP_900141,2025-01-03 06:00:00,2025-01-03 06:50:00,2025-01-03 06:44:00,Shepperton_Plant,Hatcliff,TRUCK_022,1332,457,326,383,2498
DSP_900142,2025-01-03 05:00:00,2025-01-03 07:30:00,2025-01-03 07:38:00,Shepperton_Plant,Chinhoyi,TRUCK_061,1689,377,421,370,2857
DSP_900143,2025-01-03 06:00:00,2025-01-03 07:50:00,2025-01-03 08:05:00,Shepperton_Plant,Murehwa,TRUCK_116,1822,521,635,757,3735
DSP_900144,2025-01-03 02:00:00,2025-01-03 04:20:00,2025-01-03 04:13:00,Shepperton_Plant,Bindura,TRUCK_048,1439,356,432,576,2803
DSP_900145,2025-01-03 04:00:00,2025-01-03 06:30:00,2025-01-03 07:12:00,Shepperton_Plant,Chinhoyi,TRUCK_120,1015,261,378,266,1920
DSP_900146,2025-01-03 05:00:00,2025-01-03 05:50:00,2025-01-03 06:18:00,Shepperton_Plant,Hatcliff,TRUCK_089,1553,374,387,343,2657
DSP_900147,2025-01-03 05:00:00,2025-01-03 06:50:00,2025-01-03 06:53:00,Shepperton_Plant,Murehwa,TRUCK_086,1134,454,396,366,2350
DSP_900148,2025-01-03 05:00:00,2025-01-03 07:30:00,2025-01-03 08:00:00,Shepperton_Plant,Chinhoyi,TRUCK_137,1800,501,697,480,3478
DSP_900149,2025-01-03 06:00:00,2025-01-03 08:00:00,2025-01-03 07:50:00,Shepperton_Plant,Chegutu,TRUCK_062,1009,312,343,320,1984
DSP_900150,2025-01-03 02:00:00,2025-01-03 07:00:00,2025-01-03 07:05:00,Shepperton_Plant,Mutare,TRUCK_127,1445,372,380,549,2746
DSP_900151,2025-01-03 02:00:00,2025-01-03 02:50:00,2025-01-03 03:33:00,Shepperton_Plant,Hatcliff,TRUCK_004,1966,544,511,648,3669
DSP_900152,2025-01-04 06:00:00,2025-01-04 08:20:00,2025-01-04 08:25:00,Shepperton_Plant,Bindura,TRUCK_002,1492,547,454,375,2868
DSP_900153,2025-01-04 03:00:00,2025-01-04 05:00:00,2025-01-04 05:08:00,Shepperton_Plant,Chegutu,TRUCK_124,1638,431,361,400,2830
DSP_900154,2025-01-04 02:00:00,2025-01-04 04:30:00,2025-01-04 04:23:00,Shepperton_Plant,Chinhoyi,TRUCK_080,2332,524,519,737,4112
DSP_900155,2025-01-04 05:00:00,2025-01-04 07:30:00,2025-01-04 07:27:00,Shepperton_Plant,Chinhoyi,TRUCK_085,1208,338,339,412,2297
DSP_900156,2025-01-04 06:00:00,2025-01-04 07:50:00,2025-01-04 08:09:00,Shepperton_Plant,Murehwa,TRUCK_019,2159,718,593,717,4187
DSP_900157,2025-01-04 06:00:00,2025-01-04 08:00:00,2025-01-04 08:02:00,Shepperton_Plant,Chegutu,TRUCK_075,1275,269,429,302,2275
DSP_900158,2025-01-04 05:00:00,2025-01-04 07:30:00,2025-01-04 07:37:00,Shepperton_Plant,Chinhoyi,TRUCK_047,1582,354,285,419,2640
DSP_900159,2025-01-04 04:00:00,2025-01-04 06:00:00,2025-01-04 06:00:00,Shepperton_Plant,Chegutu,TRUCK_113,1131,294,395,308,2128
DSP_900160,2025-01-04 02:00:00,2025-01-04 02:50:00,2025-01-04 02:47:00,Shepperton_Plant,Hatcliff,TRUCK_090,1696,535,780,545,3556
DSP_900161,2025-01-04 05:00:00,2025-01-04 07:20:00,2025-01-04 07:15:00,Shepperton_Plant,Bindura,TRUCK_041,1663,427,688,593,3371
DSP_900162,2025-01-04 04:00:00,2025-01-04 09:00:00,2025-01-04 09:23:00,Shepperton_Plant,Mutare,TRUCK_103,1452,456,553,495,2956
DSP_900163,2025-01-04 03:00:00,2025-01-04 05:20:00,2025-01-04 05:49:00,Shepperton_Plant,Bindura,TRUCK_087,1440,332,425,404,2601
DSP_900164,2025-01-04 06:00:00,2025-01-04 06:50:00,2025-01-04 07:05:00,Shepperton_Plant,Hatcliff,TRUCK_107,1571,405,445,620,3041
DSP_900165,2025-01-04 05:00:00,2025-01-04 06:50:00,2025-01-04 07:17:00,Shepperton_Plant,Murehwa,TRUCK_150,2123,631,602,437,3793
DSP_900166,2025-01-04 02:00:00,2025-01-04 04:00:00,2025-01-04 04:33:00,Shepperton_Plant,Chegutu,TRUCK_071,1462,483,493,610,3048
DSP_900167,2025-01-04 04:00:00,2025-01-04 04:50:00,2025-01-04 04:47:00,Shepperton_Plant,Hatcliff,TRUCK_132,1719,337,442,540,3038
