qc_id,timestamp,batch_id,sku,parameter,value,pass_fail
QC_500033,2025-03-20,BATCH_20514,Low GI Seed loaf,seal_strength,0.93,fail
QC_500034,2025-04-12,BATCH_23219,Soft white,seal_strength,1.16,pass
QC_500035,2025-06-01,BATCH_20088,High Energy Brown,seal_strength,0.94,fail
QC_500036,2025-03-13,BATCH_20043,Soft white,weight,1.16,pass
QC_500037,2025-07-27,BATCH_20642,Whole grain loaf,temperature,1.16,pass
QC_500038,2025-06-08,BATCH_22639,Whole grain loaf,temperature,0.88,fail
QC_500039,2025-01-26,BATCH_21978,Low GI Seed loaf,seal_strength,1.07,pass
QC_500040,2025-01-16,BATCH_21697,Soft white,moisture,0.82,fail
QC_500041,2025-01-19,BATCH_21399,Whole grain loaf,moisture,0.99,pass
QC_500042,2025-04-24,BATCH_23739,Low GI Seed loaf,seal_strength,1.15,pass
QC_500043,2025-07-10,BATCH_23433,Whole grain loaf,seal_strength,0.82,fail
QC_500044,2025-01-16,BATCH_23166,High Energy Brown,temperature,0.82,fail
QC_500045,2025-04-16,BATCH_24576,Soft white,moisture,0.8,fail
QC_500046,2025-06-03,BATCH_22962,Whole grain loaf,moisture,0.85,fail
QC_500047,2025-04-04,BATCH_23984,Soft white,moisture,0.95,pass
QC_500048,2025-07-05,BATCH_20542,Soft white,temperature,0.86,fail
QC_500049,2025-06-11,BATCH_22740,Low GI Seed loaf,weight,1.08,pass
QC_500050,2025-06-12,BATCH_22258,High Energy Brown,weight,0.86,fail
QC_500051,2025-06-05,BATCH_24348,Soft white,seal_strength,1.18,pass
QC_500052,2025-07-22,BATCH_21827,Soft white,weight,1.06,pass
QC_500053,2025-02-18,BATCH_21590,Whole grain loaf,moisture,0.97,pass
QC_500054,2025-02-15,BATCH_24458,Soft white,moisture,1.04,pass
QC_500055,2025-03-20,BATCH_21719,Low GI Seed loaf,weight,1.19,pass
QC_500056,2025-07-06,BATCH_20061,Soft white,moisture,1.01,pass
QC_500057,2025-01-19,BATCH_25139,High Energy Brown,temperature,0.81,fail
QC_500058,2025-01-28,BATCH_25800,Low GI Seed loaf,seal_strength,1.01,pass
QC_500059,2025-07-07,BATCH_20517,High Energy Brown,weight,1.18,pass
QC_500060,2025-01-03,BATCH_20215,High Energy Brown,seal_strength,1.2,pass
QC_500061,2025-07-12,BATCH_22464,Low GI Seed loaf,temperature,0.8,fail
QC_500062,2025-02-11,BATCH_20288,Low GI Seed loaf,moisture,1.12,pass
QC_500063,2025-01-23,BATCH_24134,Whole grain loaf,temperature,1.09,pass
QC_500064,2025-01-03,BATCH_23525,Low GI Seed loaf,weight,1.08,pass
QC_500065,2025-06-26,BATCH_20976,Low GI Seed loaf,seal_strength,1.15,pass
QC_500066,2025-05-19,BATCH_22004,Soft white,seal_strength,1.16,pass
QC_500067,2025-02-12,BATCH_25927,High Energy Brown,moisture,0.81,fail
QC_500068,2025-02-14,BATCH_20882,Low GI Seed loaf,moisture,1.01,pass
QC_500069,2025-06-25,BATCH_25795,Whole grain loaf,weight,0.9,fail
QC_500070,2025-07-27,BATCH_22056,Soft white,temperature,1.05,pass
QC_500071,2025-07-23,BATCH_25241,Soft white,weight,0.93,fail
QC_500072,2025-01-15,BATCH_20497,Whole grain loaf,weight,0.95,pass
QC_500073,2025-04-22,BATCH_23719,Low GI Seed loaf,weight,0.82,fail
QC_500074,2025-01-03,BATCH_21831,High Energy Brown,seal_strength,1.01,pass
QC_500075,2025-01-25,BATCH_24564,Soft white,weight,1.1,pass
QC_500076,2025-05-08,BATCH_21527,Low GI Seed loaf,moisture,1.17,pass
QC_500077,2025-05-05,BATCH_20672,Soft white,moisture,1.14,pass
QC_500078,2025-01-27,BATCH_25450,High Energy Brown,temperature,0.99,pass
QC_500079,2025-05-12,BATCH_23659,Soft white,weight,0.94,fail
QC_500080,2025-06-07,BATCH_24363,High Energy Brown,weight,1.17,pass
QC_500081,2025-07-12,BATCH_21181,Whole grain loaf,weight,0.93,fail
QC_500082,2025-01-20,BATCH_25114,High Energy Brown,moisture,1.19,pass
QC_500083,2025-01-26,BATCH_23121,Whole grain loaf,temperature,1.17,pass
QC_500084,2025-03-18,BATCH_20089,Soft white,moisture,1.12,pass
QC_500085,2025-05-17,BATCH_23536,Whole grain loaf,weight,1.1,pass
QC_500086,2025-02-17,BATCH_20705,Soft white,temperature,0.98,pass
QC_500087,2025-05-10,BATCH_22473,Low GI Seed loaf,temperature,1.09,pass
QC_500088,2025-02-04,BATCH_20327,Soft white,moisture,1.07,pass
QC_500089,2025-02-04,BATCH_24876,Low GI Seed loaf,weight,1.18,pass
QC_500090,2025-04-10,BATCH_24358,Low GI Seed loaf,temperature,1.02,pass
QC_500091,2025-07-16,BATCH_24397,High Energy Brown,temperature,0.84,fail
QC_500092,2025-04-03,BATCH_22663,Soft white,moisture,1.14,pass
QC_500093,2025-03-16,BATCH_22211,High Energy Brown,temperature,1.15,pass
QC_500094,2025-05-17,BATCH_24354,High Energy Brown,seal_strength,0.88,fail
QC_500095,2025-01-03,BATCH_25664,Low GI Seed loaf,temperature,1.18,pass
QC_500096,2025-02-04,BATCH_25354,High Energy Brown,temperature,1.18,pass
QC_500097,2025-05-08,BATCH_21220,Whole grain loaf,weight,0.92,fail
QC_500098,2025-02-17,BATCH_21134,Whole grain loaf,temperature,0.85,fail
QC_500099,2025-01-17,BATCH_24008,High Energy Brown,seal_strength,0.86,fail
QC_500100,2025-01-11,BATCH_24194,High Energy Brown,weight,1.11,pass
QC_500101,2025-04-02,BATCH_23803,Whole grain loaf,moisture,1.07,pass
QC_500102,2025-05-22,BATCH_22953,Low GI Seed loaf,seal_strength,1.12,pass
QC_500103,2025-03-02,BATCH_21756,Whole grain loaf,temperature,1.15,pass
QC_500104,2025-04-05,BATCH_22884,High Energy Brown,moisture,0.9,fail
QC_500105,2025-02-08,BATCH_20061,Low GI Seed loaf,moisture,1.02,pass
QC_500106,2025-06-17,BATCH_22404,Soft white,moisture,1.09,pass
QC_500107,2025-05-05,BATCH_25213,Whole grain loaf,temperature,1.07,pass
QC_500108,2025-06-22,BATCH_24308,Soft white,weight,1.0,pass
QC_500109,2025-07-07,BATCH_21698,Soft white,weight,0.81,fail
QC_500110,2025-02-15,BATCH_24106,Low GI Seed loaf,seal_strength,1.2,pass
QC_500111,2025-07-21,BATCH_20093,High Energy Brown,weight,0.83,fail
QC_500112,2025-06-07,BATCH_25152,Soft white,weight,0.9,fail
QC_500113,2025-03-02,BATCH_20575,Whole grain loaf,temperature,0.83,fail
QC_500114,2025-01-12,BATCH_25536,Low GI Seed loaf,seal_strength,1.0,pass
QC_500115,2025-07-28,BATCH_24724,High Energy Brown,moisture,1.03,pass
QC_500116,2025-02-19,BATCH_23192,Low GI Seed loaf,seal_strength,0.97,pass
QC_500117,2025-07-09,BATCH_21844,Low GI Seed loaf,seal_strength,1.02,pass
QC_500118,2025-07-21,BATCH_22444,Whole grain loaf,seal_strength,0.85,fail
QC_500119,2025-01-22,BATCH_25908,Low GI Seed loaf,seal_strength,0.86,fail
QC_500120,2025-01-05,BATCH_22589,Low GI Seed loaf,weight,1.0,pass
QC_500121,2025-02-25,BATCH_23420,Whole grain loaf,temperature,1.07,pass
QC_500122,2025-03-07,BATCH_24573,Soft white,weight,1.07,pass
QC_500123,2025-07-18,BATCH_24951,Soft white,weight,1.2,pass
QC_500124,2025-04-05,BATCH_22138,High Energy Brown,moisture,1.05,pass
QC_500125,2025-05-20,BATCH_21072,High Energy Brown,temperature,0.92,fail
QC_500126,2025-01-04,BATCH_21118,Soft white,weight,0.8,fail
QC_500127,2025-05-18,BATCH_25318,Whole grain loaf,seal_strength,0.94,fail
QC_500128,2025-01-16,BATCH_24811,Low GI Seed loaf,seal_strength,0.87,fail
QC_500129,2025-07-06,BATCH_25520,Whole grain loaf,seal_strength,1.1,pass
QC_500130,2025-06-17,BATCH_23290,Low GI Seed loaf,seal_strength,1.01,pass
QC_500131,2025-04-06,BATCH_22903,Soft white,seal_strength,1.1,pass
QC_500132,2025-01-19,BATCH_21875,Soft white,temperature,1.12,pass
QC_500133,2025-01-28,BATCH_22439,High Energy Brown,temperature,1.16,pass
QC_500134,2025-07-28,BATCH_21349,Low GI Seed loaf,seal_strength,0.95,pass
QC_500135,2025-06-09,BATCH_20157,High Energy Brown,temperature,0.8,fail
QC_500136,2025-04-12,BATCH_25811,Whole grain loaf,temperature,1.12,pass
QC_500137,2025-06-07,BATCH_21868,Whole grain loaf,temperature,0.88,fail
QC_500138,2025-03-20,BATCH_22586,High Energy Brown,seal_strength,1.01,pass
QC_500139,2025-05-03,BATCH_25149,Whole grain loaf,weight,0.97,pass
QC_500140,2025-05-14,BATCH_22108,Low GI Seed loaf,seal_strength,1.07,pass
QC_500141,2025-06-19,BATCH_20765,High Energy Brown,seal_strength,0.88,fail
QC_500142,2025-03-20,BATCH_22777,High Energy Brown,moisture,1.16,pass
QC_500143,2025-04-17,BATCH_22697,Whole grain loaf,moisture,0.99,pass
QC_500144,2025-03-05,BATCH_20235,High Energy Brown,moisture,0.84,fail
QC_500145,2025-06-26,BATCH_20228,Soft white,temperature,0.95,pass
QC_500146,2025-06-21,BATCH_23821,High Energy Brown,weight,0.89,fail
QC_500147,2025-01-16,BATCH_20290,High Energy Brown,temperature,0.91,fail
QC_500148,2025-01-24,BATCH_20752,High Energy Brown,temperature,1.14,pass
QC_500149,2025-06-21,BATCH_24753,High Energy Brown,moisture,1.07,pass
QC_500150,2025-02-01,BATCH_21379,Soft white,moisture,1.14,pass
QC_500151,2025-07-01,BATCH_24497,High Energy Brown,weight,1.11,pass
QC_500152,2025-01-26,BATCH_24066,High Energy Brown,seal_strength,1.01,pass
QC_500153,2025-06-01,BATCH_24291,Whole grain loaf,moisture,1.12,pass
QC_500154,2025-03-05,BATCH_25128,Whole grain loaf,weight,0.97,pass
QC_500155,2025-06-25,BATCH_23440,Soft white,temperature,1.03,pass
QC_500156,2025-01-14,BATCH_24550,High Energy Brown,weight,1.05,pass
QC_500157,2025-02-23,BATCH_21231,Soft white,weight,1.12,pass
QC_500158,2025-06-02,BATCH_20331,Whole grain loaf,temperature,1.11,pass
QC_500159,2025-05-11,BATCH_21665,Whole grain loaf,temperature,1.05,pass
QC_500160,2025-07-08,BATCH_24885,Whole grain loaf,weight,1.02,pass
QC_500161,2025-03-11,BATCH_23179,Soft white,seal_strength,1.1,pass
QC_500162,2025-01-10,BATCH_24743,Low GI Seed loaf,seal_strength,0.95,fail
QC_500163,2025-03-26,BATCH_22736,Soft white,moisture,1.06,pass
QC_500164,2025-07-09,BATCH_22395,High Energy Brown,weight,0.96,pass
QC_500165,2025-06-19,BATCH_20748,High Energy Brown,moisture,1.09,pass
QC_500166,2025-05-13,BATCH_22573,High Energy Brown,moisture,1.11,pass
QC_500167,2025-04-04,BATCH_22643,High Energy Brown,seal_strength,1.09,pass
QC_500168,2025-02-08,BATCH_20761,Soft white,weight,0.94,fail
QC_500169,2025-04-09,BATCH_22887,Low GI Seed loaf,moisture,0.85,fail
QC_500170,2025-04-16,BATCH_24911,Soft white,moisture,0.96,pass
QC_500171,2025-06-20,BATCH_20526,Whole grain loaf,temperature,1.17,pass
QC_500172,2025-01-11,BATCH_25059,Whole grain loaf,seal_strength,0.84,fail
QC_500173,2025-02-03,BATCH_21106,Whole grain loaf,seal_strength,0.95,pass
QC_500174,2025-04-11,BATCH_25007,High Energy Brown,moisture,0.94,fail
QC_500175,2025-02-26,BATCH_21901,High Energy Brown,seal_strength,0.99,pass
QC_500176,2025-07-23,BATCH_20456,Whole grain loaf,temperature,0.98,pass
QC_500177,2025-01-11,BATCH_22284,Whole grain loaf,weight,0.93,fail
QC_500178,2025-06-19,BATCH_20007,Low GI Seed loaf,seal_strength,0.89,fail
QC_500179,2025-06-13,BATCH_23315,Low GI Seed loaf,moisture,0.98,pass
QC_500180,2025-02-25,BATCH_23694,Whole grain loaf,seal_strength,0.83,fail
QC_500181,2025-01-16,BATCH_24864,Whole grain loaf,seal_strength,1.09,pass
QC_500182,2025-01-03,BATCH_20158,Low GI Seed loaf,seal_strength,1.04,pass
QC_500183,2025-04-16,BATCH_22156,Low GI Seed loaf,seal_strength,0.81,fail
QC_500184,2025-06-06,BATCH_20950,Whole grain loaf,temperature,0.83,fail
QC_500185,2025-06-25,BATCH_24170,Low GI Seed loaf,temperature,1.13,pass
QC_500186,2025-05-18,BATCH_24741,Soft white,temperature,0.88,fail
QC_500187,2025-06-24,BATCH_23787,Low GI Seed loaf,moisture,0.93,fail
QC_500188,2025-03-02,BATCH_23410,Low GI Seed loaf,temperature,0.93,fail
QC_500189,2025-04-05,BATCH_20517,Whole grain loaf,temperature,1.15,pass
QC_500190,2025-03-20,BATCH_24557,High Energy Brown,moisture,1.13,pass
QC_500191,2025-04-08,BATCH_23427,High Energy Brown,temperature,1.05,pass
QC_500192,2025-07-13,BATCH_24148,High Energy Brown,moisture,1.02,pass
QC_500193,2025-07-17,BATCH_23475,Soft white,moisture,1.02,pass
QC_500194,2025-04-07,BATCH_24093,High Energy Brown,weight,1.13,pass
QC_500195,2025-06-27,BATCH_25703,Whole grain loaf,weight,1.13,pass
QC_500196,2025-02-09,BATCH_24132,Soft white,moisture,1.02,pass
QC_500197,2025-03-22,BATCH_23126,Whole grain loaf,weight,1.04,pass
QC_500198,2025-07-13,BATCH_22395,Soft white,weight,0.92,fail
QC_500199,2025-01-06,BATCH_23846,High Energy Brown,seal_strength,1.18,pass
QC_500200,2025-03-10,BATCH_21537,High Energy Brown,temperature,1.16,pass
QC_500201,2025-06-21,BATCH_22808,Soft white,moisture,0.98,pass
QC_500202,2025-03-11,BATCH_21037,High Energy Brown,weight,0.86,fail
QC_500203,2025-05-19,BATCH_20665,Soft white,weight,1.04,pass
QC_500204,2025-05-16,BATCH_21978,High Energy Brown,weight,0.95,pass
QC_500205,2025-04-19,BATCH_20139,Soft white,weight,1.02,pass
QC_500206,2025-02-03,BATCH_24890,High Energy Brown,weight,1.11,pass
QC_500207,2025-01-04,BATCH_25278,Low GI Seed loaf,moisture,1.1,pass
QC_500208,2025-02-05,BATCH_23945,Low GI Seed loaf,weight,1.19,pass
QC_500209,2025-05-27,BATCH_24503,Whole grain loaf,seal_strength,0.91,fail
QC_500210,2025-02-04,BATCH_21223,Soft white,temperature,0.86,fail
QC_500211,2025-04-14,BATCH_24827,Whole grain loaf,temperature,1.0,pass
QC_500212,2025-05-04,BATCH_22469,Low GI Seed loaf,moisture,1.02,pass
QC_500213,2025-04-02,BATCH_20858,Soft white,temperature,1.09,pass
QC_500214,2025-04-14,BATCH_24652,Whole grain loaf,weight,0.89,fail
QC_500215,2025-03-07,BATCH_22459,Soft white,temperature,1.14,pass
QC_500216,2025-04-23,BATCH_21566,Whole grain loaf,seal_strength,0.87,fail
QC_500217,2025-07-12,BATCH_20836,Whole grain loaf,temperature,1.08,pass
QC_500218,2025-01-25,BATCH_25188,High Energy Brown,moisture,0.88,fail
QC_500219,2025-04-25,BATCH_23168,Low GI Seed loaf,weight,1.15,pass
QC_500220,2025-03-05,BATCH_21047,Soft white,moisture,0.98,pass
QC_500221,2025-07-28,BATCH_21343,Low GI Seed loaf,seal_strength,1.16,pass
QC_500222,2025-02-07,BATCH_23227,Soft white,weight,1.02,pass
QC_500223,2025-02-24,BATCH_20017,High Energy Brown,weight,1.18,pass
QC_500224,2025-01-16,BATCH_21974,Soft white,temperature,1.14,pass
QC_500225,2025-04-12,BATCH_21213,High Energy Brown,seal_strength,1.11,pass
QC_500226,2025-01-06,BATCH_23490,High Energy Brown,seal_strength,0.85,fail
QC_500227,2025-04-01,BATCH_21879,Whole grain loaf,moisture,0.99,pass
QC_500228,2025-01-03,BATCH_22065,Soft white,temperature,1.16,pass
QC_500229,2025-05-08,BATCH_25579,Low GI Seed loaf,temperature,0.97,pass
QC_500230,2025-02-25,BATCH_21085,Whole grain loaf,moisture,1.11,pass
QC_500231,2025-04-04,BATCH_25254,Low GI Seed loaf,weight,1.1,pass
QC_500232,2025-05-25,BATCH_23583,Soft white,moisture,1.04,pass
QC_500233,2025-01-13,BATCH_22401,Soft white,seal_strength,0.86,fail
QC_500234,2025-03-05,BATCH_21595,Soft white,temperature,0.83,fail
QC_500235,2025-02-12,BATCH_24481,Soft white,temperature,0.82,fail
QC_500236,2025-06-06,BATCH_25661,Low GI Seed loaf,seal_strength,1.17,pass
QC_500237,2025-01-14,BATCH_23157,Soft white,temperature,0.96,pass
QC_500238,2025-05-17,BATCH_25528,Whole grain loaf,seal_strength,1.05,pass
QC_500239,2025-01-15,BATCH_21866,Low GI Seed loaf,moisture,0.89,fail
QC_500240,2025-04-14,BATCH_24537,Soft white,temperature,0.83,fail
QC_500241,2025-06-14,BATCH_25697,Low GI Seed loaf,weight,0.83,fail
QC_500242,2025-02-21,BATCH_22603,High Energy Brown,moisture,1.07,pass
QC_500243,2025-01-03,BATCH_24715,Soft white,moisture,0.92,fail
QC_500244,2025-02-24,BATCH_22028,Low GI Seed loaf,weight,0.94,fail
QC_500245,2025-01-13,BATCH_23724,Low GI Seed loaf,weight,1.0,pass
QC_500246,2025-01-12,BATCH_21215,High Energy Brown,temperature,0.98,pass
QC_500247,2025-03-27,BATCH_22665,Low GI Seed loaf,seal_strength,0.96,pass
QC_500248,2025-07-14,BATCH_20864,Soft white,weight,0.99,pass
QC_500249,2025-04-18,BATCH_23230,High Energy Brown,temperature,0.85,fail
QC_500250,2025-05-03,BATCH_23707,High Energy Brown,temperature,0.86,fail
QC_500251,2025-06-04,BATCH_24450,Whole grain loaf,seal_strength,0.99,pass
QC_500252,2025-02-13,BATCH_24486,Low GI Seed loaf,temperature,1.2,pass
QC_500253,2025-07-14,BATCH_21325,High Energy Brown,weight,1.12,pass
QC_500254,2025-07-25,BATCH_22437,Soft white,moisture,0.95,pass
QC_500255,2025-05-04,BATCH_24179,Low GI Seed loaf,weight,0.94,fail
QC_500256,2025-02-13,BATCH_24820,Soft white,weight,0.88,fail
QC_500257,2025-03-04,BATCH_24710,High Energy Brown,temperature,1.19,pass
QC_500258,2025-03-10,BATCH_24089,High Energy Brown,weight,1.03,pass
QC_500259,2025-07-12,BATCH_23147,Low GI Seed loaf,moisture,0.83,fail
QC_500260,2025-06-17,BATCH_21055,High Energy Brown,weight,1.14,pass
QC_500261,2025-04-13,BATCH_25174,High Energy Brown,weight,1.12,pass
QC_500262,2025-05-15,BATCH_23106,Soft white,seal_strength,0.8,fail
QC_500263,2025-03-11,BATCH_23895,Soft white,moisture,0.85,fail
QC_500264,2025-03-27,BATCH_21880,Soft white,moisture,0.9,fail
QC_500265,2025-02-03,BATCH_24543,Soft white,moisture,1.04,pass
QC_500266,2025-05-17,BATCH_23899,Whole grain loaf,weight,1.11,pass
QC_500267,2025-04-19,BATCH_23202,Whole grain loaf,seal_strength,0.87,fail
QC_500268,2025-06-10,BATCH_20133,Soft white,moisture,0.84,fail
QC_500269,2025-02-04,BATCH_20178,High Energy Brown,weight,0.88,fail
QC_500270,2025-06-27,BATCH_23503,Soft white,weight,1.15,pass
QC_500271,2025-02-04,BATCH_22160,Soft white,temperature,1.1,pass
QC_500272,2025-05-08,BATCH_21401,High Energy Brown,temperature,0.9,fail
QC_500273,2025-05-10,BATCH_25210,Soft white,temperature,1.18,pass
QC_500274,2025-04-14,BATCH_21096,Soft white,weight,0.97,pass
QC_500275,2025-07-21,BATCH_24081,Whole grain loaf,temperature,1.15,pass
QC_500276,2025-05-23,BATCH_24783,Whole grain loaf,weight,0.99,pass
QC_500277,2025-04-22,BATCH_25016,High Energy Brown,moisture,0.97,pass
QC_500278,2025-03-05,BATCH_22062,Whole grain loaf,weight,1.2,pass
QC_500279,2025-03-24,BATCH_23156,Soft white,seal_strength,1.06,pass
QC_500280,2025-06-19,BATCH_20194,High Energy Brown,temperature,0.89,fail
QC_500281,2025-05-23,BATCH_20614,Whole grain loaf,weight,0.85,fail
QC_500282,2025-03-04,BATCH_22903,Whole grain loaf,seal_strength,0.93,fail
QC_500283,2025-04-09,BATCH_21402,High Energy Brown,weight,0.85,fail
QC_500284,2025-04-16,BATCH_23734,High Energy Brown,moisture,0.82,fail
QC_500285,2025-03-28,BATCH_25382,Low GI Seed loaf,weight,1.03,pass
QC_500286,2025-05-09,BATCH_21366,High Energy Brown,seal_strength,1.02,pass
QC_500287,2025-04-26,BATCH_24514,Soft white,seal_strength,0.8,fail
QC_500288,2025-05-01,BATCH_23964,High Energy Brown,seal_strength,1.09,pass
QC_500289,2025-03-17,BATCH_25576,Soft white,seal_strength,0.96,pass
QC_500290,2025-07-19,BATCH_20415,Whole grain loaf,moisture,1.03,pass
QC_500291,2025-02-04,BATCH_25899,Soft white,moisture,0.82,fail
QC_500292,2025-04-12,BATCH_22007,Soft white,seal_strength,1.08,pass
QC_500293,2025-07-19,BATCH_25945,Soft white,weight,1.02,pass
QC_500294,2025-03-11,BATCH_25817,Low GI Seed loaf,seal_strength,0.87,fail
QC_500295,2025-06-03,BATCH_20957,High Energy Brown,moisture,1.08,pass
QC_500296,2025-05-06,BATCH_22519,Soft white,temperature,1.08,pass
QC_500297,2025-04-27,BATCH_23793,Soft white,temperature,1.09,pass
QC_500298,2025-02-09,BATCH_20331,Soft white,temperature,1.06,pass
QC_500299,2025-04-23,BATCH_21359,Low GI Seed loaf,seal_strength,0.98,pass
QC_500300,2025-01-16,BATCH_20068,High Energy Brown,seal_strength,1.2,pass
QC_500301,2025-06-02,BATCH_24545,Whole grain loaf,moisture,0.83,fail
QC_500302,2025-03-08,BATCH_22898,Low GI Seed loaf,temperature,0.99,pass
QC_500303,2025-03-19,BATCH_20903,Low GI Seed loaf,moisture,1.19,pass
QC_500304,2025-07-27,BATCH_24934,Whole grain loaf,temperature,0.99,pass
QC_500305,2025-02-16,BATCH_20982,High Energy Brown,moisture,1.12,pass
QC_500306,2025-07-10,BATCH_22787,High Energy Brown,temperature,1.1,pass
QC_500307,2025-05-25,BATCH_25365,Whole grain loaf,moisture,1.07,pass
QC_500308,2025-05-11,BATCH_24050,Low GI Seed loaf,temperature,1.05,pass
QC_500309,2025-03-17,BATCH_22507,Low GI Seed loaf,temperature,1.06,pass
QC_500310,2025-05-14,BATCH_20003,Whole grain loaf,moisture,1.18,pass
QC_500311,2025-06-22,BATCH_22018,Soft white,moisture,1.12,pass
QC_500312,2025-02-10,BATCH_20804,Low GI Seed loaf,moisture,1.01,pass
QC_500313,2025-07-03,BATCH_20443,Low GI Seed loaf,moisture,0.87,fail
QC_500314,2025-05-14,BATCH_23920,Whole grain loaf,weight,0.98,pass
QC_500315,2025-06-23,BATCH_22937,Whole grain loaf,moisture,0.82,fail
QC_500316,2025-06-18,BATCH_25797,Soft white,temperature,0.98,pass
QC_500317,2025-02-26,BATCH_21077,High Energy Brown,moisture,1.11,pass
QC_500318,2025-07-20,BATCH_24848,High Energy Brown,weight,0.88,fail
QC_500319,2025-03-07,BATCH_20250,Whole grain loaf,seal_strength,1.04,pass
QC_500320,2025-03-27,BATCH_23011,Whole grain loaf,weight,1.09,pass
QC_500321,2025-04-12,BATCH_22872,High Energy Brown,moisture,1.07,pass
QC_500322,2025-01-16,BATCH_25844,Soft white,temperature,1.03,pass
QC_500323,2025-02-06,BATCH_24933,High Energy Brown,seal_strength,0.98,pass
QC_500324,2025-02-23,BATCH_23357,Soft white,seal_strength,0.98,pass
QC_500325,2025-05-26,BATCH_22030,Soft white,moisture,0.94,fail
QC_500326,2025-04-05,BATCH_22436,Soft white,moisture,0.86,fail
QC_500327,2025-02-22,BATCH_25777,Whole grain loaf,temperature,1.0,pass
QC_500328,2025-05-13,BATCH_20310,Low GI Seed loaf,weight,1.08,pass
QC_500329,2025-01-03,BATCH_20812,Low GI Seed loaf,weight,1.1,pass
QC_500330,2025-07-16,BATCH_24814,Low GI Seed loaf,temperature,1.2,pass
QC_500331,2025-03-01,BATCH_21483,High Energy Brown,seal_strength,1.12,pass
QC_500332,2025-03-24,BATCH_20149,Soft white,moisture,1.12,pass
QC_500333,2025-06-04,BATCH_25202,High Energy Brown,moisture,1.15,pass
QC_500334,2025-05-23,BATCH_21893,Soft white,temperature,0.86,fail
QC_500335,2025-04-24,BATCH_23912,Soft white,weight,0.98,pass
QC_500336,2025-03-15,BATCH_24598,High Energy Brown,temperature,0.92,fail
QC_500337,2025-04-05,BATCH_20715,Whole grain loaf,weight,0.81,fail
QC_500338,2025-02-01,BATCH_24829,Whole grain loaf,seal_strength,1.2,pass
QC_500339,2025-05-03,BATCH_20457,Low GI Seed loaf,moisture,0.98,pass
QC_500340,2025-07-07,BATCH_21668,High Energy Brown,seal_strength,1.09,pass
QC_500341,2025-07-28,BATCH_20682,Whole grain loaf,weight,0.81,fail
QC_500342,2025-05-07,BATCH_21790,Soft white,seal_strength,1.18,pass
QC_500343,2025-07-27,BATCH_25837,Whole grain loaf,seal_strength,0.88,fail
QC_500344,2025-05-05,BATCH_25304,Whole grain loaf,temperature,1.03,pass
QC_500345,2025-01-27,BATCH_25750,Soft white,seal_strength,0.95,fail
